gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
GHET1,1.3208556558066702,0.0006640694564466035,0.0029141012244068,3.66241308790396,0.3857321773103718,3.403999209196373
LINC01242,1.1886979607708197,0.000666135038945933,0.0029201013971403,4.98420447317893,0.3480456259949494,3.403150798604257
LINC02053,1.165103117133975,0.0006700917086155136,0.0029343701836964,8.99416038012044,0.3417848640797611,3.4015324570794614
INTS9-AS1,1.0043866563539603,0.0006712578660922465,0.0029364020878637,6.753221624008508,0.2946804881810468,3.401057174941708
ERICH6-AS1,0.6406451213020892,0.0006754978768444007,0.0029518621953639,15.443094736916311,0.1883926953170372,3.3993355506046687
LINC02111,1.4167560571714448,0.0006825398257473271,0.0029795214522706,4.521175542994565,0.4145464289102732,3.3964982951140263
LINC02255,1.8465445589950693,0.0006842435458742205,0.0029838441176704,0.8667354638816988,0.5433737780975191,3.395815942259654
MIR548XHG,1.2666021622009405,0.0006860011680367892,0.0029883925882602,8.238208632503278,0.3721972072238603,3.3951136542528886
ADARB2-AS1,1.5946418978491066,0.0006868134189796655,0.0029888176047585,1.6726376963073046,0.4609274354444506,3.394789670374103
LINC01310,1.406785816482789,0.0006932980770777132,0.0030100645238049,4.381291263365161,0.4125700131963581,3.3922158206959594
SMIM2-AS1,0.8760862543975686,0.000693276174776845,0.0030100645238049,18.037305624773392,0.258097958031913,3.392224476296176
STARD13-AS,1.065707045578681,0.0006938551413074983,0.0030100645238049,12.162809843449145,0.3137500368641875,3.391995759109752
LINC01571,1.348296589515318,0.0006963419386299245,0.0030177222666842,5.083667487671665,0.3956504050359176,3.391015377778852
OSGEPL1-AS1,-0.6139794221276942,0.0006993109131955861,0.003027451593151,12.05839033839739,0.1810466840685257,-3.3898491579652577
LINC00608,1.3539007535211731,0.0007082989308567068,0.0030538230698763,4.853526886216954,0.3979190528161546,3.386346484726276
LINC02057,1.3412830723271287,0.0007083055463168696,0.0030538230698763,3.312078567453234,0.3935159450615401,3.386343921895677
LINC02704,1.4623346236547072,0.0007083233806265068,0.0030538230698763,1.8543455966827755,0.4263887687721891,3.3863370129913344
SLC26A4-AS1,1.1527298954917078,0.0007071392183848758,0.0030538230698763,13.074423936220636,0.33991018187604,3.386796101646429
LINC02406,1.3230576501011515,0.0007124587388545045,0.0030684886157461,3.5256678855504227,0.3884632616950272,3.384739347806026
