gene,log2FC,p_value,FDR
RGS11,-2.8723989358908693,1.2509347764785744e-80,
SDC3,-2.1860559709304312,1.8400194004141688e-73,
SH3BP1,-2.192419639164191,1.3255012675714136e-72,
LINC00654,-1.6454159140442008,3.068154616431289e-60,
FAM216A,-1.8162880467956988,7.002095540361571e-59,
GAS2L3,-1.8429436788122924,2.192055472490615e-58,
PSMB8,-1.777394901551348,3.5569010029276664e-58,
MARCO,-2.1729526940921153,7.320744993285201e-57,
NEK3,-1.5392450944115823,1.6556502335719326e-56,
NTN1,-1.8210506299972076,2.8198457649597287e-56,
NRROS,-1.8502059992262254,2.8803441482626725e-56,
LRRC45,-1.5672604989404868,3.4878221481875207e-56,
GPR137,-1.4598711454421764,1.747906097189013e-55,
AC008074.2,-1.944990385391108,1.8351802403968123e-54,
ADAT1,-1.2661338592730054,2.1710700285535308e-54,
AC008759.3,-2.3730168662715694,2.2972392465140532e-54,
AC009237.15,-1.8434241764983708,6.061362167572474e-54,
KDR,-1.3091812675061716,1.0674704173211235e-53,
KLRK1,-2.156628178413032,4.991612562505898e-53,
SPATA33,-1.516287790847613,2.4595665449240516e-52,
SLAMF8,-2.693958503459233,6.695528082986295e-52,
DCBLD2,-1.2169530532851558,9.594541790571734e-52,
TCP11L1,-1.350929051543792,1.9676448068013598e-51,
ADPGK,-1.2538767797721755,4.4194523164450056e-51,
ARRDC1,-1.2250475726745345,2.954496846520626e-50,
B9D2,-1.6136680843684175,5.315612404721828e-50,
AL596244.1,-1.3732857678651516,1.6894821062693719e-49,
DYNC2I2,-1.5060538388732398,3.1867213564875334e-49,
PRKCA,-1.2393898211038223,1.2047152628265281e-48,
DTX4,-1.298846472719527,1.446485478771409e-48,
AL138899.1,-2.008933124497262,7.05974460676246e-48,
IRX1,-1.7925882112640414,1.2920340344678783e-47,
ENDOV,-1.1304836750510865,3.4075084125559393e-47,
PLXNB3,-1.7754844067345368,3.6850318765519466e-47,
FUCA1,-1.224761609175508,1.6487901215958246e-46,
