K,PAC_lower_better,mean_consensus,silhouette_higher_better
2,0.41568627450980394,0.5158001569724228,0.18960334414674157
3,0.3456582633053221,0.37742113066867894,0.17300839435884435
4,0.2593837535014006,0.26762312504461855,0.07038627852392088
5,0.3476190476190476,0.21096420994937984,0.012437765167775668
6,0.3296918767507003,0.1785125793084707,0.003178701671525779
7,0.2896358543417367,0.15256746130203977,0.012408009071176052
