cluster,TF,target_module_score,tf_expr,tf_expr_spearman,tf_expr_pvalue,candidate
0,NR3C2,1.4394511611268326,10.395565199487917,-0.7999999999999999,0.20000000000000007,True
0,KLF3,1.2221463004249928,10.054143241006335,0.39999999999999997,0.6,True
0,ESRRA,1.0725814771154243,10.046724922397939,-1.0,0.0,True
0,TBX1,0.8749053679589723,9.238819401741386,-1.0,0.0,True
0,MYOG,0.8009988944969726,9.303127302182764,0.19999999999999998,0.8,True
1,POU3F1,1.496738779317141,6.441597793534792,-0.7999999999999999,0.20000000000000007,True
1,PITX1,1.4961822233199986,8.974576066483904,-1.0,0.0,True
1,CLOCK,1.4961789752568706,10.55190165483822,-0.6000000000000001,0.3999999999999999,True
1,PBX2,1.494027100047615,8.757217786050848,0.19999999999999998,0.8,True
1,NF1,1.4909867166011466,11.404857793972402,-0.6000000000000001,0.3999999999999999,True
2,ID2,1.4776298721069854,8.163730682530717,1.0,0.0,True
2,SP2,1.472844351997284,9.514381414005925,-1.0,0.0,True
2,ID3,1.4662626942714827,8.666392609704756,0.39999999999999997,0.6,True
2,CEBPZ,1.4614473967069828,9.187943684625834,-0.39999999999999997,0.6,True
2,CIITA,1.4572977823576452,9.465229741327864,0.39999999999999997,0.6,True
3,PPARD,1.279527415375732,9.219508190072881,-0.39999999999999997,0.6,True
3,ZBTB33,0.9065060217355123,9.148893646358996,-0.6000000000000001,0.3999999999999999,True
3,ARNTL,0.8318467875488963,8.370543692784663,-0.39999999999999997,0.6,True
3,NANOG,0.8119715123918686,5.970446412404178,0.7999999999999999,0.20000000000000007,True
3,NR1I3,0.7731870747192429,5.689645355108112,0.7999999999999999,0.20000000000000007,True
