"gene","module"
"DNAJA4","Late"
"CHRDL1","Late"
"HAS1","Late"
"SERPINH1","Late"
"CD248","Late"
"EDIL3","Late"
"IQCN","Late"
"IGF1","Late"
"PPP1R27","Late"
"TIMP1","Late"
"CSPG4","Late"
"SFRP1","Late"
"SIK1B","Late"
"PDE4B","Late"
"CYTOR","Late"
"GJA1","Late"
"CXCL1","Late"
"SMOC2","Late"
"AHNAK2","Late"
"KLF4","Late"
"VCAN","Late"
"TNFAIP3","Late"
"B3GNT5","Late"
"FABP7","Late"
"DCLK1","Late"
"COL6A2","Late"
"SORL1","Late"
"FAT1","Late"
"PLAU","Late"
"AC090192.2","Late"
"HCN1","Late"
"C14orf132","Late"
"SLITRK4","Late"
"ZC3H12A","Late"
"S100A9","Late"
"IGSF10","Late"
"SDC4","Late"
"AVPR1A","Late"
"CCNL1","Late"
"HHATL-AS1","Late"
"AC016831.6","Late"
"MEDAG","Late"
"SERPINA3","Late"
"LRRC7","Late"
"ST3GAL3-AS1","Late"
"KLF6","Late"
"NAMPT","Late"
"ADPRHL1","Late"
"HSPA6","Late"
"PPP1R15A","Late"
"AC016831.1","Late"
"LINC00910","Late"
"CNN1","Late"
"TMEM107","Late"
"ELL2","Late"
"CD44","Late"
"STC1","Late"
"COL6A1","Late"
"AC068506.1","Late"
"CSRP3","Late"
"CCN5","Late"
"AC093797.1","Late"
"RHOB","Late"
"F13A1","Late"
"HMCN1","Late"
"RND1","Late"
"AC105046.1","Late"
"SLC19A2","Late"
"MMP14","Late"
"LTBP2","Late"
"ARPP21","Late"
"VMP1","Late"
"U2AF1","Late"
"ERRFI1","Late"
"BCL3","Late"
"CDH11","Late"
"AQP9","Late"
"C2CD4B","Late"
"DACT1","Late"
"SAMD11","Late"
"COL8A1","Late"
"ECM2","Late"
"LCP1","Late"
"OSMR","Late"
"C5AR1","Late"
"DNAJB5","Late"
"MFAP4","Late"
"AC116366.1","Late"
"ACTG2","Late"
"KDM6B","Late"
"IRS2","Late"
"MIR223HG","Late"
"RCAN1","Late"
"ADGRG3","Late"
"FPR1","Late"
"COL16A1","Late"
"SLC39A14","Late"
"MMP25","Late"
"NGFR","Late"
"ANXA1","Late"
"SLIT3","Late"
"MMRN1","Late"
"FBLN2","Late"
"GALNT5","Late"
"KLF15","Late"
"SELL","Late"
"GXYLT2","Late"
"AL353135.2","Late"
"CXCR2","Late"
"AC091057.1","Late"
"RUBCNL","Late"
"PODN","Late"
"S100A8","Late"
"EFEMP1","Late"
"RAB15","Late"
"MUC20","Late"
"FAM83B","Late"
"NFKBIA","Late"
"TIMP2","Late"
"SORBS2","Late"
"CERCAM","Late"
"AC037198.1","Late"
"SH3PXD2B","Late"
"KCNQ5","Late"
"NR1D1","Late"
"SGMS2","Late"
"AC016831.4","Late"
"AL355304.1","Late"
"MYOF","Late"
"SCHIP1","Late"
"CTSK","Late"
"ITGB8","Late"
"DGKD","Late"
"ISLR","Late"
"SIK1","Late"
"PLVAP","Late"
"ANPEP","Late"
"AL021578.1","Late"
"FCGR2A","Late"
"ARL5B","Late"
"SERPINA1","Late"
"GPC3","Late"
"HTRA1","Late"
"MEF2C-AS1","Late"
"TIPARP","Late"
"LRRN1","Late"
"PANX1","Late"
"DCN","Late"
"MYH10","Late"
"SAMSN1","Late"
"ADAMTS16","Late"
"KCNJ15","Late"
"TNXB","Late"
"PLEKHG2","Late"
"TSHZ2","Late"
"NRK","Late"
"ANGPTL2","Late"
"CXCL14","Late"
"ALDH1A3","Late"
"PTPRC","Late"
"ANTXR1","Late"
"DUSP5","Late"
"ATP1B3","Late"
"SLC4A7","Late"
"HSPB7","Late"
"C1R","Late"
"S100A4","Late"
"SVEP1","Late"
"AL109615.2","Late"
"ZNF469","Late"
"IL1R2","Late"
"NFATC2","Late"
"TAGLN","Late"
"MYADM","Late"
"LITAF","Late"
"FAP","Late"
"FOXO3","Late"
"AC084871.1","Late"
"C1QC","Late"
"MIR22HG","Late"
"VIM","Late"
"SCARA3","Late"
"IL1B","Late"
"CEMIP","Late"
"PFKP","Late"
"ITGBL1","Late"
"ADAMTS18","Late"
"TM4SF1","Late"
"C3","Late"
"KBTBD8","Late"
"HSPD1","Late"
"HSPB8","Late"
"ADRA2A","Late"
"ITGA11","Late"
"PHLDA1","Late"
"DNM1","Late"
"MIR222HG","Late"
"FKBP10","Late"
"KIAA0040","Late"
"CPXM2","Late"
"ARC","Late"
"PLXNB2","Late"
"CFH","Late"
"CYP1B1","Late"
"FOSL2","Late"
"SEMA3A","Late"
"CXCR1","Late"
"IL4R","Late"
"C1QB","Late"
"SERTAD1","Late"
"PLTP","Late"
"AGT","Late"
"SRPX","Late"
"MYO1F","Late"
"PTGFRN","Late"
"LINC-PINT","Late"
"CYP4F3","Late"
"OMD","Late"
"RFX2","Late"
"STAB1","Late"
"ALPK2","Late"
"SLCO4A1","Late"
"OAF","Late"
"LGALS3BP","Late"
"JUN","Late"
"MXRA8","Late"
"MYLK","Late"
"SAT1","Late"
"ID4","Late"
"CYBRD1","Late"
"BASP1","Late"
"FLNC","Late"
"IGFBP3","Late"
"EEF1A1","Late"
"TPM4","Late"
"NPIPB15","Late"
"RASSF2","Late"
"CDON","Late"
"ADAMTSL4-AS1","Late"
"TGFB3","Late"
"INHBA","Late"
"SERPINB1","Late"
"MMP16","Late"
"ECM1","Late"
"NT5E","Late"
"FLRT2","Late"
"AKR1B15","Late"
"PLK3","Late"
"H4C8","Late"
"FOXC1","Late"
"PTPRD","Late"
"KIAA1755","Late"
"SEMA3D","Late"
"ACTA2","Late"
"SRGN","Late"
"CD109","Late"
"JAML","Late"
"SULF1","Late"
"ADAMTSL1","Late"
"KIF26B","Late"
"VEGFA","Late"
"DPP4","Late"
"PER1","Late"
"LSAMP","Late"
"SLC7A5","Late"
"DKK3","Late"
"SOCS2","Late"
"CRABP2","Late"
"DRP2","Late"
"BCAT1","Late"
"ICAM4","Late"
"PER2","Late"
"MNDA","Late"
"FGF7","Late"
"DIO2","Late"
"FSCN1","Late"
"ADGRE2","Late"
"VCAM1","Late"
"COL8A2","Late"
"MRC1","Late"
"AOX1","Late"
"FAM157C","Late"
"TUBA4A","Late"
"F5","Late"
"DPT","Late"
"RARRES2","Late"
