"gene","module"
"EIF4EBP1","Early"
"CCDC141","Early"
"COL4A3","Early"
"SOX9","Early"
"FAM181A-AS1","Early"
"KY","Early"
"MB","Early"
"DUSP10","Early"
"LRRC14B","Early"
"PKDCC","Early"
"FAM106C","Early"
"NPNT","Early"
"SREBF1","Early"
"CPM","Early"
"AOC3","Early"
"ZNF273","Early"
"RHOD","Early"
"FYB2","Early"
"SCN3B","Early"
"ART3","Early"
"XRRA1","Early"
"MYORG","Early"
"AGMAT","Early"
"MAFB","Early"
"GPT2","Early"
"PCOLCE2","Early"
"FRK","Early"
"CASQ1","Early"
"KCNQ4","Early"
"RCAN2","Early"
"PGM1","Early"
"TMEM52","Early"
"LYVE1","Early"
"DUSP8","Early"
"ALX4","Early"
"ADSS1","Early"
"RGS9BP","Early"
"HYAL4","Early"
"ALPK3","Early"
"DLK1","Early"
"METTL7A","Early"
"AC007563.3","Early"
"CDH20","Early"
"GPX3","Early"
"CKM","Early"
"RELT","Early"
"ITGB6","Early"
"COL21A1","Early"
"TSC22D3","Early"
"SFRP5","Early"
"SLC26A9","Early"
"ALAS2","Early"
"TP53INP2","Early"
"BDH1","Early"
"PPARGC1A","Early"
"LINC01921","Early"
"CD36","Early"
"ASB18","Early"
"PPP1R1C","Early"
"CCDC69","Early"
"MUC2","Early"
"OXCT1","Early"
"LMO3","Early"
"IRX6","Early"
"TNNT3","Early"
"ASB9","Early"
"CCR3","Early"
"TPM1","Early"
"PLXNA4","Early"
"GALNT15","Early"
"SMTNL2","Early"
"RETREG1","Early"
"TSPAN5","Early"
"AC018618.1","Early"
"AL022322.2","Early"
"MKI67","Early"
"PPP1R3B","Early"
"AC087854.1","Early"
"COL28A1","Early"
"ASB2","Early"
"PDLIM3","Early"
"PDLIM7","Early"
"CCL21","Early"
"MAP2K6","Early"
"SESN1","Early"
"MIR1-1HG","Early"
"CHST15","Early"
"NTRK2","Early"
"CITED2","Early"
"RXRG","Early"
"C1orf115","Early"
"UNC13A","Early"
"PPP1R3A","Early"
"CHRDL2","Early"
"GOT1","Early"
"DNAH17","Early"
"ADGRG7","Early"
"AL161772.1","Early"
"CHMP1B","Early"
"MEG3","Early"
"TOGARAM2","Early"
"DUSP4","Early"
"NEK10","Early"
"FHL2","Early"
"TRIM7","Early"
"FBXO32","Early"
"TRIM58","Early"
"RHOBTB1","Early"
"ACVR1C","Early"
"TBC1D3L","Early"
"CD38","Early"
"AC020687.1","Early"
"PARP15","Early"
"WIPF3","Early"
"TNNC2","Early"
"APLNR","Early"
"LEPR","Early"
"SLC30A2","Early"
"PHTF2","Early"
"SOD2","Early"
"ASB11","Early"
"PDE4C","Early"
"HSPB6","Early"
"RNF150","Early"
"TNNI2","Early"
"TNNT2","Early"
"PLIN4","Early"
"PMP22","Early"
"KLHL29","Early"
"PKD2L2","Early"
"ASS1","Early"
"AC103810.5","Early"
"NPSR1-AS1","Early"
"MPP6","Early"
"UBE2D1","Early"
"NUP210L","Early"
"ANGPTL7","Early"
"ACTN2","Early"
"IRX2","Early"
"GABRE","Early"
"DIRAS1","Early"
"AC036108.3","Early"
"AGL","Early"
"PFKFB1","Early"
"CA3","Early"
"TMEM233","Early"
"PROM1","Early"
"MPV17L","Early"
"TDRD9","Early"
"AC007557.1","Early"
"APOBEC2","Early"
"ENOSF1","Early"
"CRHR2","Early"
"MUC6","Early"
"KIAA0930","Early"
"AC022706.1","Early"
"SCN2B","Early"
"GATM","Early"
"MYOM3","Early"
"DGKB","Early"
"ACSS1","Early"
"MATN2","Early"
"TPI1","Early"
"AC093151.7","Early"
"ABCC6","Early"
"TIAM2","Early"
"GREM1","Early"
"SCUBE2","Early"
"AC008474.1","Early"
"AL355596.1","Early"
"SNCA","Early"
"SCN4B","Early"
"STEAP2","Early"
"PAK1","Early"
"WNK2","Early"
"SLC4A1","Early"
"ZNF385B","Early"
"RNF157","Early"
"NEURL1","Early"
"FRAS1","Early"
"PROX1","Early"
"ABCG1","Early"
"AL031121.2","Early"
"RPL3L","Early"
"SLC36A2","Early"
"CHCHD10","Early"
"AC092153.1","Early"
"RNF207","Early"
"GALNT17","Early"
"COQ10A","Early"
"PHLDA3","Early"
"CAPN8","Early"
"TFRC","Early"
"NPHP1","Early"
"ATP1B4","Early"
"KCNJ2","Early"
"AVIL","Early"
"ALDH6A1","Early"
"CCDC136","Early"
"MUC20-OT1","Early"
"NKAIN1","Early"
"FHOD3","Early"
"CYP2J2","Early"
"MYOM2","Early"
"ABCC8","Early"
"FBXO40","Early"
"IGFBP5","Early"
"TMEM132C","Early"
"KCNJ12","Early"
"KBTBD11","Early"
"MBNL1-AS1","Early"
"ADAMTS19","Early"
"KLF2","Early"
"KCNT1","Early"
"CASTOR2","Early"
"SLC1A2","Early"
"SPX","Early"
"GOT2","Early"
"BHMT2","Early"
"MT-ATP8","Early"
"KANSL1-AS1","Early"
"ST3GAL6","Early"
"AC106875.1","Early"
"PLAGL2","Early"
"NRAP","Early"
"NOMO3","Early"
"GLYAT","Early"
"FOSB","Mid"
"TTTY10","Mid"
"XACT","Mid"
"CCL2","Mid"
"AC119673.2","Mid"
"SLC44A5","Mid"
"THBS4","Mid"
"PRKY","Mid"
"CHRNG","Mid"
"ADGRV1","Mid"
"NPR3","Mid"
"MYH8","Mid"
"COL19A1","Mid"
"ABRA","Mid"
"CR381670.2","Mid"
"HELLPAR","Mid"
"CCDC26","Mid"
"POSTN","Mid"
"MUC19","Mid"
"RUNX1","Mid"
"LUCAT1","Mid"
"CIDEC","Mid"
"CCN1","Mid"
"CHRNA1","Mid"
"CDH16","Mid"
"NLGN4Y","Mid"
"AL117329.1","Mid"
"ENAH","Mid"
"MLLT11","Mid"
"CHRND","Mid"
"DNAH11","Mid"
"FAM230C","Mid"
"LRP2","Mid"
"SMAD9","Mid"
"LINC02055","Mid"
"CHI3L1","Mid"
"GYG2","Mid"
"DUSP2","Mid"
"AC010889.2","Mid"
"CARNS1","Mid"
"COL22A1","Mid"
"LINC01348","Mid"
"AC003681.1","Mid"
"UNC80","Mid"
"GADD45A","Mid"
"ARRDC4","Mid"
"MYT1L","Mid"
"AC020909.2","Mid"
"LINC00511","Mid"
"CHAD","Mid"
"DNAH8","Mid"
"LINC01206","Mid"
"ABCA13","Mid"
"GRIN2B","Mid"
"TSIX","Mid"
"IL6R-AS1","Mid"
"PTPRF","Mid"
"DRAIC","Mid"
"SCN1A","Mid"
"COL12A1","Mid"
"SPP1","Mid"
"UNC13C","Mid"
"FASN","Mid"
"PDE11A","Mid"
"EXTL1","Mid"
"CASC19","Mid"
"CNTNAP2","Mid"
"AC010198.2","Mid"
"MMP9","Mid"
"DGAT2","Mid"
"LINC01524","Mid"
"DNAH9","Mid"
"AC073225.1","Mid"
"PAX3","Mid"
"SCN2A","Mid"
"PCDH15","Mid"
"AC006148.1","Mid"
"PKHD1","Mid"
"RP1","Mid"
"LINC01122","Mid"
"PI16","Mid"
"SPTA1","Mid"
"MUC16","Mid"
"LINC02188","Mid"
"C5orf64","Mid"
"PWRN1","Mid"
"LINC01630","Mid"
"GREM2","Mid"
"MSTN","Mid"
"AP001993.1","Mid"
"DNAH5","Mid"
"HYDIN","Mid"
