K,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30
K2,0.4880536585147402,0.44292022537091674,0.13040088204486874,0.31880844027559607,0.29696991173595133,0.41801928680766537,0.4442483790563709,0.30970460980978737,0.5120488652940248,0.26111097853441173,0.18139207978079178,0.35460327585596024,0.34095001101575745,0.4084150053117805,0.18392754889502375,0.2246110167236083,0.3203303333303401,0.19114224865554574,0.29766232988871055,0.18364463294778086,0.10832157471895353,0.32331339519609675,0.3246189050695117,0.16522835403752856,0.26547559809894766,0.29619417046622787,0.3984598708056207,0.20508598050484628,0.4795541546554909,0.4281221318066227
K3,0.3063354647669739,0.2348681304678168,0.3759762553165685,0.2522128906605975,0.23783669343785468,0.4069302903033555,0.3149147832118652,0.21493566590148255,0.37120512971187425,0.24290604504249896,0.2194972918490603,0.21156182882257651,0.3334640570379663,0.322140841877107,0.2557164334037356,0.28978784499770993,0.19970418774830792,0.33412891562552605,0.34418219230503244,0.2872006267061752,0.2990149658898323,0.3111432137306672,0.35584583359894123,0.23395035015340576,0.3422161745503562,0.37586652846432833,0.27430887797877895,0.35918686378173814,0.2860574466798838,0.3008292933359789
K4,0.2734613245205998,0.3327138076729568,0.27052156825131257,0.37757689923579746,0.32589463049080314,0.39866732549582706,0.32717184183639975,0.3808161116861446,0.35051820497584046,0.2825012876827651,0.25227955263414265,0.40449708483374075,0.3135418306818844,0.4639503749749825,0.5128811798994098,0.3351466306206504,0.22666297709722885,0.3424930594926173,0.38550800813926905,0.3500996001976646,0.36749453166248236,0.20811793416336768,0.3457353222056218,0.43017356478600144,0.25242064583514745,0.2640531059144029,0.2224781153633348,0.307533053249444,0.22737458682073083,0.2520592423342656
K5,0.354270521398242,0.35203653349159886,0.21836819663173362,0.35110479406206635,0.32361353275673815,0.24041301909867205,0.32054092702341314,0.25450794511616187,0.3082306051856049,0.2110468626146962,0.3994919434449924,0.3066076810161669,0.2588397221920876,0.23783478158286397,0.31530628070014827,0.27322942909070874,0.2926411332759995,0.2874414802987295,0.34429915262336636,0.28091766830825726,0.21528988433160567,0.298481263452401,0.34587507934505424,0.3244558363956149,0.3312329221021705,0.29664297536383755,0.1324375962394331,0.2968645085177962,0.29588982037000494,0.17943038535642106
K6,0.33819753252840956,0.19266997506005096,0.2222714363840782,0.39471298315038233,0.21267530673043372,0.23354376889589976,0.22935226526813873,0.35753806855322046,0.2926964050269898,0.22785999527258655,0.20790924310830242,0.207836451709918,0.28339470431951963,0.1451769477133756,0.3993009274643679,0.281859574177895,0.257152311001085,0.2130359294054948,0.3257530237344921,0.2157559963023238,0.3182971495641513,0.3101413376770865,0.23738879622369835,0.19079167499362,0.17631063129606644,0.22955989457960974,0.22967816056182352,0.18738438443984348,0.24098144657233855,0.23874994515493886
