sample_id,reproducible_two_block_cluster,geo_accession,title,subgroup
AB_34,C4,GSM8059520,"AB_34, Pancreas",Pancreas
AB_35,C2,GSM8059521,"AB_35, Colorectal",Colorectal
AB_36,C3,GSM8059522,"AB_36, Pancreas",Pancreas
AB_37,C1,GSM8059523,"AB_37, Colorectal",Colorectal
AB_38,C1,GSM8059524,"AB_38, Colorectal",Colorectal
AB_39,C3,GSM8059525,"AB_39, Pancreas",Pancreas
AB_40,C4,GSM8059526,"AB_40, Colorectal",Colorectal
AB_41,C3,GSM8059527,"AB_41, Pancreas",Pancreas
AB_42,C1,GSM8059528,"AB_42, Pancreas",Pancreas
AB_43,C4,GSM8059529,"AB_43, Colorectal",Colorectal
AB_44,C2,GSM8059530,"AB_44, Pancreas",Pancreas
AB_45,C3,GSM8059531,"AB_45, Pancreas",Pancreas
AB_46,C3,GSM8059532,"AB_46, Pancreas",Pancreas
AB_47,C4,GSM8059533,"AB_47, Colorectal",Colorectal
AB_48,C1,GSM8059534,"AB_48, Colorectal",Colorectal
AB_49,C2,GSM8059535,"AB_49, Pancreas",Pancreas
AB_50,C3,GSM8059536,"AB_50, Pancreas",Pancreas
AB_51,C1,GSM8059537,"AB_51, Colorectal",Colorectal
AB_52,C3,GSM8059538,"AB_52, Colorectal",Colorectal
AB_53,C1,GSM8059539,"AB_53, Pancreas",Pancreas
AB_54,C1,GSM8059540,"AB_54, Colorectal",Colorectal
AB_55,C3,GSM8059541,"AB_55, Pancreas",Pancreas
AB_56,C2,GSM8059542,"AB_56, Colorectal",Colorectal
AB_57,C1,GSM8059543,"AB_57, Colorectal",Colorectal
AB_58,C1,GSM8059544,"AB_58, Pancreas",Pancreas
AB_59,C2,GSM8059545,"AB_59, Colorectal",Colorectal
AB_60,C4,GSM8059546,"AB_60, Colorectal",Colorectal
AB_61,C4,GSM8059547,"AB_61, Colorectal",Colorectal
AB_62,C3,GSM8059548,"AB_62, Colorectal",Colorectal
AB_63,C2,GSM8059549,"AB_63, Pancreas",Pancreas
AB_64,C4,GSM8059550,"AB_64, Colorectal",Colorectal
AB_65,C1,GSM8059551,"AB_65, Colorectal",Colorectal
AB_66,C1,GSM8059552,"AB_66, Pancreas",Pancreas
AB_67,C1,GSM8059553,"AB_67, Colorectal",Colorectal
AB_68,C1,GSM8059554,"AB_68, Colorectal",Colorectal
AB_69,C2,GSM8059555,"AB_69, Pancreas",Pancreas
AB_70,C4,GSM8059556,"AB_70, Colorectal",Colorectal
AB_71,C1,GSM8059557,"AB_71, Colorectal",Colorectal
AB_72,C1,GSM8059558,"AB_72, Colorectal",Colorectal
AB_73,C4,GSM8059559,"AB_73, Colorectal",Colorectal
AB_74,C1,GSM8059560,"AB_74, Colorectal",Colorectal
AB_75,C2,GSM8059561,"AB_75, Pancreas",Pancreas
AB_76,C2,GSM8059562,"AB_76, Colorectal",Colorectal
AB_77,C1,GSM8059563,"AB_77, Colorectal",Colorectal
AB_78,C1,GSM8059564,"AB_78, Pancreas",Pancreas
AB_79,C2,GSM8059565,"AB_79, Pancreas",Pancreas
AB_80,C1,GSM8059566,"AB_80, Colorectal",Colorectal
AB_81,C1,GSM8059567,"AB_81, Colorectal",Colorectal
AB_82,C4,GSM8059568,"AB_82, Pancreas",Pancreas
AB_83,C3,GSM8059569,"AB_83, Colorectal",Colorectal
AB_84,C2,GSM8059570,"AB_84, Pancreas",Pancreas
