raw_cluster,n,mean_integrated_pyro,mean_heldout_pyro,PA_PQ,adjusted_two_block_K4
C1,27,-0.4059953550240904,-0.29754592799476437,PQ,C1
C4,23,0.09906157533822922,0.05172685155541256,PQ,C3
C2,20,0.2532480703872593,0.0059491622234876815,PA,C4
C3,14,0.2584640675089988,0.4803599446867426,PA,C2
