K,CPI_mean,CPI_median,CPI_sd,CPI_q25,CPI_q75,CPI_min,CPI_max,selected_K
2,0.31011126184031595,0.31425652504269175,0.11191425749621248,0.20996723955953678,0.4059262216852405,0.10832157471895353,0.5120488652940248,FALSE
3,0.29646417057859986,0.2999221296129056,0.05689366171225926,0.2452327564470236,0.34019435981914864,0.19970418774830792,0.4069302903033555,FALSE
4,0.32614478009182785,0.3299428247546783,0.07468043508124593,0.2656702214986303,0.37505630734246864,0.20811793416336768,0.5128811798994098,TRUE
5,0.2882447493795529,0.2967537419408169,0.05809082964066468,0.2555908893851433,0.32424526048589575,0.1324375962394331,0.3994919434449924,FALSE
6,0.25326587556233804,0.23161096472886164,0.06380107907526113,0.212765462399199,0.2903709798501223,0.1451769477133756,0.3993009274643679,FALSE
