subgroup,n,mean_ES_positive,mean_ES_control,mean_CPS,median_CPS,std_CPS,mean_CPS_zscore,n_CPS_high,frac_CPS_high
Colorectal,46,0.015738870165392917,0.10160336231218675,-0.08586449214679383,-0.10598676704287602,0.4442907663862424,-0.18997930806163985,11,0.2391304347826087
Pancreas,38,-0.019052316516001925,-0.12299354385159456,0.10394122733559263,0.053576012771515025,0.45102420162580564,0.2299749518640903,14,0.3684210526315789
