feature,feature_label,beta,SE,P_value,FDR,star
integrated_pyro_module_score,Integrated pyro module score,0.49542206763974367,0.19856288502505254,0.014652581992020509,0.019536775989360676,**
Heldout_pyroptosis,Held-out pyroptosis signature,0.3897916655936026,0.13585947280589186,0.005263269539059145,0.01052653907811829,**
Inflammasome_sensor_adapter,Inflammasome / sensor-adapter axis,0.7064379248249663,0.22221327817150746,0.002101504679178066,0.008406018716712264,***
Inflammatory_caspase_axis,Inflammatory caspase axis,0.2829374240755835,0.2311064887634529,0.22444241618066277,0.22444241618066277,ns
