subgroup,n,mean_ES_positive,mean_ES_control,mean_CPS,median_CPS,sd_CPS,mean_CPS_zscore,n_CPS_high,frac_CPS_high
Colorectal,46,0.7188307308682553,0.7765553393813346,-0.05772460851307927,0.005914914430081353,0.22066585705992461,-0.04089710305881816,14,0.30434782608695654
Pancreas,38,0.7420937832478597,0.7799307873984943,-0.037837004150634644,-0.0566129795827936,0.22161808985057685,0.04950701949225354,12,0.3157894736842105
