gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
GLDC,0.8261123092059499,0.00081775997811117,0.0036645901062993,44.78113249609712,0.2468240975930947,3.346712422688836
AC104169.1,1.627836256685708,0.0008180049819028099,0.0036647689661831,1.3455344124466917,0.475151117436469,3.3466293751824523
RCC2-AS1,1.779313837181609,0.0008179792526792075,0.0036647689661831,0.6943994780481083,0.5318670713703098,3.3466380953827164
ROPN1B,1.0654851829239194,0.0008185155460324213,0.0036665967139767,14.465677234734436,0.3182422828910083,3.3464563863676178
LINC01016,1.4040086006202552,0.0008186931711659568,0.0036669327674055,9.139788524821302,0.4189484106131696,3.346396227074864
POU3F4,1.51585779889288,0.0008189577392427026,0.0036676581058967,3.167725322363447,0.4499171454151998,3.3463066438005318
ZNF365,1.0157282611619056,0.0008200574584945901,0.003671202987809,11.492410699607008,0.3033177013313216,3.345934564217681
AL138830.1,1.5991272955802978,0.000820191245128756,0.0036713420238491,1.7296807197284072,0.469501992953067,3.3458893303676573
FFAR3,1.6494355050239424,0.0008210382089347233,0.0036742128112833,1.1923497800974552,0.482125510135593,3.3456031269198725
AL591178.1,1.413645916361301,0.0008209839989401338,0.0036742128112833,1.945727695090588,0.4178677516808748,3.345621437190482
FAM111B,1.0161113405483375,0.0008215901998852435,0.0036761423637318,12.829186556805578,0.3035426389816454,3.345416747203133
AC107918.6,1.4423555132317558,0.000821704610146325,0.0036761423637318,3.383446541331957,0.4285760037037467,3.345378131119825
PRKG2-AS1,1.4349625528604386,0.0008217779770511401,0.0036761423637318,2.0926864254782824,0.4245563505263832,3.3453533707341805
ACP7,1.5101448027478654,0.0008225372898825409,0.0036790785564233,4.734700865100527,0.4499226467512195,3.345097232811293
AC012560.1,1.350758190230683,0.0008226999244796236,0.0036793455013205,2.376464945264256,0.400649898116021,3.345042400038469
AC087289.4,1.7443675654308068,0.0008228124238608442,0.003679388188681,1.0215130276703337,0.5242317742227766,3.345004476397286
GPR31,1.5217118110714618,0.0008230472095485857,0.0036795172848195,2.7045485790063646,0.4515234617527502,3.344925345427147
MCOLN2,0.8336626265981565,0.0008229649292885318,0.0036795172848195,17.84818545606218,0.2491666374359721,3.3449530743622806
AC005280.2,1.3867805675174547,0.0008233246631439014,0.0036802972872341,3.2346128601278217,0.4124925227611851,3.344831860875466
H2BW2,1.660546327086456,0.0008238787497605436,0.0036823135016185,3.090981727918169,0.4923612987722887,3.344645255687102
AC111198.1,1.5305348586161616,0.0008240013409572129,0.0036824008907251,3.0741566536744163,0.4541345220859159,3.3446039851765645
AL022318.5,1.4182128113616974,0.0008249349608436934,0.0036861122318869,3.428279230609432,0.4217907016182225,3.344289867389141
LINC02654,1.3999189363489557,0.0008252420760162473,0.0036870235420263,7.182829313895819,0.4176407544080028,3.3441866101233675
LINC01533,1.5187576123677362,0.0008254915874240859,0.0036876772939202,8.883935941087422,0.4534329654615437,3.344102746451851
AC020907.3,1.3322923679733476,0.0008258137056403624,0.0036886551946225,2.8827875194794585,0.396474848133571,3.3439945135614466
ADGRE2,0.8920601873919219,0.0008261051700220691,0.0036890349326813,49.27616650071846,0.2667462388412364,3.343896614217783
WDR49,0.6217273952644957,0.0008260067665841798,0.0036890349326813,38.54979723279897,0.1859202353752063,3.3439296631531863
LRRC72,1.3861097372485889,0.0008282875375662652,0.0036983183430213,4.607413631756229,0.4130977750595099,3.343164600025089
AL132718.1,1.292292678124893,0.0008284903573653756,0.0036987618228012,4.167414983085466,0.3852670906509107,3.343096660690185
AL583804.1,1.5255094061791674,0.0008296491332317462,0.0037034724860649,3.4239369566216173,0.4532921422452404,3.342708796685072
CCR8,1.3830334800162485,0.0008298560674912204,0.0037039335756214,3.153400870156633,0.4115158506517195,3.3426395847998176
HSPA12B,-0.3339773151543335,0.0008306049904956331,0.0037068133304611,158.0595135925308,0.0999198360716312,-3.342389231401822
AC093390.2,1.622947392296275,0.0008308435153617934,0.0037074148522911,2.7171417915367786,0.4813309035701386,3.3423095401875407
AP003121.1,1.4449245470866017,0.0008311054139364086,0.0037081205097702,6.364745659797653,0.4313588970743773,3.342222064252644
AL136018.1,1.411458591074677,0.0008315466384319726,0.0037092611155206,3.147050367437319,0.4200892688416728,3.342074750032376
LINC00974,1.5448463066265112,0.0008315686400344674,0.0037092611155206,3.6287801176257455,0.459769292172067,3.3420674061259588
AC004884.2,1.445238298824403,0.0008319880264185489,0.0037106686744223,1.763554770216326,0.4268777295272021,3.341927453758967
AL442071.2,1.4801259375935556,0.0008322593532934549,0.0037114156186675,2.843393424620149,0.4395475854788035,3.341836944816136
OR10H3,1.6999642400739752,0.0008331198014750838,0.0037143257815764,1.4777019602179156,0.4989222959115735,3.3415500983160493
AC018445.5,1.3864902602906637,0.0008331023690777536,0.0037143257815764,3.069637578907612,0.4125622134538932,3.341555907003882
BCL2A1,1.1263358565914254,0.0008343552672244036,0.0037190727384634,8.02900908874735,0.3367435759102154,3.3411387129015098
LMNB1,0.7649422930067722,0.0008344967342811047,0.0037190727384634,35.712291579111195,0.2289423503094907,3.3410916432588142
KCNQ5-AS1,1.2960256306325917,0.0008344460515946265,0.0037190727384634,13.112661021818855,0.3875382403697146,3.3411085058105607
ITGA2B,0.6965981555895756,0.000834696667662156,0.0037194999387668,18.57269315110005,0.2084592026299546,3.341025133022551
FRMD6-AS2,1.4395081772261475,0.0008348163484103375,0.0037195376779289,3.869931807067823,0.4291283186377063,3.3409853268570666
LINC01505,0.6396024385967649,0.0008349132926393735,0.0037195376779289,64.14756414952952,0.1914396108535854,3.3409530868044883
C1orf147,1.4765725950082391,0.0008350311217552122,0.0037195989317322,3.04583183514336,0.4391595537259041,3.340913905888528
B3GNT3,1.5213157838170683,0.0008358934827737992,0.0037218336227841,3.617106349267423,0.4525505240837075,3.3406273068504317
CD7,0.9210263491603516,0.0008359493673425637,0.0037218336227841,8.14478674302224,0.2755607599042198,3.340608743508726
FGFBP3,0.5617324210368484,0.0008357810763254214,0.0037218336227841,18.36103659322682,0.1681374048512589,3.3406646487180427
AC128685.1,1.4564789262452922,0.0008356977476468913,0.0037218336227841,5.516061952902731,0.4344277326510396,3.3406923338421857
MAGEB3,1.6093371620602082,0.0008373179599480696,0.003727462537696,2.679007055317402,0.4777402962575645,3.3401544929852696
