K,n_clusters,cluster_sizes,min_cluster_size,max_cluster_size,mean_within_cluster_consensus,mean_between_cluster_consensus,PAC_0.1_0.9,mean_consensus_silhouette
2,2,C1=67;C2=17,17,67,0.9588793275697357,0.15242042532244915,0.22633390705679862,0.9275959451197446
3,3,C1=67;C2=15;C3=2,2,67,0.9333662273621532,0.06072990383559616,0.24182444061962136,0.9208827930364746
4,4,C1=59;C2=15;C3=2;C4=8,2,59,0.9300857006134594,0.11935750958301886,0.3261617900172117,0.9015734585443461
