gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
AL355304.1,2.6605487876655407,6.5101340088741e-27,2.334208548881809e-22,43.436909059553884,0.24770416457733443,10.7413276968856
AC006059.5,2.1787826250233833,5.376971539395254e-26,9.63956572725084e-22,19.440218774230402,0.20673402392182466,10.544655213392437
PLCXD2,1.3625611667885054,1.3337973039014373e-25,1.4961630407132082e-21,44.754281134321175,0.1303036825554729,10.458911033961757
AC109925.1,2.6110865602187663,1.6691262481809602e-25,1.4961630407132082e-21,7.6773780641247384,0.2504361842258668,10.437637671269057
AC015660.1,2.343288431630131,4.2345921446880905e-25,3.0366260269558297e-21,11.77438699722651,0.2265574192213006,10.348868838510343
SCN8A,1.9317650011292298,5.581555800835909e-25,3.335444720649525e-21,62.51981122581942,0.18717126043993038,10.322391052359553
HGD,2.1700434867526455,1.2545391179752923e-24,5.622687509375513e-21,12.332434041626113,0.21199014841633093,10.244358815755353
AL139385.1,3.092971337456499,1.123573913492475e-24,5.622687509375513e-21,7.2346978769008015,0.3017444389611336,10.25501600176805
GGH,1.732089236281897,1.781995472849474e-24,7.099271964335321e-21,40.2808149367745,0.16968625153329586,10.21036156887383
HHATL-AS1,3.333132439655204,2.413691038131801e-24,8.654289217221573e-21,32.33432711319663,0.32719938469991117,10.18087980719125
OVCH1,1.489487707576881,6.65948068221166e-24,2.1706879987336277e-20,43.01938786129225,0.14777974040886416,10.081655050205088
SLC26A4,1.5440233812122421,8.202953679154883e-24,2.4509742013841526e-20,30.956309519461094,0.15351823770720163,10.061155856777104
AC090921.1,2.4722929161686724,1.8279371046644022e-23,4.6814774919815814e-20,4.682266862502436,0.24797386554935472,9.981973841246559
SOX2-OT,1.3656627181374539,1.733795682252356e-23,4.6814774919815814e-20,134.50691515225137,0.13675287971322417,9.987217904611573
DCDC2,2.4650804243697477,2.645796518511764e-23,6.324335611415954e-20,18.479981579264464,0.24796817985208955,9.945223420215545
FRRS1L,2.4699515289972274,5.859640088596136e-23,1.3131087211038405e-19,25.329266391970727,0.25041541594802547,9.865747422557762
LIF,1.456470955023451,7.228483474878208e-23,1.3640909210092534e-19,41.48026115996168,0.2804512473343251,9.844657741767083
RAD51,1.5831262374521822,6.951365105112517e-23,1.3640909210092534e-19,14.222403083676321,0.16084849900627227,9.84858801220886
LMCD1-AS1,1.4931122190829331,6.554616914922482e-23,1.3640909210092534e-19,51.09821699235879,0.15154778596307178,9.854493755525693
AC068587.4,1.699564279055476,9.449724186870916e-23,1.6134279081916986e-19,39.797178479397814,0.17316390646570998,9.817675613236611
LINC00877,2.3165451657653002,9.326914796750694e-23,1.6134279081916986e-19,29.075422125198763,0.23597751257468383,9.818994532392265
CDC7,1.8880391117836473,1.4651803649804746e-22,2.371722513388029e-19,20.99707361355749,0.1932772492441048,9.77335502074511
CRACR2A,0.9142719903913901,1.5213950023127784e-22,2.371722513388029e-19,84.1366315358776,0.09359285394450234,9.769541174540445
ANKRD31,1.9467703035929012,1.7997591351176864e-22,2.581214551585786e-19,28.921296874218005,0.1996856739647511,9.752502544567543
CTDSP1,-0.3936206640342137,1.7784256361126545e-22,2.581214551585786e-19,1061.4601601047973,0.04035571996702224,-9.753712696910332
IQCH,1.939548123583874,2.158179524471755e-22,2.976212571151337e-19,32.04499708248148,0.19932015617494353,9.73405324929976
TERB1,2.2505278122456858,4.808396177178441e-22,6.157323033311892e-19,12.282743138037706,0.23333851519080165,9.652260387846667
AL355512.1,2.3726640072504512,4.766247470736891e-22,6.157323033311892e-19,6.914920819466829,0.2459898533400625,9.653163003646393
SLAMF1,2.506971879863955,5.112798723354614e-22,6.321358559513093e-19,19.117394398386335,0.26001878979515586,9.645965068296638
DEPDC4,1.886407425738912,6.833262623580677e-22,7.721928041782879e-19,14.941157792456897,0.19630270928361232,9.616163135393455
TRPM6,1.759354504393155,7.046835200323722e-22,7.721928041782879e-19,53.42317717639443,0.183055912372522,9.612995686745181
WDR17,1.1826472685055143,7.107059695407475e-22,7.721928041782879e-19,51.1114944408087,0.1230595211313041,9.612119671586276
IL6R-AS1,3.433578604260579,6.69869437124946e-22,7.721928041782879e-19,44.366057054169794,0.28783134117155773,9.618209595779009
AC090948.4,2.1108689703270813,9.534177682740874e-22,1.0054351200431588e-18,5.622153613596831,0.220605415466934,9.581828546047468
ZRANB2-AS2,1.4529124566538472,1.0218399004715466e-21,1.04680198946878e-18,79.40825976575366,0.15176826531129425,9.574669102802448
