gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
RNF126,0.3188955872331464,9.434622205086344e-7,8.245165730908431e-6,500.56529643713407,0.06504018324693268,4.903078576619129
AC020930.1,-1.7458879884970078,9.429274764981865e-7,8.245165730908431e-6,13.168324942535602,0.35581343122028497,-4.903189899142861
AC239809.3,-1.5720077055741855,9.437342504985623e-7,8.245165730908431e-6,12.603236551794234,0.32023693534042286,-4.903021968971246
AL122014.1,-1.3223951911095007,9.4375010904053e-7,8.245165730908431e-6,12.801451688992433,0.2693399478769957,-4.903018669397803
ARRDC3-AS1,-1.052228832600117,9.430640895969795e-7,8.245165730908431e-6,26.146631969912743,0.2145291046999366,-4.90316145337239
AL121821.2,-1.173625953662338,9.440355582064184e-7,8.245650411569095e-6,12.876252016441459,0.23906773199236447,-4.902959287156592
LINC02334,-1.7070146562715074,9.452971450336331e-7,8.254658824934467e-6,12.993372964387227,0.3478222645131839,-4.902697045000713
LINC01393,-1.6281268119470862,9.461589102608339e-7,8.260172322230874e-6,8.431945487559872,0.3310069459594883,-4.9025181061449965
LINC02395,-1.753623200050668,9.470663623353495e-7,8.266081894239035e-6,17.048451070732167,0.3576342616917427,-4.90232985029421
AC011246.1,-1.4947272611779936,9.478574940280636e-7,8.270973581984966e-6,14.824703073967072,0.3046330940274486,-4.902165867379072
LINC02583,-2.148024697625175,9.49314135532326e-7,8.281668693311812e-6,2.789619974302105,0.42898189776233,-4.901864284359094
ERMN,-1.3133105149163187,9.497900497997693e-7,8.28380497094885e-6,13.87712529632216,0.26760561494564017,-4.901765847631376
AC068057.3,-1.9576664856254538,9.50731721910361e-7,8.29000143217315e-6,8.123925510084021,0.39846396358145963,-4.901571214756867
BNC1,-1.3108171545279432,9.513771562026575e-7,8.29361243268813e-6,14.831525995833593,0.26709770501089286,-4.901437918026778
TRHR,-1.4734006826285788,9.531922552414179e-7,8.307415729625921e-6,8.074464508273557,0.2997251112260445,-4.901063525310297
RHAG,-1.7998281875417652,9.535856898765686e-7,8.308825008632895e-6,9.531153454398975,0.3664584037178671,-4.900982463745318
BUB1,-1.1581810725792272,9.560798751234282e-7,8.328533508880107e-6,25.20253591301773,0.23627333170468953,-4.900469320479158
AC107208.1,-1.7008297079969124,9.580193292895109e-7,8.343401275607338e-6,11.052470925123727,0.3465954036259189,-4.900071195172197
AC016813.1,-1.9885375304625905,9.600261916057697e-7,8.358848737257133e-6,4.331656657962471,0.4020006983093621,-4.899660048534571
CCDC83,-1.890822923616211,9.619048483608566e-7,8.371140373295756e-6,9.186162324008322,0.38522975440379387,-4.899275916544495
ZNF99,-1.083409061343357,9.618146080862291e-7,8.371140373295756e-6,16.907773785811965,0.22096376169440934,-4.899294351599914
RAD54L,-1.4441174590600239,9.628531292245802e-7,8.375327255785376e-6,13.145844504809517,0.29443032924725926,-4.899082294227835
LINC02049,-2.2340020930452344,9.62726643749225e-7,8.375327255785376e-6,2.7742968724812065,0.44651193233573383,-4.899108109730122
KCNK3,-1.1271308137901246,9.63393939082213e-7,8.37799895362424e-6,11.54352947739973,0.22970838958494819,-4.89897195252799
TPTE2,-1.3784117493224608,9.637561877982407e-7,8.379116904341881e-6,15.56223739356004,0.2811968286380232,-4.898898076088323
