Sample_ID,PC1,PC2,Cluster
NS.1402.004.NEBNext_dual_i7_221---NEBNext_dual_i5_269.6199_R1.bam,8.625166778950412,-0.408065140190002,2
NS.1402.004.NEBNext_dual_i7_222---NEBNext_dual_i5_270.6213_R1.bam,2.505778488886097,0.026054017757981208,2
NS.1402.004.NEBNext_dual_i7_223---NEBNext_dual_i5_271.6215_R1.bam,2.1745273778731846,11.00590535681221,1
NS.1402.004.NEBNext_dual_i7_224---NEBNext_dual_i5_272.7037_R1.bam,5.060602452496527,20.947481285919572,1
NS.1402.004.NEBNext_dual_i7_225---NEBNext_dual_i5_273.7050_R1.bam,-0.8698122728816837,-20.390647656593806,0
NS.1402.004.NEBNext_dual_i7_226---NEBNext_dual_i5_274.7056_R1.bam,0.5997566888612805,-5.599153349187049,0
NS.1402.004.NEBNext_dual_i7_227---NEBNext_dual_i5_275.7077_R1.bam,0.41196119545165916,-13.671491211456173,0
NS.1402.004.NEBNext_dual_i7_228---NEBNext_dual_i5_276.7100_R1.bam,0.20706253811278102,-10.479831730294677,3
NS.1402.004.NEBNext_dual_i7_229---NEBNext_dual_i5_277.7131_R1.bam,19.850518592033165,24.555191797374487,2
NS.1402.004.NEBNext_dual_i7_230---NEBNext_dual_i5_278.7147_R1.bam,4.663519599492902,20.522259857903595,1
NS.1402.004.NEBNext_dual_i7_231---NEBNext_dual_i5_279.7156_R1.bam,22.188505757991003,30.429447506503482,2
NS.1402.004.NEBNext_dual_i7_232---NEBNext_dual_i5_280.7180_R1.bam,0.4336412251893015,-5.219689283033571,3
NS.1402.004.NEBNext_dual_i7_233---NEBNext_dual_i5_281.7181_R1.bam,20.951645978164695,22.326223056550443,2
NS.1402.004.NEBNext_dual_i7_234---NEBNext_dual_i5_282.7183_R1.bam,-5.5439937056393065,-17.667512895016955,0
NS.1402.004.NEBNext_dual_i7_235---NEBNext_dual_i5_283.7227_R1.bam,-11.480144350258795,-24.198570613269787,0
NS.1402.004.NEBNext_dual_i7_236---NEBNext_dual_i5_284.7238_R1.bam,3.203393272946848,8.468477087544004,1
NS.1402.004.NEBNext_dual_i7_237---NEBNext_dual_i5_285.7245_R1.bam,-9.794016559686964,-16.277500139572968,3
NS.1402.004.NEBNext_dual_i7_238---NEBNext_dual_i5_286.7254_R1.bam,2.1218837400624095,-4.841657257472208,3
NS.1402.004.NEBNext_dual_i7_239---NEBNext_dual_i5_287.7257_R1.bam,-6.552229403970802,-16.172173373938755,0
NS.1402.004.NEBNext_dual_i7_240---NEBNext_dual_i5_288.7308_R1.bam,-8.432707769288301,-18.41320920429038,0
NS.1402.004.NEBNext_dual_i7_241---NEBNext_dual_i5_289.7338_R1.bam,-8.35183171521145,-24.133011260154404,0
NS.1402.004.NEBNext_dual_i7_242---NEBNext_dual_i5_290.7343_R1.bam,5.672923547445281,8.23253038647564,1
NS.1402.004.NEBNext_dual_i7_243---NEBNext_dual_i5_291.7353_R1.bam,0.725665797096755,-1.3670849877589282,3
