gene,spearman_rho,pvalue,padj
A1BG,0.7999999999999999,0.20000000000000007,0.29498148909913624
A1CF,0.7999999999999999,0.20000000000000007,0.29498148909913624
A2M,0.39999999999999997,0.6,0.6497629043462503
A2ML1,0.7999999999999999,0.20000000000000007,0.29498148909913624
A3GALT2,0.6000000000000001,0.3999999999999999,0.5121777015927432
A4GALT,0.7999999999999999,0.20000000000000007,0.29498148909913624
A4GNT,0.7999999999999999,0.20000000000000007,0.29498148909913624
AAAS,-0.7999999999999999,0.20000000000000007,0.29498148909913624
AACS,0.6000000000000001,0.3999999999999999,0.5121777015927432
AADAC,0.7999999999999999,0.20000000000000007,0.29498148909913624
AADACL2,0.7999999999999999,0.20000000000000007,0.29498148909913624
AADACL3,0.7999999999999999,0.20000000000000007,0.29498148909913624
AADACL4,0.7999999999999999,0.20000000000000007,0.29498148909913624
AADAT,0.6000000000000001,0.3999999999999999,0.5121777015927432
AAGAB,-0.39999999999999997,0.6,0.6497629043462503
AAK1,-0.6000000000000001,0.3999999999999999,0.5121777015927432
AAMDC,-1.0,0.0,0.0
AAMP,-0.7999999999999999,0.20000000000000007,0.29498148909913624
AANAT,0.7999999999999999,0.20000000000000007,0.29498148909913624
AAR2,-1.0,0.0,0.0
AARD,0.7999999999999999,0.20000000000000007,0.29498148909913624
AARS1,-1.0,0.0,0.0
AARS2,0.19999999999999998,0.8,0.8188409934341992
AARSD1,-0.7999999999999999,0.20000000000000007,0.29498148909913624
AASDH,-0.6000000000000001,0.3999999999999999,0.5121777015927432
AASDHPPT,-0.7999999999999999,0.20000000000000007,0.29498148909913624
AASS,0.7999999999999999,0.20000000000000007,0.29498148909913624
AATF,-0.19999999999999998,0.8,0.8188409934341992
AATK,0.6000000000000001,0.3999999999999999,0.5121777015927432
ABAT,0.6000000000000001,0.3999999999999999,0.5121777015927432
ABCA1,0.39999999999999997,0.6,0.6497629043462503
ABCA2,0.19999999999999998,0.8,0.8188409934341992
ABCA3,0.19999999999999998,0.8,0.8188409934341992
ABCA4,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCA5,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCA6,0.39999999999999997,0.6,0.6497629043462503
ABCA7,1.0,0.0,0.0
ABCA8,0.39999999999999997,0.6,0.6497629043462503
ABCA9,0.19999999999999998,0.8,0.8188409934341992
ABCA10,0.39999999999999997,0.6,0.6497629043462503
ABCA12,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCA13,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCB1,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCB4,-0.19999999999999998,0.8,0.8188409934341992
ABCB5,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCB6,-1.0,0.0,0.0
ABCB7,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCB8,0.39999999999999997,0.6,0.6497629043462503
ABCB9,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCB10,-0.6000000000000001,0.3999999999999999,0.5121777015927432
ABCB11,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCC1,-1.0,0.0,0.0
ABCC2,0.6000000000000001,0.3999999999999999,0.5121777015927432
ABCC3,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCC4,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCC5,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCC6,-0.19999999999999998,0.8,0.8188409934341992
ABCC8,1.0,0.0,0.0
ABCC9,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCC10,0.19999999999999998,0.8,0.8188409934341992
ABCC11,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCC12,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCD1,-0.39999999999999997,0.6,0.6497629043462503
ABCD2,1.0,0.0,0.0
ABCD3,-0.6000000000000001,0.3999999999999999,0.5121777015927432
ABCD4,0.19999999999999998,0.8,0.8188409934341992
ABCE1,-0.39999999999999997,0.6,0.6497629043462503
ABCF1,-1.0,0.0,0.0
ABCF2,-0.39999999999999997,0.6,0.6497629043462503
ABCF3,-1.0,0.0,0.0
ABCG1,0.19999999999999998,0.8,0.8188409934341992
ABCG2,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCG4,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCG5,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABCG8,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABHD1,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ABHD2,1.0,0.0,0.0
ABHD3,-0.39999999999999997,0.6,0.6497629043462503
ABHD4,-1.0,0.0,0.0
ABHD5,0.39999999999999997,0.6,0.6497629043462503
ABHD6,1.0,0.0,0.0
ABHD8,-0.6000000000000001,0.3999999999999999,0.5121777015927432
ABHD10,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ABHD11,0.0,1.0,1.0
ABHD12,1.0,0.0,0.0
ABHD12B,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABHD13,-0.6000000000000001,0.3999999999999999,0.5121777015927432
ABHD14A,-1.0,0.0,0.0
ABHD14A-ACY1,0.19999999999999998,0.8,0.8188409934341992
ABHD14B,0.39999999999999997,0.6,0.6497629043462503
ABHD15,0.39999999999999997,0.6,0.6497629043462503
ABHD16A,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ABHD16B,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABHD17A,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ABHD17B,-1.0,0.0,0.0
ABHD17C,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABHD18,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ABI1,0.0,1.0,1.0
ABI2,0.19999999999999998,0.8,0.8188409934341992
ABI3,0.39999999999999997,0.6,0.6497629043462503
ABI3BP,0.39999999999999997,0.6,0.6497629043462503
ABITRAM,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ABL1,0.39999999999999997,0.6,0.6497629043462503
ABL2,1.0,0.0,0.0
ABLIM1,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABLIM2,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ABLIM3,0.19999999999999998,0.8,0.8188409934341992
ABO,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABR,0.0,1.0,1.0
ABRA,-0.39999999999999997,0.6,0.6497629043462503
ABRACL,0.7999999999999999,0.20000000000000007,0.29498148909913624
ABRAXAS1,-1.0,0.0,0.0
ABRAXAS2,-1.0,0.0,0.0
ABT1,-1.0,0.0,0.0
ABTB1,-0.39999999999999997,0.6,0.6497629043462503
ABTB2,-0.7999999999999999,0.20000000000000007,0.29498148909913624
AC000093.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC000120.2,-0.21081851067789195,0.7891814893221081,0.8188409934341992
AC001226.2,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC002456.2,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC003002.2,-0.19999999999999998,0.8,0.8188409934341992
AC003002.3,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC004076.1,-0.7999999999999999,0.20000000000000007,0.29498148909913624
AC004233.4,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC004593.2,0.0,1.0,1.0
AC004687.2,0.19999999999999998,0.8,0.8188409934341992
AC004706.3,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC004805.1,1.0,0.0,0.0
AC004922.1,0.19999999999999998,0.8,0.8188409934341992
AC005041.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC005324.2,0.39999999999999997,0.6,0.6497629043462503
AC005520.1,-0.19999999999999998,0.8,0.8188409934341992
AC005551.1,0.39999999999999997,0.6,0.6497629043462503
AC005697.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC005726.1,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC005832.4,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC005833.1,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC006030.1,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC006254.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC006978.2,1.0,0.0,0.0
AC007040.2,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC007192.1,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC007846.2,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC007906.2,0.0,1.0,1.0
AC008012.1,0.39999999999999997,0.6,0.6497629043462503
AC008073.3,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC008397.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC008397.2,0.39999999999999997,0.6,0.6497629043462503
AC008575.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC008581.2,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC008676.3,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC008687.4,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC008687.8,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC008758.6,-0.7999999999999999,0.20000000000000007,0.29498148909913624
AC008763.2,0.39999999999999997,0.6,0.6497629043462503
AC008763.4,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC008764.1,0.0,1.0,1.0
AC008764.4,-0.39999999999999997,0.6,0.6497629043462503
AC008770.2,1.0,0.0,0.0
AC008878.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC009690.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC009779.3,-0.7999999999999999,0.20000000000000007,0.29498148909913624
AC009879.3,-1.0,0.0,0.0
AC010132.3,-0.39999999999999997,0.6,0.6497629043462503
AC010197.2,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC010255.2,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC010325.1,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC010422.8,0.19999999999999998,0.8,0.8188409934341992
AC010542.3,0.19999999999999998,0.8,0.8188409934341992
AC010547.4,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC010980.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC011005.1,-1.0,0.0,0.0
AC011330.3,-0.19999999999999998,0.8,0.8188409934341992
AC011448.1,0.19999999999999998,0.8,0.8188409934341992
AC011455.2,-0.19999999999999998,0.8,0.8188409934341992
AC011498.4,-0.19999999999999998,0.8,0.8188409934341992
AC012213.5,0.39999999999999997,0.6,0.6497629043462503
AC012309.1,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC012651.1,-0.7999999999999999,0.20000000000000007,0.29498148909913624
AC013394.1,0.39999999999999997,0.6,0.6497629043462503
AC013470.2,0.39999999999999997,0.6,0.6497629043462503
AC013477.1,0.39999999999999997,0.6,0.6497629043462503
AC013489.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC015802.6,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC017083.3,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC020636.2,0.39999999999999997,0.6,0.6497629043462503
AC020765.6,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC020915.4,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC021072.1,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC021087.5,-0.19999999999999998,0.8,0.8188409934341992
AC021660.3,-0.19999999999999998,0.8,0.8188409934341992
AC022335.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC022400.5,-0.39999999999999997,0.6,0.6497629043462503
AC022415.2,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC023055.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC024598.1,0.39999999999999997,0.6,0.6497629043462503
AC025165.6,-0.19999999999999998,0.8,0.8188409934341992
AC025283.2,-0.19999999999999998,0.8,0.8188409934341992
AC025287.4,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC026316.4,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC027644.4,1.0,0.0,0.0
AC027796.3,-0.7999999999999999,0.20000000000000007,0.29498148909913624
AC034228.3,0.39999999999999997,0.6,0.6497629043462503
AC040162.1,0.19999999999999998,0.8,0.8188409934341992
AC048338.2,0.39999999999999997,0.6,0.6497629043462503
AC055811.2,0.39999999999999997,0.6,0.6497629043462503
AC055839.2,0.39999999999999997,0.6,0.6497629043462503
AC068580.4,1.0,0.0,0.0
AC068831.6,0.6000000000000001,0.3999999999999999,0.5121777015927432
AC068896.1,0.19999999999999998,0.8,0.8188409934341992
AC068946.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC068946.2,-1.0,0.0,0.0
AC069288.1,0.39999999999999997,0.6,0.6497629043462503
AC069368.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC069503.2,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC069544.2,-0.6000000000000001,0.3999999999999999,0.5121777015927432
AC072022.2,-0.19999999999999998,0.8,0.8188409934341992
AC073082.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC073111.3,0.19999999999999998,0.8,0.8188409934341992
