cluster,TF,overlap,odds_ratio,pvalue,padj
2,AATF,2.0,1.3418538600568035,0.5363412533570491,
2,ABL1,6.0,3.020537328855593,0.07509554403371545,
2,AHR,6.0,1.2077499354172048,0.4482637115991937,
2,APC,5.0,1.4378885998413313,0.3644578093549027,
2,APEX1,3.0,1.5096836668818592,0.42612975482465343,
2,AR,2.0,0.5030338239091143,0.8943527764534389,
2,ARID3A,2.0,1.0063258455977278,0.6460918520492048,
2,ARNT,1.0,0.5030979734090616,0.8669530671790244,
2,ARNTL,2.0,0.44711248816593513,0.9235568145746166,
2,ASCL1,1.0,0.3353556215309152,0.9406334134159821,
2,ATF1,5.0,0.6706702828361101,0.8455176227348772,
2,ATF2,6.0,1.5098811676569361,0.3061098657672678,
2,ATF3,3.0,1.5096836668818592,0.42612975482465343,
2,ATF4,4.0,1.6104338842975208,0.3462380219126208,
2,ATF5,3.0,1.2076694641704326,0.5283520375391135,
2,ATF6,4.0,1.1501623376623376,0.5234543721204067,
2,ATM,6.0,0.8049082924308965,0.7471578471632309,
2,BCL11B,4.0,2.013171487603306,0.25575928363388656,
2,BCL3,6.0,1.5098811676569361,0.3061098657672678,
2,BCL6,9.0,4.532562346556403,0.008539194527999422,
2,BMI1,2.0,0.40237541957139167,0.9450157930809133,
2,BRCA1,2.0,0.6707978311386522,0.8026515754056629,
2,BTF3,2.0,0.6707978311386522,0.8026515754056629,
2,CDX1,2.0,0.6707978311386522,0.8026515754056629,
2,CDX2,2.0,0.6707978311386522,0.8026515754056629,
2,CEBPA,11.0,2.461979233983887,0.0364477292447938,
2,CEBPB,20.0,2.519733436853002,0.004700708724321822,
2,CEBPD,7.0,1.5659044912371356,0.2585203089471528,
2,CEBPE,4.0,8.054235537190083,0.04456250448618963,
2,CEBPZ,4.0,4.026859504132231,0.09873265106748656,
2,CIITA,17.0,3.4268270598887596,0.0014521404771729951,
2,CITED2,5.0,2.0133023375952472,0.21022617753722236,
2,CLOCK,2.0,0.33526981667957656,0.9719687276322466,
2,CREB1,13.0,1.636344537815126,0.12932223798869646,
2,CREB5,8.0,4.028423772609819,0.018237992308536892,
2,CREBBP,9.0,0.7242331050523323,0.8452783711137126,
2,CREM,6.0,0.7545530870576078,0.7900204886324977,
2,CRX,1.0,0.28742923528001624,0.9603451045603133,
2,CTCF,2.0,1.0063258455977278,0.6460918520492048,
2,CTNNB1,20.0,1.831827592697158,0.03660974819179875,
2,CUX1,6.0,3.020537328855593,0.07509554403371545,
2,DACH1,2.0,1.0063258455977278,0.6460918520492048,
2,DDIT3,7.0,1.2810301699334123,0.3865238705372092,
2,DLX2,,,,
2,DLX3,,,,
2,DLX5,3.0,1.5096836668818592,0.42612975482465343,
2,DMTF1,2.0,0.8050090369222824,0.7340766909390256,
2,DNMT1,12.0,1.5102766287487073,0.1865755335197663,
2,DNMT3A,1.0,0.40245256228217374,0.9111253102049882,
2,E2F1,26.0,2.6218855218855217,0.0009476662966057468,
2,E2F3,4.0,2.684400826446281,0.1711204575035152,
2,E2F4,6.0,3.020537328855593,0.07509554403371545,
2,E2F6,4.0,8.054235537190083,0.04456250448618963,
2,EBF1,,,,
2,EGR1,34.0,2.541209345202086,0.00023823942487818928,
2,EGR2,8.0,4.028423772609819,0.018237992308536892,
2,EHMT2,,,,
2,ELF1,7.0,7.049735176333807,0.008057718819644753,
2,ELF3,2.0,1.3418538600568035,0.5363412533570491,
2,ELK1,5.0,5.034224460803307,0.04444179624046511,
2,EOMES,2.0,1.3418538600568035,0.5363412533570491,
2,EP300,25.0,1.7374211379354993,0.030730450662698944,
2,EPAS1,6.0,2.0134332213898216,0.1748737638724779,
2,ERCC2,3.0,1.2076694641704326,0.5283520375391135,
2,ERG,3.0,1.2076694641704326,0.5283520375391135,
2,ESR1,13.0,2.6191596638655463,0.01792003414050904,
2,ESR2,9.0,2.26569970280398,0.07359584092992708,
2,ESRRA,5.0,10.069094666150072,0.01747743119554115,
2,ETS1,28.0,2.352979274611399,0.0016873054163234749,
2,ETS2,12.0,2.19747109147316,0.04650316483611014,
2,ETV2,2.0,1.0063258455977278,0.6460918520492048,
2,ETV4,8.0,2.685271317829457,0.05622343283141496,
2,ETV5,,,,
2,EWSR1,4.0,4.026859504132231,0.09873265106748656,
2,EZH2,4.0,1.6104338842975208,0.3462380219126208,
2,FLI1,5.0,1.677644323905463,0.2854644570705591,
2,FOS,20.0,1.6116977225672877,0.07624380985646503,
2,FOSL1,6.0,12.084474296047533,0.0066916851775715635,
2,FOSL2,5.0,1.2580718067932326,0.443622150250063,
2,FOXA1,1.0,0.40245256228217374,0.9111253102049882,
2,FOXA2,11.0,1.384241308000517,0.26051356775293305,
2,FOXC1,5.0,3.3559343923543845,0.08648163137314395,
2,FOXC2,3.0,2.013040671400904,0.31684005597273707,
2,FOXD3,4.0,2.013171487603306,0.25575928363388656,
2,FOXF2,3.0,1.2076694641704326,0.5283520375391135,
2,FOXG1,3.0,1.2076694641704326,0.5283520375391135,
2,FOXM1,7.0,1.0063299315333936,0.5760557804144406,
2,FOXO1,20.0,2.2394755003450655,0.010333859656850661,
2,FOXO3,7.0,14.100374628600957,0.0025162818498094793,
2,FOXO4,6.0,12.084474296047533,0.0066916851775715635,
2,FOXP1,,,,
2,FOXP2,2.0,1.3418538600568035,0.5363412533570491,
2,FOXP3,1.0,0.40245256228217374,0.9111253102049882,
2,FOXQ1,1.0,0.5030979734090616,0.8669530671790244,
2,GABPA,4.0,2.684400826446281,0.1711204575035152,
2,GATA1,7.0,2.0135641390001293,0.1467081947964825,
2,GATA2,6.0,12.084474296047533,0.0066916851775715635,
2,GATA3,3.0,1.0063266623628147,0.6194090453523599,
2,GATA4,6.0,1.2077499354172048,0.4482637115991937,
2,GATA6,2.0,0.6707978311386522,0.8026515754056629,
2,GFI1,6.0,3.020537328855593,0.07509554403371545,
2,GFI1B,2.0,0.5749326841503449,0.8550065839923209,
2,GLI1,3.0,1.2076694641704326,0.5283520375391135,
2,GLI2,3.0,1.0063266623628147,0.6194090453523599,
2,GLI3,3.0,1.2076694641704326,0.5283520375391135,
2,GTF2I,6.0,1.7256891906853158,0.23779486392264562,
2,GTF2IRD1,,,,
2,HAND2,,,,
2,HDAC1,15.0,3.358980990559938,0.0030694952322000936,
2,HDAC2,0.0,0.0,1.0,
2,HDAC3,4.0,2.684400826446281,0.1711204575035152,
2,HDAC4,11.0,2.2156391366162596,0.05406468154928464,
2,HDAC5,5.0,3.3559343923543845,0.08648163137314395,
2,HDAC7,5.0,1.2580718067932326,0.443622150250063,
2,HDAC9,5.0,0.8384992896810022,0.7145485993609892,
2,HDGF,4.0,4.026859504132231,0.09873265106748656,
2,HES1,2.0,1.3418538600568035,0.5363412533570491,
2,HESX1,,,,
2,HEY1,,,,
2,HIC1,5.0,2.5167893581299237,0.14266086078546894,
2,HIF1A,5.0,0.773949671663736,0.7652011832292833,
2,HIPK2,2.0,0.5749326841503449,0.8550065839923209,
2,HIVEP2,4.0,8.054235537190083,0.04456250448618963,
2,HMGA1,10.0,3.3574567071594728,0.015421893907160061,
2,HMGA2,2.0,1.0063258455977278,0.6460918520492048,
2,HNF1A,6.0,1.0978840327845754,0.5174092110480196,
2,HNF1B,1.0,0.3353556215309152,0.9406334134159821,
2,HNF4A,8.0,1.4642236316654922,0.2748078115898069,
2,HOXA1,3.0,1.5096836668818592,0.42612975482465343,
2,HOXA10,3.0,2.013040671400904,0.31684005597273707,
2,HOXA9,2.0,1.0063258455977278,0.6460918520492048,
2,HOXB7,6.0,3.020537328855593,0.07509554403371545,
2,HOXC8,4.0,2.684400826446281,0.1711204575035152,
2,HSF1,10.0,1.2582385629361592,0.3512754544956512,
2,HSF2,3.0,1.5096836668818592,0.42612975482465343,
2,ID1,3.0,1.0063266623628147,0.6194090453523599,
2,ID2,7.0,4.699522025578091,0.019166717049662954,
2,ID3,5.0,5.034224460803307,0.04444179624046511,
2,IKBKB,4.0,1.3419421487603307,0.436912584829553,
2,IKZF1,6.0,1.5098811676569361,0.3061098657672678,
2,ILF3,3.0,2.013040671400904,0.31684005597273707,
2,ING1,3.0,1.5096836668818592,0.42612975482465343,
2,ING4,6.0,1.3420304830793077,0.37710993560467854,
2,IRF1,5.0,0.7186214276489363,0.8087061026456235,
2,IRF2,2.0,1.0063258455977278,0.6460918520492048,
2,IRF3,2.0,1.0063258455977278,0.6460918520492048,
2,IRF4,5.0,2.5167893581299237,0.14266086078546894,
2,IRF7,,,,
2,IRF8,8.0,1.4642236316654922,0.2748078115898069,
2,IRF9,5.0,5.034224460803307,0.04444179624046511,
2,ISL1,3.0,2.013040671400904,0.31684005597273707,
2,JUN,46.0,1.5462736951441185,0.017886435173084633,
2,JUNB,4.0,4.026859504132231,0.09873265106748656,
2,JUND,,,,
2,KAT2B,5.0,1.2580718067932326,0.443622150250063,
2,KAT5,,,,
2,KCNIP3,4.0,2.013171487603306,0.25575928363388656,
2,KLF10,3.0,1.5096836668818592,0.42612975482465343,
2,KLF2,3.0,0.8625103753573734,0.6976218141478485,
2,KLF3,,,,
2,KLF4,5.0,1.1182143010891559,0.5200178638516161,
2,KLF5,3.0,0.8625103753573734,0.6976218141478485,
2,KLF6,5.0,0.7186214276489363,0.8087061026456235,
2,KLF8,5.0,3.3559343923543845,0.08648163137314395,
2,LDB1,7.0,3.5244154502002325,0.037724962314129536,
2,LEF1,8.0,1.1502399409376154,0.4543378743485583,
2,LHX2,,,,
2,LMO2,5.0,2.0133023375952472,0.21022617753722236,
2,LMX1B,,,,
2,MAF,,,,
2,MAFA,1.0,0.40245256228217374,0.9111253102049882,
2,MAX,2.0,1.0063258455977278,0.6460918520492048,
2,MAZ,4.0,2.013171487603306,0.25575928363388656,
2,MBD1,3.0,2.013040671400904,0.31684005597273707,
2,MBD2,4.0,1.3419421487603307,0.436912584829553,
2,MECP2,5.0,0.9147852018832259,0.6565664263277627,
2,MEF2A,5.0,5.034224460803307,0.04444179624046511,
2,MEF2C,14.0,3.134643565209896,0.005914080846830759,
2,MEF2D,4.0,8.054235537190083,0.04456250448618963,
2,MEIS1,2.0,0.8050090369222824,0.7340766909390256,
2,MEIS2,2.0,1.0063258455977278,0.6460918520492048,
2,MEN1,5.0,3.3559343923543845,0.08648163137314395,
2,MITF,9.0,1.0655959502291679,0.5121264651364252,
2,MLXIPL,5.0,2.0133023375952472,0.21022617753722236,
2,MSC,1.0,0.28742923528001624,0.9603451045603133,
2,MSX1,2.0,0.5749326841503449,0.8550065839923209,
2,MSX2,4.0,1.006327479338843,0.6029526535031587,
2,MTA1,3.0,1.5096836668818592,0.42612975482465343,
2,MTF1,3.0,3.019754680438993,0.2077863535201118,
2,MYB,6.0,1.3420304830793077,0.37710993560467854,
2,MYBL2,3.0,0.7546481601032925,0.7629346049081394,
2,MYC,17.0,1.316657214212511,0.2326900975076437,
2,MYCN,5.0,2.5167893581299237,0.14266086078546894,
2,MYF5,5.0,3.3559343923543845,0.08648163137314395,
2,MYF6,6.0,12.084474296047533,0.0066916851775715635,
2,MYOD1,29.0,3.442483406110209,3.205736193241515e-05,
2,MYOG,6.0,1.7256891906853158,0.23779486392264562,
2,MZF1,3.0,2.013040671400904,0.31684005597273707,
2,NANOG,4.0,1.3419421487603307,0.436912584829553,
2,NCOA1,4.0,1.3419421487603307,0.436912584829553,
2,NCOA3,3.0,1.2076694641704326,0.5283520375391135,
2,NCOR1,5.0,5.034224460803307,0.04444179624046511,
2,NEUROD1,2.0,0.8050090369222824,0.7340766909390256,
2,NEUROG2,1.0,0.5030979734090616,0.8669530671790244,
2,NEUROG3,,,,
2,NF1,9.0,3.6258172890554334,0.01690554570188325,
2,NFATC1,2.0,0.5749326841503449,0.8550065839923209,
2,NFATC2,3.0,0.670755326016785,0.8162619220431327,
2,NFE2,0.0,0.0,1.0,
2,NFE2L2,21.0,2.116306457874984,0.012779486432808823,
2,NFIC,4.0,1.3419421487603307,0.436912584829553,
2,NFIL3,3.0,1.2076694641704326,0.5283520375391135,
2,NFKB1,78.0,1.6417372881355932,0.0008858840518876967,
2,NFKB2,2.0,0.5749326841503449,0.8550065839923209,
2,NFKBIA,8.0,1.610749354005168,0.21931182158070436,
2,NFYA,6.0,1.7256891906853158,0.23779486392264562,
2,NFYB,8.0,3.222532299741602,0.03375606875739684,
2,NFYC,7.0,2.819351504973518,0.06500672032195928,
2,NKX2-1,1.0,0.40245256228217374,0.9111253102049882,
2,NKX2-5,10.0,3.3574567071594728,0.015421893907160061,
2,NKX3-1,3.0,1.0063266623628147,0.6194090453523599,
2,NOTCH1,9.0,1.3938294552068942,0.2880284805838614,
2,NPM1,6.0,2.4162748643761303,0.11994024209721857,
2,NR0B1,4.0,1.3419421487603307,0.436912584829553,
2,NR0B2,3.0,0.5487293855273196,0.8927592954153514,
2,NR1H3,7.0,1.4092236145200878,0.3214969626096796,
2,NR1H4,3.0,1.2076694641704326,0.5283520375391135,
2,NR1I2,2.0,0.8050090369222824,0.7340766909390256,
2,NR1I3,6.0,4.027641436321364,0.04153824784328394,
2,NR2F1,1.0,0.3353556215309152,0.9406334134159821,
2,NR2F2,5.0,1.2580718067932326,0.443622150250063,
2,NR3C1,7.0,1.4092236145200878,0.3214969626096796,
2,NR3C2,1.0,0.3353556215309152,0.9406334134159821,
2,NR4A1,2.0,0.8050090369222824,0.7340766909390256,
2,NR4A2,7.0,4.699522025578091,0.019166717049662954,
2,NR5A1,3.0,0.5487293855273196,0.8927592954153514,
2,NR5A2,2.0,0.40237541957139167,0.9450157930809133,
2,NRF1,9.0,1.8123271740534952,0.14300483531818878,
2,NRL,0.0,0.0,1.0,
2,NUPR1,0.0,0.0,1.0,
2,ONECUT1,1.0,0.5030979734090616,0.8669530671790244,
2,OTX2,,,,
2,PARP1,6.0,3.020537328855593,0.07509554403371545,
2,PAX2,3.0,0.7546481601032925,0.7629346049081394,
2,PAX3,7.0,1.2810301699334123,0.3865238705372092,
2,PAX5,5.0,1.677644323905463,0.2854644570705591,
2,PAX6,17.0,2.6355133677601663,0.006857611619024944,
2,PAX7,1.0,0.40245256228217374,0.9111253102049882,
2,PAX8,1.0,0.28742923528001624,0.9603451045603133,
2,PBX1,3.0,0.7546481601032925,0.7629346049081394,
2,PBX2,1.0,0.5030979734090616,0.8669530671790244,
2,PDX1,0.0,0.0,1.0,
2,PER1,4.0,1.6104338842975208,0.3462380219126208,
2,PGR,2.0,0.5030338239091143,0.8943527764534389,
2,PIAS1,2.0,1.0063258455977278,0.6460918520492048,
2,PITX1,,,,
2,PITX2,5.0,0.7186214276489363,0.8087061026456235,
2,PITX3,1.0,0.5030979734090616,0.8669530671790244,
2,PLAG1,4.0,8.054235537190083,0.04456250448618963,
2,PML,7.0,1.2810301699334123,0.3865238705372092,
2,POU1F1,,,,
2,POU2AF1,4.0,1.1501623376623376,0.5234543721204067,
2,POU2F1,7.0,2.0135641390001293,0.1467081947964825,
2,POU2F2,3.0,0.670755326016785,0.8162619220431327,
2,POU3F1,1.0,0.5030979734090616,0.8669530671790244,
2,POU3F2,5.0,3.3559343923543845,0.08648163137314395,
2,POU4F1,2.0,0.8050090369222824,0.7340766909390256,
2,POU5F1,5.0,0.8384992896810022,0.7145485993609892,
2,PPARA,13.0,0.9690009337068161,0.59595542854132,
2,PPARD,6.0,3.020537328855593,0.07509554403371545,
2,PPARG,24.0,2.8471075638955736,0.0007469282925675845,
2,PPARGC1A,11.0,4.432700012924906,0.0038807643789652217,
2,PRDM1,4.0,2.013171487603306,0.25575928363388656,
2,PROX1,5.0,2.0133023375952472,0.21022617753722236,
2,PTTG1,8.0,2.301513473606497,0.0862492619797169,
2,RARA,2.0,1.0063258455977278,0.6460918520492048,
2,RB1,8.0,1.7898363479758828,0.1685536608578286,
2,RBL1,3.0,2.013040671400904,0.31684005597273707,
2,RBL2,2.0,0.5030338239091143,0.8943527764534389,
2,RBMX,4.0,2.013171487603306,0.25575928363388656,
2,RBPJ,7.0,2.0135641390001293,0.1467081947964825,
2,REL,6.0,0.8624570985717976,0.6982715423778622,
2,RELA,50.0,2.019225772928033,0.0003651024019493845,
2,RELB,2.0,1.3418538600568035,0.5363412533570491,
2,REST,2.0,0.33526981667957656,0.9719687276322466,
2,RFX1,8.0,2.685271317829457,0.05622343283141496,
2,RFX5,,,,
2,RFXANK,,,,
2,RFXAP,,,,
2,RNF2,2.0,1.3418538600568035,0.5363412533570491,
2,RORA,5.0,3.3559343923543845,0.08648163137314395,
2,RUNX1,8.0,2.685271317829457,0.05622343283141496,
2,RUNX2,22.0,1.9277763396324101,0.02083107550065735,
2,RUNX3,3.0,2.013040671400904,0.31684005597273707,
2,RXRA,2.0,0.6707978311386522,0.8026515754056629,
2,SALL4,2.0,0.8050090369222824,0.7340766909390256,
2,SATB1,2.0,1.3418538600568035,0.5363412533570491,
2,SF1,3.0,0.7546481601032925,0.7629346049081394,
2,SFPQ,1.0,0.5030979734090616,0.8669530671790244,
2,SIN3A,1.0,0.3353556215309152,0.9406334134159821,
2,SIRT1,8.0,1.1502399409376154,0.4543378743485583,
2,SIX1,5.0,1.4378885998413313,0.3644578093549027,
2,SMAD1,13.0,3.742376950780312,0.0035589457279987533,
2,SMAD2,7.0,2.0135641390001293,0.1467081947964825,
2,SMAD3,23.0,2.898818770226537,0.0008303866357543659,
2,SMAD4,15.0,1.77737123557557,0.07503837403874347,
2,SMAD5,4.0,1.6104338842975208,0.3462380219126208,
2,SMAD7,4.0,2.013171487603306,0.25575928363388656,
2,SMARCA4,4.0,0.5748229043683589,0.8962327871118655,
2,SNAI1,8.0,1.0734883720930233,0.5135968876099416,
2,SNAI2,1.0,0.251484445591842,0.9735124196313124,
2,SOX10,1.0,0.2011617400283981,0.9881830476364999,
2,SOX17,3.0,2.013040671400904,0.31684005597273707,
2,SOX2,5.0,0.9147852018832259,0.6565664263277627,
2,SOX4,4.0,4.026859504132231,0.09873265106748656,
2,SOX5,,,,
2,SOX6,2.0,1.0063258455977278,0.6460918520492048,
2,SOX9,7.0,1.0063299315333936,0.5760557804144406,
2,SP1,118.0,1.9776372084962577,1.4872283933423147e-07,
2,SP2,3.0,1.2076694641704326,0.5283520375391135,
2,SP3,31.0,1.6022069158002812,0.03441114687410295,
2,SP4,1.0,0.3353556215309152,0.9406334134159821,
2,SP7,5.0,1.677644323905463,0.2854644570705591,
2,SPDEF,,,,
2,SPI1,16.0,1.8961078482091234,0.04904852618834638,
2,SREBF1,16.0,2.687015002586653,0.007762356214266939,
2,SREBF2,1.0,0.22352738694548427,0.982307935539965,
2,SRF,8.0,2.0136950904392763,0.12386762795058083,
2,SRY,,,,
2,STAT1,13.0,1.8703481392557022,0.07657705084168516,
2,STAT2,2.0,0.5030338239091143,0.8943527764534389,
2,STAT3,32.0,1.955605824968189,0.005298433633219159,
2,STAT4,2.0,1.3418538600568035,0.5363412533570491,
2,STAT5A,10.0,2.013957094856552,0.0895444676326635,
2,STAT5B,3.0,1.5096836668818592,0.42612975482465343,
2,STAT6,5.0,2.5167893581299237,0.14266086078546894,
2,TAL1,7.0,4.699522025578091,0.019166717049662954,
2,TBP,3.0,2.013040671400904,0.31684005597273707,
2,TBX1,5.0,10.069094666150072,0.01747743119554115,
2,TBX2,2.0,0.6707978311386522,0.8026515754056629,
2,TBX21,2.0,0.8050090369222824,0.7340766909390256,
2,TBX3,2.0,0.8050090369222824,0.7340766909390256,
2,TCF12,2.0,1.3418538600568035,0.5363412533570491,
2,TCF21,,,,
2,TCF3,10.0,0.958350256618543,0.610583308304167,
2,TCF4,8.0,1.610749354005168,0.21931182158070436,
2,TCF7L2,4.0,1.006327479338843,0.6029526535031587,
2,TFAP2A,4.0,1.3419421487603307,0.436912584829553,
2,TFAP2C,3.0,1.5096836668818592,0.42612975482465343,
2,TFAP4,1.0,0.40245256228217374,0.9111253102049882,
2,TFCP2,2.0,0.6707978311386522,0.8026515754056629,
2,TFDP1,2.0,0.5030338239091143,0.8943527764534389,
2,TP53,72.0,1.7114428470710847,0.0006291564067234946,
2,TP63,8.0,2.685271317829457,0.05622343283141496,
2,TP73,3.0,0.670755326016785,0.8162619220431327,
2,TRERF1,4.0,2.684400826446281,0.1711204575035152,
2,TRP53,65.0,1.6406514382402708,0.0022627163576663533,
2,TRP63,2.0,0.5749326841503449,0.8550065839923209,
2,TRP73,8.0,1.610749354005168,0.21931182158070436,
2,TWIST1,7.0,0.7825001076518968,0.7741956473925407,
2,TWIST2,3.0,2.013040671400904,0.31684005597273707,
2,USF1,7.0,2.3493088748223743,0.10146581381394876,
2,USF2,5.0,2.0133023375952472,0.21022617753722236,
2,VDR,4.0,2.684400826446281,0.1711204575035152,
2,VHL,11.0,3.1658080836056794,0.01392312341772075,
2,WT1,7.0,2.3493088748223743,0.10146581381394876,
2,WWTR1,2.0,1.3418538600568035,0.5363412533570491,
2,XBP1,5.0,1.4378885998413313,0.3644578093549027,
2,YBX1,,,,
2,YY1,9.0,1.5100788215531722,0.23545487430248566,
2,ZBTB16,4.0,1.6104338842975208,0.3462380219126208,
2,ZBTB33,3.0,3.019754680438993,0.2077863535201118,
2,ZBTB7A,4.0,4.026859504132231,0.09873265106748656,
2,ZEB1,7.0,3.5244154502002325,0.037724962314129536,
2,ZEB2,4.0,4.026859504132231,0.09873265106748656,
