category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
NA,NA,hsa04820,Cytoskeleton in muscle cells,90/1104,233/9521,3.53790574730406e-27,1.2135016713252925e-24,9.012349377342974e-25,COL5A2/ELN/COL1A1/COL1A2/COL6A3/COL5A1/THBS2/COL3A1/COL6A1/COL6A2/BGN/FBLN1/FN1/THBS3/DCN/NID2/VIM/HSPG2/MYH8/SYNE3/VCAN/SPTAN1/NID1/ITGB5/THBS4/ITGA11/MYL5/MYOM1/MYBPH/LAMA2/DES/FBN1/FBLN2/MYBPC1/SGCE/MYH10/COL24A1/MYH3/INF2/SDC3/MYOT/COMP/ENO2/SNTA1/DTNA/ITGA2/PDLIM5/AGRN/FHL3/JUP/MYH14/FLNC/ACTG1/ITGA10/COL11A1/MYOZ1/SDC2/LMOD1/ITGB4/AMPD2/TCAP/COL5A3/MYBPHL/COL4A2/PDLIM4/ATP1B1/SDC1/CKM/NRAP/PDLIM3/COL4A1/ACTC1/COL6A6/AMPD1/ITGB8/MYOM2/ACTN2/THBS1/FMNL1/XIRP1/TRIM63/MYL9/MYL4/ITGA4/ENO3/SDC4/ANKRD2/TNNT2/DSP/MYH15,90
NA,NA,hsa04518,Integrin signaling,53/1104,154/9521,5.364849066885716e-14,9.200716149709003e-12,6.833123548349176e-12,COL1A1/COL1A2/COL6A3/THBS2/SRC/COL6A1/COL6A2/PARVA/PDGFRB/TGFB1/FN1/THBS3/CCND2/IGF1/PDGFD/ITGB5/THBS4/ITGA11/CHAD/SPP1/C3/LAMA2/FREM1/LAMA4/FBN1/TNXB/ITGB2/ACTN1/PDGFRA/COMP/LAMB1/ITGA2/LAMB2/LAMA3/VEGFD/ACTG1/ITGA10/HGF/ITGB4/FERMT3/COL4A2/ITGAM/VCAM1/COL4A1/FLNA/COL6A6/ITGB8/THBS1/CCND1/ITGA4/TNC/RAC3/ITGAX,53
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,37/1104,89/9521,4.962916433669598e-13,5.67426778916224e-11,4.214125533151027e-11,COL1A1/COL1A2/COL6A3/THBS2/COL6A1/COL6A2/FN1/THBS3/HSPG2/ITGB5/THBS4/ITGA11/CHAD/SPP1/LAMA2/FREM1/LAMA4/TNXB/CD44/COMP/LAMB1/ITGA2/LAMB2/LAMA3/AGRN/ITGA10/ITGB4/COL4A2/SDC1/COL4A1/COL6A6/ITGB8/THBS1/ITGA4/TNC/SDC4/SV2A,37
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,48/1104,160/9521,2.1534971976719186e-10,1.8466238470036702e-8,1.3714376890436956e-8,JAM3/CD276/VCAN/CLDN15/PTPRF/CD4/CD34/HLA-DRB1/SDC3/NLGN2/ITGB2/SIGLEC1/PTPRS/PTPRD/ALCAM/JAM2/HLA-DRA/SDC2/HLA-DPB1/CADM3/CXADR/HLA-DQA1/HLA-DPA1/SDC1/ITGAM/NLGN4X/F11R/VCAM1/ITGB8/NCAM1/SPN/HLA-DMB/SELP/PDCD1LG2/CD86/ITGA4/CLDN23/SELPLG/CD2/CLDN11/CD28/SDC4/NRXN3/LRRC4B/CD8A/NRCAM/HLA-DRB5/CD40LG,48
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,36/1104,105/9521,7.013841730579135e-10,4.273775705554941e-8,3.174017863263145e-8,COL5A2/ELN/COL1A1/COL1A2/COL14A1/COL6A3/COL5A1/COL3A1/COL6A1/COL19A1/COL6A2/COL8A1/COL16A1/COL8A2/COL18A1/COL12A1/PRCP/COL25A1/COL24A1/COL10A1/DPP4/COL11A1/COL15A1/COL5A3/XPNPEP2/COL4A2/ATP1B1/CPA3/SLC1A5/COL4A1/SLC38A2/COL6A6/CPA1/SLC7A7/KCNJ13/KCNK5,36
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,55/1104,203/9521,7.475992487851208e-10,4.273775705554941e-8,3.174017863263145e-8,COL1A1/COL1A2/COL6A3/THBS2/SRC/COL6A1/COL6A2/PARVA/PDGFRB/DOCK1/FN1/THBS3/CCND2/IGF1/PDGFD/ITGB5/FYN/THBS4/ITGA11/CHAD/SPP1/MYL5/LAMA2/LAMA4/VAV2/TNXB/MYLK/ACTN1/PDGFRA/COMP/LAMB1/ITGA2/LAMB2/LAMA3/VEGFD/ACTG1/ITGA10/HGF/ITGB4/SHC2/COL4A2/SHC3/COL4A1/FLNA/MYLK2/COL6A6/MYLK3/ITGB8/THBS1/MYL9/CCND1/ITGA4/TNC/RAC3/EMP1,55
NA,NA,hsa04517,IgSF CAM signaling,71/1104,302/9521,2.489499577823992e-9,1.2198547931337562e-7,9.05953229824671e-8,SRC/KIRREL1/JAM3/SLIT3/APP/CLMP/ROBO3/SPTAN1/SRGAP2/FYN/PTPRF/TUBA4A/CD84/DOK1/ARPC5/MBP/EPB41L1/EZR/VAV2/SRGAP1/MYH10/TUBA1A/MYLK/NRP2/NLGN2/ITGB2/ACTN1/CABLES1/DOK2/KCNA6/NTN1/PTPRS/PTPRD/PRKCQ/EPB41L3/PLXNA3/MYH14/ACTG1/JAM2/TUBB2A/PARD6G/TUBB6/CADM3/CXADR/ITGAM/KCNA1/NLGN4X/F11R/CD209/MYLK2/MYLK3/NCAM1/BAIAP2/CD86/MYL9/ITGA4/MAPK13/PLXNA4/CASKIN1/CD2/LRFN5/CD28/ITGAX/TUBB2B/SLAMF7/LRRC4B/SH2D1A/SLAMF6/SH2D1B/NRCAM/IL1RAPL1,71
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,31/1104,88/9521,5.086673237504249e-9,2.180911150579947e-7,1.6197038466789848e-7,C1R/C1S/BDKRB2/C2/SERPING1/C7/C3/F2R/CFH/CLU/PROCR/BDKRB1/ITGB2/C1QA/F3/C1QC/F10/VSIG4/C3AR1/F13A1/C1QB/ITGAM/C4B/PROS1/C4A/C6/CFB/SERPINE2/ITGAX/F2RL2/PLAU,31
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,44/1104,159/9521,1.9036769661897862e-8,7.255124437812186e-7,5.388185097285711e-7,THBS2/C1R/MRC2/THBS3/COLEC12/ITGB5/THBS4/TUBA4A/C3/TCIRG1/MSR1/PLA2R1/RAB7B/TUBA1A/HLA-DRB1/ITGB2/COMP/DYNC2H1/ITGA2/CD14/MRC1/CYBB/FCGR2B/ACTG1/HLA-DRA/TUBB2A/HLA-DPB1/TUBB6/CTSS/HLA-DQA1/HLA-DPA1/ITGAM/CD209/THBS1/HLA-DMB/NCF4/FCGR3A/TUBB2B/FCGR2A/ATP6V1F/CORO1A/MARCO/CLEC7A/HLA-DRB5,44
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,20/1104,50/9521,2.5036695783175645e-7,8.202734153595544e-6,6.091949256314629e-6,THBS2/LRP1/TGFB1/CD81/THBS3/THBS4/TGFB3/ITGB2/COMP/ACKR1/HGF/SDC2/MYD88/SDC1/VCAM1/THBS1/SELP/TLR9/CSF3/CD40LG,20
