category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,50/2970,95/9521,1.048191259639119e-5,1.2054199485849869e-4,9.636003860542077e-5,TRAF3IP2/FOSL1/IKBKB/CASP8/MAPK13/IKBKE/MMP13/IL5/MMP3/CXCL5/MMP1/MMP9/IFNG/IL1B/CCL2/CXCL8/IL4/S100A7A/IL6/IL17RE/CXCL1/LCN2/TNF/MUC5AC/IL25/CXCL3/IL17F/CXCL6/IL17A/MUC5B/IL13/S100A7/CCL20/CCL11/DEFB4B/TNFAIP3/CCL7/TRAF4/CXCL10/PTGS2/S100A9/CSF2/CSF3/MAPK15/S100A8/CCL17/IL17B/DEFB4A/IL17C/CXCL2,50
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,21/2970,30/9521,1.3864390404676369e-5,1.5429724805204347e-4,1.2334364298897146e-4,PLA2G4A/CYP3A4/CYP2C9/PLA2G5/PLA2G2F/CYP2C8/CYP2C19/PLA2G4E/PLA2G4D/PLA2G3/PLA2G2C/ALOX15/PLB1/PLA2G2D/PLA2G1B/CYP1A2/PLA2G12B/PLA2G2A/PLA2G2E/PLA2G10/PLAAT2,21
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,27/2970,43/9521,1.8709098289214573e-5,2.0170746593059461e-4,1.6124288657152035e-4,GOT2/LIPF/PLA2G5/PNLIP/PLA2G2F/ABCG8/FABP2/DGAT2/MOGAT2/PNLIPRP1/MTTP/PLA2G3/PLA2G2C/ABCG5/APOB/PLA2G2D/MOGAT3/PLA2G1B/NPC1L1/APOA4/PLA2G12B/PLPP2/PLA2G2A/PLA2G2E/PLA2G10/CLPS/FABP1,27
Metabolism,Carbohydrate metabolism,hsa00053,Ascorbate and aldarate metabolism,21/2970,31/9521,3.0347700486520798e-5,3.172714141772629e-4,2.5362352559707977e-4,UGT1A1/UGT2B4/HSD17B14/UGT2B10/UGT2B7/UGT2B15/MIOX/UGT1A7/UGT2B28/UGT1A4/UGT2B11/UGT1A6/UGT2A1/UGT2A3/UGT1A8/UGT1A9/UGT1A10/UGDH/UGT1A5/UGT1A3/UGT2B17,21
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,99/2970,226/9521,3.688680382362912e-5,3.742925682103543e-4,2.992056533062176e-4,RYR2/TIAM1/ATP2B3/CACNA1D/GRIN2B/BDNF/ADRB1/CACNA1F/GRIN3A/GNAI1/CAMK4/PDE3A/VAV3/GRIA4/GRIN2A/GRIA1/PTGER3/CHRM2/SUCNR1/ADCY8/TSHR/GRIA3/GHSR/CFTR/SSTR2/PDE10A/LHCGR/CNGA3/ATP2A1/GIPR/GCG/HTR1F/GRIN2D/CNGB3/FSHB/OXTR/GABBR2/HCAR2/ATP2B2/ADCY10/CNGA2/FSHR/HCAR3/CGA/PPP1R1B/VAV1/HTR4/RAPGEF4/PTGER2/CNGB1/HTR1B/HCN4/CNGA4/TNNI3/CALML3/HCAR1/HTR1A/HTR6/DRD5/PDE3B/ADCYAP1/GIP/VIP/CRHR1/ATP1B3/CREB3L3/CHRM1/SST/DRD1/GPR119/VIPR2/PRKACG/GLP1R/ATP1A3/EDN2/TSHB/MC2R/NPY/F2R/LIPE/HTR1E/HCN2/RAC3/GRIN1/NPPA/GRIN3B/RAC2/PDE4B/FFAR2/GPHB5/CRH/GRIA2/GRIN2C/HHIP/KCNK2/GPHA2/SSTR5/CALML6/CALML5,99
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,46/2970,89/9521,4.2652886402272916e-5,4.204355945366902e-4,3.360919169141505e-4,NPNT/TNC/RELN/THBS1/TNN/SPP1/LAMA1/LAMA3/ITGA2/SV2C/CD44/DSPP/COL4A6/LAMC3/COL9A1/ITGA4/TNR/LAMB4/COMP/COL9A2/SV2A/COL1A1/SDC1/ITGB8/COL2A1/DMP1/COL6A5/COL6A6/THBS2/ITGB7/MEPE/LAMA4/THBS4/HMMR/IBSP/COL9A3/GP5/LAMC2/ITGA10/COL6A3/COL1A2/GP6/ITGA2B/FN1/GP1BA/CHAD,46
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,86/2970,193/9521,5.5895153176161275e-5,5.356618846048789e-4,4.282026354431069e-4,TIAM1/GNAI1/DOCK2/GNB5/VAV3/IKBKB/ADCY8/CCL28/PRKCZ/CCR5/CXCR6/SHC4/CXCL5/CCR2/PRKCB/CCL3/CCR1/PRKCD/GNG4/SRC/GRK3/CCL18/PLCB2/CCR8/VAV1/CCL2/CXCL8/CCR7/ITK/GNB3/CXCL11/XCL1/PIK3CG/HCK/CXCR5/CXCL1/CCL3L3/PIK3R5/CCL23/CXCL3/CCL19/CCL26/CXCL6/CXCL13/GNGT1/CCL22/CXCL16/XCL2/LYN/CCL8/SHC3/CCL16/CCR9/CCR6/PRKACG/GRK1/PIK3R6/CCL20/JAK3/CCL11/WAS/CCL4/CCL1/GNGT2/CCL13/CCL25/CCL4L2/XCR1/CCL7/RAC3/CXCR1/CXCL10/GNG8/CXCR2/RAC2/CXCR3/CCL21/GNG13/NCF1/CCL14/CCR4/CCL17/CCL15/GNG3/CXCL2/CCL24,86
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,48/2970,95/9521,6.220961916163394e-5,5.80062665155776e-4,4.6369616558600545e-4,IL18/TNFRSF11A/CD80/CD28/TNFSF11/ATP6V0D2/CD86/ATP6V0A4/MMP3/ATP6V1C2/CXCL5/ICAM1/MMP1/CCL3/TLR2/IFNG/HLA-DMB/IL1B/CCL2/CXCL8/IL6/CXCL1/CCL3L3/IL1A/TNF/CXCL3/CXCL6/IL17A/CTLA4/TGFB3/TGFB1/ATP6V1G3/ACP5/ITGB2/CCL20/IL23A/ATP6V1B1/IL11/HLA-DQA2/ITGAL/PTH/CTSK/ATP6V1F/HLA-DQB2/LTB/CSF2/HLA-DRB5/CXCL2,48
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,63/2970,134/9521,8.202752828919315e-5,7.447236120992536e-4,5.953244435392966e-4,VAV3/SH2D1A/ULBP3/NCR2/SHC4/ICAM1/SYK/PRKCB/KIR2DL4/IFNA21/KIR2DL3/BID/IFNG/KIR3DL1/VAV1/IFNA10/RAET1E/CD244/LCP2/FASLG/FCER1G/NCR3/IFNA2/KIR3DL2/IFNA7/TNF/PRKCG/CD48/PPP3R2/PTPN6/CD247/KIR2DL1/SH2D1B/ULBP1/IFNA16/ULBP2/TYROBP/SHC3/HLA-G/ITGB2/IFNA17/RAET1L/IFNA13/RAET1G/FCGR3A/KLRK1/NCR1/IFNA5/IFNB1/LCK/IFNA6/ITGAL/RAC3/IFNA1/KLRC1/IFNA14/RAC2/IFNA8/CSF2/IFNA4/GZMB/KLRC2/FCGR3B,63
Cellular Processes,Cell motility,hsa04814,Motor proteins,86/2970,197/9521,1.3508243386278814e-4,0.001194959991863126,9.55238803564116e-4,TNNT2/KIF23/KIF4A/DNAH5/DNAH6/DNAH10/MYO5B/DNAH14/CENPE/KIF14/TPM2/MYO16/KIF26B/ACTC1/DNAH12/DNAH11/MYO3B/KIF20A/MYH2/MYO3A/TNNI2/KIF6/TPM1/DNAH8/DNAH2/TNNC2/DNAH9/MYO1H/KIF5C/MYH10/DNAH7/DNAH17/TNNT3/KIF18B/MYO15A/KIF5A/ACTA1/BICDL1/DNAI3/TUBB6/MYO1D/KIF20B/TUBA3E/KIF7/DYNLRB2/MYH15/KIF15/KIF12/KIF11/MYO1G/KIFC1/KIF18A/KIF2C/MYL1/MYL4/MYO7B/TUBB3/TNNI3/KIF1A/KIF21B/ACTG2/DNAI2/TUBA3C/KLC3/DNAI1/MYO1A/TUBB8/KIF19/KIF4B/KIF25/MYH13/MYO1F/BICDL2/MYH8/MYH11/TUBAL3/KIF2B/CAPZA3/MYL7/TUBB4A/TUBA3D/DNAH3/MYH6/MYH3/TUBB8B/MYH1,86
