ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0004984,olfactory receptor activity,356/6042,429/18496,4.631422403388525e-105,5.497498392822179e-102,4.4217895998667285e-102,OR4K2/OR1C1/OR2F1/OR51L1/OR51A7/OR6Y1/OR2AG1/OR6F1/OR2B11/OR4K13/OR52E4/OR12D3/OR8D1/OR4K17/OR52K1/OR10K1/OR6J1/OR9G1/OR4C3/OR9Q2/OR6K3/OR10A2/OR10AG1/OR4N5/OR52I2/OR56A1/OR2A14/OR6B1/OR2V2/OR2T12/OR8B12/OR4D9/OR56A3/OR14J1/OR8B8/OR2T1/OR5A1/OR2H1/OR4M1/OR8A1/OR4N2/OR52A1/OR6P1/OR8J3/OR7C1/OR2I1P/OR9I1/OR11G2/OR2T6/OR5AN1/OR10Z1/OR56A4/OR2G6/OR51S1/OR4D1/OR13G1/OR10A3/OR5B2/OR51E2/OR2J3/OR4L1/OR8B3/OR51M1/OR2AG2/OR9G4/OR6N1/OR2AJ1/OR4Q3/OR8D2/OR5H14/OR4K1/OR52E5/OR1S2/OR2C3/OR4S2/OR2A12/OR7A10/OR1N2/OR5M1/OR6C75/OR8H2/OR2T27/OR2AT4/OR2D3/OR2A25/OR5A2/OR2T33/OR2L2/OR51I2/OR4K14/OR1A1/OR10D3/OR6A2/OR4E1/OR8J1/OR13A1/OR6C70/OR8G1/OR12D2/OR10H1/OR52E8/OR2Z1/OR51F1/OR4C11/OR2A42/OR2Y1/OR4E2/OR8B4/OR10R2/OR1D2/OR10A6/OR5V1/OR2L3/OR2M3/OR1L8/OR5AU1/OR2A5/OR14A16/OR2L13/OR2J2/OR10J1/OR2A7/OR6C4/OR5H1/OR9K2/OR10G7/OR5H2/OR51Q1/OR5AS1/OR4C15/OR7A17/OR10K2/OR51D1/OR4D2/OR6C3/OR4C16/OR2A1/OR5K3/OR2T4/OR7D4/OR56B4/OR4K5/OR51G2/OR2T2/OR52N1/OR5M3/OR51T1/OR4F15/OR10H5/OR6C6/OR2T11/OR2T10/OR5AP2/OR10G8/OR5F1/OR52E2/OR5K1/OR9A4/OR5P3/OR6C2/OR6N2/OR6K6/OR51B5/OR2M4/OR2F2/OR8K3/OR11H4/OR3A3/OR8H1/OR1I1/OR4D10/OR8I2/OR8K1/OR2M2/OR5T2/OR10H4/OR7G3/OR10S1/OR2V1/OR56A5/OR10H3/OR8D4/OR4P4/OR52I1/OR11A1/OR2J1/OR2H2/OR4X2/OR52A5/OR1D5/OR2B2/OR5T1/OR52B6/OR4C6/OR52K2/OR52N2/OR13C8/OR52L1/OR7G2/OR1G1/OR4A47/OR2A4/OR13F1/OR51A4/OR2T3/OR5T3/OR6C1/OR5AC2/OR6V1/OR52N5/OR5L1/OR6S1/OR5AR1/OR2AP1/OR2T29/OR5B3/OR4X1/OR52J3/OR10G4/OR5B12/OR2G3/OR6C68/OR5M10/OR7E24/OR10H2/OR51F2/OR10C1/OR6C65/OR8U1/OR4B1/OR4F6/OR10A4/OR6T1/OR2T8/OR14K1/OR13H1/OR4C5/OR8G5/OR4D5/OR10G3/OR4F17/OR4S1/OR10T2/OR5J2/OR52H1/OR13J1/OR2T35/OR2G2/OR6X1/OR2M5/OR7G1/OR1S1/OR9Q1/OR2B6/OR5AK2/OR6Q1/OR52E6/OR1M1/OR4D6/OR5H6/OR5M8/OR2M7/OR2C1/OR10G6/OR5K4/OR1L1/OR4A15/OR5L2/OR1A2/OR2A2/OR52D1/OR1N1/OR2L8/OR52M1/OR5W2/OR13D1/OR6K2/OR51B6/OR10AD1/OR8H3/OR10G2/OR11H1/OR13C3/OR13C4/OR5B17/OR4F5/OR4A16/OR6M1/OR1J4/OR10V1/OR51B2/OR2AK2/OR56B1/OR4K15/OR10X1/OR5I1/OR56B2P/OR10A7/OR11H12/OR5H15/OR14A2/OR8S1/OR7C2/OR4C12/OR2D2/OR14C36/OR51I1/OR51V1/OR1Q1/OR1L4/OR5D18/OR4F4/OR8B2/OR6C74/OR1J2/OR7A5/OR2W1/OR11H2/OR5K2/OR52R1/OR4D11/OR10G9/OR13C2/OR5D14/OR10W1/OR5P2/OR5D16/OR4C13/OR13C9/OR2S2/OR2B3/OR1L6/OR1K1/OR11L1/OR2L5/OR1L3/OR5D13/OR10A5/OR4A5/OR8K5/OR52B2/OR6C76/OR2T34/OR10P1/OR6B3/OR51B4/OR10J5/OR52W1/OR11H6/OR3A1/OR52B4/OR1J1/OR1F1/OR51G1/OR5C1/OR4C46,356
GO:0005125,cytokine activity,173/6042,237/18496,2.198016640656932e-37,1.3045228762298892e-34,1.0492637331978092e-34,IL7/TNFSF15/GDF11/IL18/WNT2/SPP1/GDF7/NRG1/CD40LG/NDP/TNFSF11/WNT8A/FGF2/IL1RN/WNT3A/CCL28/IL5/ALKAL2/TIMP1/WNT2B/CMTM7/TNFSF8/TNFRSF11B/GDF6/CXCL5/WNT3/WNT16/CMTM2/CCL3/CD70/WNT10A/IFNA21/BMP10/IL12B/TNFSF18/IFNG/BMP15/CCL18/IL1B/IFNA10/CCL2/LEFTY2/SECTM1/CXCL8/IL10/IL4/IL21/CLCF1/IL19/FASLG/CXCL11/IL6/WNT10B/XCL1/IFNA2/INHBA/INHBE/IFNA7/CXCL1/SCG2/IL36G/IL36RN/WNT7A/WNT8B/CCL3L3/IL1A/TNF/IL12A/IL25/CCL23/CXCL3/IL17F/IFNK/CCL19/IFNE/CCL26/CXCL6/CXCL13/IL17A/IL27/TNFSF14/IFNW1/IL1F10/CCL22/IL36B/TGFB3/C1QTNF4/LIF/CXCL16/IFNA16/IL20/XCL2/ALKAL1/TGFB1/CCL8/IL26/IL13/GDF5/IFNA17/IFNA13/IL36A/CCL16/WNT1/IL22/INHBC/CCL20/VSTM1/CCL11/EBI3/IL23A/CCL4/FLT3LG/IL11/FAM3B/CCL1/NODAL/GDF2/BMP8A/C17orf99/IL2/IFNA5/GDF3/CCL13/IFNB1/CCL25/CCL7/OSM/IFNA6/IL24/IL34/LTA/IL37/IFNA1/WNT7B/IFNA14/IL31/ADIPOQ/BMP3/GDF15/CXCL10/CMTM1/IL9/CMTM5/IFNA8/BMP7/GDF10/CCL21/IL3/SCGB3A1/LTB/FAM3D/CSF2/CCL14/IFNA4/IFNL2/EPO/INHA/CER1/CSF3/GREM2/IL32/IFNL3/CCL17/CCL15/IL17B/AREG/TNFSF9/WNT9B/IFNL1/SLURP1/IL17C/CXCL2/CCL24,173
GO:0005549,odorant binding,100/6042,122/18496,2.886850090612163e-29,1.1422303525188793e-26,9.187273797141165e-27,OR12D3/OR8D1/OR10K1/OR9Q2/OR6K3/OR8B12/OR14J1/OR8B8/OR5A1/OR8A1/OR8J3/OR9I1/OR5AN1/OR10Z1/OR13G1/OR5B2/OR8B3/OR9G4/OR8D2/OR5H14/OR5M1/OR8H2/OR2A25/OR5A2/OR4E1/OR8J1/OR13A1/OR8G1/OR12D2/OR4E2/OR8B4/OR10R2/OR5AU1/OR14A16/OR10J1/OR2A7/OR5H1/OR9K2/OR5H2/OR5AS1/OR10K2/OR5K3/OR5M3/OR5AP2/OR5F1/OR5K1/OR5P3/OR6N2/OR6K6/OR8K3/OR8H1/OR8I2/OR8K1/OR5T2/OR8D4/OR5T1/OR2A4/OR5T3/OR5AC2/OR5L1/OR5AR1/OR5B3/OR5B12/OR5M10/OR8U1/OR14K1/OR8G5/OR10T2/OR5J2/OR9Q1/OR5AK2/OR5H6/OR5M8/OR2C1/OR5K4/OR5L2/OR5W2/OR6K2/OR8H3/OR5B17/OR10V1/OR5I1/OR5H15/OR14A2/OR14C36/OR5D18/OR8B2/OR5K2/OR5D14/OR10W1/OR5P2/OR5D16/OBP2A/OR1K1/OR11L1/OR5D13/OR8K5/OBP2B/OR6B3/OR5C1,100
GO:0022836,gated channel activity,202/6042,326/18496,8.071700626431809e-28,2.3952771608936393e-25,1.9265874916246452e-25,RYR2/SCN9A/KCNT2/CACNB4/PIEZO2/SCN4A/GABRB2/KCNQ3/CACNA1D/KCNAB1/GRIN2B/TMC1/KCNJ6/CACNA1F/GRIN3A/TMC3/KCNK1/GRID2/GABRA2/SCN2A/SCN11A/CLCA2/KCNJ12/TMC5/KCND2/CACNA2D4/KCNH8/CACNA1E/GRIA4/GRIN2A/GRIA1/KCNMB1/SNAP25/TRPA1/GLRA3/GABRG3/CACNA1A/CACNA1G/GABRQ/CACNB3/HTR3B/TRPM8/SLC17A3/CACNA1B/GABRA3/GRIA3/CFTR/SCN1A/GABRG2/GRIK1/KCNG3/KCNK10/GLRA2/GRID1/TRPC3/PKD2L1/CNGA3/KCNS2/KCNH5/KCNJ1/OPRM1/ASIC1/NCS1/KCNS3/KCNS1/SCNN1B/KCNH7/GABRA4/KCNK6/GABRR1/KCNU1/P2RX7/NOX1/ASIC5/SCNN1G/KCNMB2/KCNA4/GABRB1/KCNIP1/KCNQ2/KCNIP4/NALCN/GRIN2D/MCOLN2/CNGB3/SCN10A/TRPV4/KCNK5/SCN3A/KCNJ10/KCNK3/KCNC2/GABRG1/CHRNA3/TMC2/GRIK4/CHRNA9/CNGA2/GABRA1/KCNN4/CHRNB4/GLRA1/CHRNB2/KCNK12/GABRR3/KCNJ5/KCNG1/CNGB1/CHRNA1/CALHM3/KCNV1/CHRNA2/HTR1B/GABRP/SCN8A/HTR3D/KCNT1/HTR3E/GABRA6/HTR3C/HCN4/GABRA5/CATSPER1/KCNB2/KCNK17/CNGA4/KCNJ15/ASIC2/CHRNB3/KCNN1/CHRNA6/KCNA6/SCN5A/KCNV2/KCNA1/CACNG5/GABRD/KCNE4/KCNE1/SLC1A5/KCNH3/KCNC1/KCNK13/CACNA1I/CALHM1/ASIC4/CACNG7/KCNK9/GRIK3/HTR3A/LRRC52/GABRB3/KCNJ9/GABRE/KCNG4/CACNG3/KCND1/TRPM5/P2RX2/CACNG2/KCNJ16/KCNA10/CHRNA4/CYBB/TMC4/KCNK18/ZACN/KCNQ4/KCNJ13/TMEM37/SCNN1A/CACNG8/KCNK16/KCNH4/HCN2/KCNH6/GRIN1/CHRND/FKBP1B/CLCNKB/CACNG4/KCNJ18/GRIN3B/KCNH2/CLIC6/KCNK15/P2RX1/GRIA2/GRIN2C/RYR3/KCNK2/CHRNG/CLCNKA/KCNJ4/KCNAB3/TMEM63C/KCNA3/SLC1A7/KCNF1/CCT8L2/KCNG2/P2RX3,202
GO:0022839,monoatomic ion gated channel activity,201/6042,325/18496,1.5591287372481237e-27,3.7013716222270458e-25,2.977115294071681e-25,RYR2/SCN9A/KCNT2/CACNB4/PIEZO2/SCN4A/GABRB2/KCNQ3/CACNA1D/KCNAB1/GRIN2B/TMC1/KCNJ6/CACNA1F/GRIN3A/TMC3/KCNK1/GRID2/GABRA2/SCN2A/SCN11A/CLCA2/KCNJ12/TMC5/KCND2/CACNA2D4/KCNH8/CACNA1E/GRIA4/GRIN2A/GRIA1/KCNMB1/SNAP25/TRPA1/GLRA3/GABRG3/CACNA1A/CACNA1G/GABRQ/CACNB3/HTR3B/TRPM8/SLC17A3/CACNA1B/GABRA3/GRIA3/CFTR/SCN1A/GABRG2/GRIK1/KCNG3/KCNK10/GLRA2/GRID1/TRPC3/PKD2L1/CNGA3/KCNS2/KCNH5/KCNJ1/OPRM1/ASIC1/NCS1/KCNS3/KCNS1/SCNN1B/KCNH7/GABRA4/KCNK6/GABRR1/KCNU1/P2RX7/NOX1/ASIC5/SCNN1G/KCNMB2/KCNA4/GABRB1/KCNIP1/KCNQ2/KCNIP4/NALCN/GRIN2D/MCOLN2/CNGB3/SCN10A/TRPV4/KCNK5/SCN3A/KCNJ10/KCNK3/KCNC2/GABRG1/CHRNA3/TMC2/GRIK4/CHRNA9/CNGA2/GABRA1/KCNN4/CHRNB4/GLRA1/CHRNB2/KCNK12/GABRR3/KCNJ5/KCNG1/CNGB1/CHRNA1/CALHM3/KCNV1/CHRNA2/HTR1B/GABRP/SCN8A/HTR3D/KCNT1/HTR3E/GABRA6/HTR3C/HCN4/GABRA5/CATSPER1/KCNB2/KCNK17/CNGA4/KCNJ15/ASIC2/CHRNB3/KCNN1/CHRNA6/KCNA6/SCN5A/KCNV2/KCNA1/CACNG5/GABRD/KCNE4/KCNE1/KCNH3/KCNC1/KCNK13/CACNA1I/CALHM1/ASIC4/CACNG7/KCNK9/GRIK3/HTR3A/LRRC52/GABRB3/KCNJ9/GABRE/KCNG4/CACNG3/KCND1/TRPM5/P2RX2/CACNG2/KCNJ16/KCNA10/CHRNA4/CYBB/TMC4/KCNK18/ZACN/KCNQ4/KCNJ13/TMEM37/SCNN1A/CACNG8/KCNK16/KCNH4/HCN2/KCNH6/GRIN1/CHRND/FKBP1B/CLCNKB/CACNG4/KCNJ18/GRIN3B/KCNH2/CLIC6/KCNK15/P2RX1/GRIA2/GRIN2C/RYR3/KCNK2/CHRNG/CLCNKA/KCNJ4/KCNAB3/TMEM63C/KCNA3/SLC1A7/KCNF1/CCT8L2/KCNG2/P2RX3,201
GO:0005216,monoatomic ion channel activity,252/6042,443/18496,2.6382015967829753e-26,5.219242158968987e-24,4.197980435582735e-24,RYR2/SCN9A/KCNT2/CACNB4/PIEZO2/SCN4A/TRPC6/GABRB2/ATP5F1D/KCNQ3/TRPV3/CACNA1D/TRPC5/KCNAB1/ANO3/GRIN2B/TMC1/KCNJ6/CACNA1F/GRIN3A/TRPM6/TMC3/KCNK1/GPM6A/GRID2/GABRA2/SCN2A/SCN11A/CLCA2/KCNJ12/TMC5/CLDN4/KCND2/CACNA2D4/ANXA9/KCNH8/CACNA1E/GRIA4/GRIN2A/GRIA1/KCNMB1/SLC26A8/SLC26A9/TRPM3/SNAP25/TRPA1/GLRA3/GABRG3/UNC80/CACNA1A/SLC17A8/CACNA1G/GABRQ/CACNB3/HTR3B/TRPM8/SLC17A3/CACNA1B/GABRA3/GRIA3/CFTR/SCN1A/GABRG2/GRIK1/KCNG3/KCNK10/GLRA2/GRID1/OCA2/TRPC3/PKD2L1/CNGA3/KCNS2/PKDREJ/PKD1L3/KCNH5/KCNJ1/OPRM1/ASIC1/NCS1/KCNS3/KCNS1/SCNN1B/KCNH7/GABRA4/KCNK6/GABRR1/KCNU1/TRPC4/P2RX7/TRPM1/NOX1/ASIC5/SCNN1G/KCNMB2/KCNA4/GABRB1/KCNIP1/KCNQ2/CLCA4/SLC24A5/ANO9/KCNIP4/OTOP3/NALCN/GRIN2D/MCOLN2/CNGB3/SCN10A/TRPV4/KCNK5/SCN3A/KCNJ10/SLC6A4/LRRC8E/KCNK3/TRPC7/KCNC2/GABRG1/CHRNA3/TMC2/ANO4/GRIK4/CHRNA9/CNGA2/GABRA1/KCNN4/CHRNB4/GLRA1/ORAI2/CHRNB2/KCNK12/GABRR3/KCNJ5/CALHM4/KCNG1/CNGB1/CHRNA1/SLC26A7/CALHM3/KCNV1/CHRNA2/HTR1B/GABRP/SCN8A/HTR3D/BEST2/KCNT1/CLCA1/HTR3E/GABRA6/HTR3C/BSND/HCN4/GABRA5/CATSPER1/KCNB2/KCNK17/CNGA4/KCNJ15/ASIC2/CHRNB3/KCNN1/CHRNA6/KCNA6/SCN5A/SLC24A2/KCNV2/KCNA1/CACNG5/GABRD/BEST4/KCNE4/FXYD4/KCNE1/KCNH3/KCNC1/NMUR2/KCNK13/CACNA1I/CALHM1/BEST1/ASIC4/TTYH1/CACNG7/CLDN17/KCNK9/GRIK3/SLC17A6/HTR3A/LRRC52/GABRB3/KCNJ9/GABRE/KCNG4/CACNG3/KCND1/TRPM5/P2RX2/CALHM6/CACNG2/KCNJ16/KCNA10/FXYD3/CHRNA4/CYBB/TMC4/TRPV6/KCNK18/ZACN/KCNQ4/KCNJ13/TMEM37/SCNN1A/CACNG8/OTOP2/KCNK16/SLC1A4/KCNH4/HCN2/OTOP1/KCNH6/GRIN1/CHRND/FKBP1B/CLCNKB/CACNG4/KCNJ18/GRIN3B/KCNH2/CLIC6/KCNK15/P2RX1/DCD/GRIA2/GRIN2C/RYR3/SLC9C1/KCNK2/CHRNG/CLCNKA/KCNJ4/KCNAB3/TMEM63C/KCNA3/SLC1A7/KCNF1/NOX5/CCT8L2/TRPV5/KCNG2/P2RX3,252
GO:0030594,neurotransmitter receptor activity,80/6042,99/18496,6.701509904658631e-23,1.1363846081185423e-20,9.140254862444179e-21,GABRB2/GRIN2B/ADRB1/GRIN3A/CHRM3/GRID2/GABRA2/HTR2B/ANXA9/GRM1/GRIA4/GRM5/GRIN2A/GRIA1/CHRM2/CHRM5/GLRA3/GABRG3/GPR158/GABRQ/HTR3B/GABRA3/GRIA3/GABRG2/GRIK1/GLRA2/GRID1/HTR2A/HTR5A/HTR2C/GABRA4/DRD3/GABRR1/GABRB1/HTR1F/GRIN2D/GABRG1/CHRNA3/HRH2/GRIK4/CHRNA9/HRH1/GABRA1/CHRNB4/GLRA1/CHRNB2/GABRR3/HTR4/CHRNA1/HRH4/CHRNA2/HTR1B/GABRP/HTR3D/HTR3E/GABRA6/HTR3C/GABRA5/CHRNB3/CHRNA6/GABRD/HTR1A/HTR6/DRD5/GRIK3/HTR3A/GABRB3/CHRM1/GABRE/DRD1/CHRNA4/ZACN/HTR1E/GRIN1/CHRND/GRIN3B/GRIA2/GRIN2C/HRH3/CHRNG,80
GO:0046873,metal ion transmembrane transporter activity,240/6042,441/18496,1.4570791579115407e-21,2.1619412005512485e-19,1.7389089424023257e-19,RYR2/SCN9A/KCNT2/CACNB4/SLC6A14/SLC8A1/SCN4A/ATP2B3/TRPC6/KCNQ3/TRPV3/CACNA1D/TRPC5/KCNAB1/GRIN2B/TMC1/SLC1A3/KCNJ6/SLC39A8/CACNA1F/GRIN3A/TRPM6/KCNK1/GPM6A/SCN2A/SCN11A/KCNJ12/KCND2/CACNA2D4/SLC12A8/SLC4A8/ANXA9/SLC28A3/KCNH8/MFSD2A/CACNA1E/GRIN2A/CLDN16/KCNMB1/SLC6A11/TRPM3/SNAP25/SLC5A12/TRPA1/SLC6A5/CACNA1A/SLC30A10/SLC17A8/CACNA1G/CACNB3/TRPM8/SLC4A10/SLC38A3/SLC17A3/SLC13A1/CACNA1B/SLC1A2/SLC5A7/SLC13A4/SLC30A3/SCN1A/GRIK1/KCNG3/KCNK10/SLC5A4/TRPC3/PKD2L1/KCNS2/PKDREJ/SLC9B1/PKD1L3/KCNH5/KCNJ1/OPRM1/ASIC1/NCS1/KCNS3/KCNS1/ATP2A1/SCNN1B/KCNH7/ATP12A/KCNK6/KCNU1/SLC41A2/TRPC4/TRPM1/SLC30A8/ASIC5/SCNN1G/KCNMB2/KCNA4/KCNIP1/KCNQ2/SLC5A8/SLC24A5/SLC17A2/KCNIP4/SLC17A4/NALCN/GRIN2D/MCOLN2/SCN10A/TRPV4/KCNK5/SCN3A/KCNJ10/SLC6A4/KCNK3/SLC1A6/TRPC7/SLC10A2/KCNC2/SLC9C2/ATP2C2/TMC2/ATP2B2/SLC18A1/SLC13A5/GRIK4/CHRNA9/SLC6A15/SLC12A1/KCNN4/ORAI2/KCNK12/KCNJ5/SLC9A4/SLC12A3/KCNG1/KCNV1/HTR1B/SCN8A/SLC18A2/KCNT1/SLC39A12/SLC17A1/SLC9B2/SLC23A1/SLC12A5/SLC38A5/HCN4/SLC28A2/CATSPER1/KCNB2/KCNK17/KCNJ15/ATP4A/SLC5A1/SLC34A2/ASIC2/SLC10A1/KCNN1/SLC5A5/SLC4A9/KCNA6/SCN5A/SLC24A2/KCNV2/KCNA1/CACNG5/KCNE4/FXYD4/KCNE1/SLC6A2/KCNH3/SLC5A10/KCNC1/KCNK13/SLC28A1/SLC39A2/SLC5A11/SLC5A2/SLC6A7/CACNA1I/CALHM1/ASIC4/TTYH1/SLC8A2/CACNG7/KCNK9/GRIK3/SLC17A6/SLC6A9/LRRC52/NIPAL4/SLC39A14/SLC13A2/KCNJ9/KCNG4/CACNG3/KCND1/TRPM5/SLC5A9/CACNG2/KCNJ16/KCNA10/SLC34A1/TRPV6/KCNK18/ATP1A3/KCNQ4/SLC39A5/KCNJ13/SLC6A3/TMEM37/SLC6A12/SCNN1A/CACNG8/KCNK16/KCNH4/HCN2/KCNH6/GRIN1/FKBP1B/CACNG4/ATP4B/KCNJ18/SLC10A6/GRIN3B/SLC34A3/KCNH2/SLC11A1/KCNK15/GRIN2C/RYR3/SLC9C1/KCNK2/SLC6A18/KCNJ4/KCNAB3/KCNA3/SLC1A7/KCNF1/SLC10A4/CCT8L2/TRPV5/KCNG2/SLC30A2/SLC9A3,240
GO:0008528,G protein-coupled peptide receptor activity,91/6042,125/18496,3.6955336721514573e-20,4.873998298715311e-18,3.9202912756039435e-18,CYSLTR1/TACR1/PTH2R/SORCS3/BDKRB2/CYSLTR2/RXFP1/MAS1/OPRK1/GLP2R/BRS3/TSHR/GPR143/SSTR2/VIPR1/LHCGR/AGTR2/F2RL1/OPRM1/GIPR/NPFFR2/QRFPR/SORCS2/UTS2R/NPY5R/OXTR/GALR1/SCTR/MCHR2/F2RL2/NPBWR1/FSHR/CCKAR/HCRTR2/GPR139/NPFFR1/PRLHR/FPR2/S1PR2/GPR32/NTSR1/MC4R/AVPR1B/NTSR2/BDKRB1/GRPR/CCKBR/NMUR2/NPY2R/PROKR1/FPR3/GPR37L1/PROKR2/GAL/NPSR1/CRHR1/FPR1/SSTR3/VIPR2/GPR151/GLP1R/GHRHR/NLRP6/OPRL1/GPR84/MC5R/SORCS1/MC2R/F2R/GALR2/RXFP2/MCHR1/NMUR1/GPR171/RXFP4/KISS1R/SSTR4/NPBWR2/AVPR1A/NMBR/MAS1L/NPY4R2/SSTR5/FBXW7-AS1/GCGR/OPRD1/MLNR/TACR2/GP1BA/RXFP3/MC3R,91
GO:0005261,monoatomic cation channel activity,189/6042,333/18496,6.931239268955828e-20,8.227381012250568e-18,6.6175094915188805e-18,RYR2/SCN9A/KCNT2/CACNB4/PIEZO2/SCN4A/TRPC6/ATP5F1D/KCNQ3/TRPV3/CACNA1D/TRPC5/KCNAB1/GRIN2B/TMC1/KCNJ6/CACNA1F/GRIN3A/TRPM6/KCNK1/GPM6A/SCN2A/SCN11A/KCNJ12/KCND2/CACNA2D4/ANXA9/KCNH8/CACNA1E/GRIN2A/KCNMB1/TRPM3/SNAP25/TRPA1/UNC80/CACNA1A/CACNA1G/CACNB3/HTR3B/TRPM8/CACNA1B/SCN1A/GRIK1/KCNG3/KCNK10/TRPC3/PKD2L1/CNGA3/KCNS2/PKDREJ/PKD1L3/KCNH5/KCNJ1/OPRM1/ASIC1/NCS1/KCNS3/KCNS1/SCNN1B/KCNH7/KCNK6/KCNU1/TRPC4/P2RX7/TRPM1/ASIC5/SCNN1G/KCNMB2/KCNA4/KCNIP1/KCNQ2/SLC24A5/KCNIP4/OTOP3/NALCN/GRIN2D/MCOLN2/CNGB3/SCN10A/TRPV4/KCNK5/SCN3A/KCNJ10/SLC6A4/KCNK3/TRPC7/KCNC2/CHRNA3/TMC2/GRIK4/CHRNA9/CNGA2/KCNN4/CHRNB4/ORAI2/CHRNB2/KCNK12/KCNJ5/CALHM4/KCNG1/CNGB1/CHRNA1/CALHM3/KCNV1/CHRNA2/HTR1B/SCN8A/HTR3D/KCNT1/HTR3E/HTR3C/HCN4/CATSPER1/KCNB2/KCNK17/CNGA4/KCNJ15/ASIC2/CHRNB3/KCNN1/CHRNA6/KCNA6/SCN5A/SLC24A2/KCNV2/KCNA1/CACNG5/KCNE4/FXYD4/KCNE1/KCNH3/KCNC1/KCNK13/CACNA1I/CALHM1/ASIC4/CACNG7/KCNK9/GRIK3/HTR3A/LRRC52/KCNJ9/KCNG4/CACNG3/KCND1/TRPM5/P2RX2/CALHM6/CACNG2/KCNJ16/KCNA10/CHRNA4/TRPV6/KCNK18/ZACN/KCNQ4/KCNJ13/TMEM37/SCNN1A/CACNG8/OTOP2/KCNK16/KCNH4/HCN2/OTOP1/KCNH6/GRIN1/CHRND/FKBP1B/CACNG4/KCNJ18/GRIN3B/KCNH2/KCNK15/P2RX1/GRIN2C/RYR3/KCNK2/CHRNG/KCNJ4/KCNAB3/TMEM63C/KCNA3/KCNF1/NOX5/CCT8L2/TRPV5/KCNG2/P2RX3,189
