category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,169/1703,370/9521,1.8789696490676623e-36,5.515387563607189e-34,4.6852784473856085e-34,OPRD1/FPR2/HTR7/BDKRB1/CHRND/KISS1/BDKRB2/RXFP2/SCT/CALCA/GPR156/TAC1/GIPR/MAS1/GABRA2/F2/GABRB3/GRM8/F2RL2/GRIK4/GRIA1/GRIA2/HTR6/GRM1/PPY/GHRHR/SPX/GRIN2D/GLP1R/GHRH/HTR1E/PRLHR/FPR1/GRM6/DRD3/CHRNB4/PATE2/TAAR6/CHRM3/CALCB/OXTR/CHRNA7/GLRA1/GIP/GRM7/DRD2/UTS2B/PTH2R/CNR2/CHRNA2/GABRR3/SCTR/MC2R/TAAR1/LPAR3/SSTR2/GRM4/PATE4/CHRNB2/GRIN2A/PRSS3/HRH2/GABRG3/PYY/PNOC/NMU/UTS2R/MCHR1/SST/GRM5/CHRNA6/NPVF/QRFP/KNG1/NMS/GRID2/CHRM5/GRIK2/LPAR2/GAL/SSTR3/C5AR1/GLP2R/ADCYAP1/GRIN3A/PRSS1/TAC3/GRIA4/RLN2/NPFFR1/CHRNA3/PTGER2/HTR4/RXFP4/GRIN2B/CHRNA9/INSL3/RXFP1/GCG/LYPD6B/GABRG1/NPY2R/HTR2B/GABRA1/GLRA3/CHRNB3/MC3R/CRH/HTR1D/CHRNA4/CCK/GABRA4/MTNR1B/CYSLTR2/RXFP3/LYPD6/CHRNG/PATE1/TRHR/GABRP/NTSR1/GABRA5/NPBWR1/GABRA6/TAAR5/GABRG2/AVPR1B/NPFFR2/PRSS2/TRH/EDN2/UTS2/NPSR1/P2RY10/CHRM2/CSH1/CCKBR/NMBR/PLG/GRIN1/HTR1A/GPHA2/VGF/MTNR1A/GRM3/SSTR4/ADORA3/DRD1/PENK/MLN/TAAR9/CHRM4/OPRM1/GABRB1/MC5R/DRD5/GABRR1/PDYN/HTR5A/SLURP1/F2RL3/INSL5/GABRQ/UCN3/QRFPR/FSHR/HRH3/FSHB/MCHR2,169
Organismal Systems,Sensory system,hsa04740,Olfactory transduction,193/1703,454/9521,3.2253728442147305e-36,5.515387563607189e-34,4.6852784473856085e-34,OR11H6/OR3A1/OR4B1/OR7C1/OR13C3/SLC8A2/OR10H5/OR52A1/OR4A5/OR2M3/OR5AU1/RGS2/OR10A6/OR2L5/OR52N4/PRKG2/OR2G2/OR10W1/GUCY2D/OR51D1/OR4Q3/CNGA4/OR52R1/OR1I1/OR2AK2/OR5K1/OR9Q1/OR2M4/OR4K1/CALML3/OR7D4/OR10A2/CNGA3/OR56A4/OR6S1/OR7G2/OR8K3/OR9A4/OR12D3/OR6Q1/OR6A2/OR2A5/OR6J1/OR52B2/OR2C3/OR8J3/OR52K1/OR51G2/OR11A1/OR10H1/OR1S1/OR2C1/OR10R2/OR5P2/OR8B12/OR4D9/OR4A16/OR10A7/OR8H1/OR7A17/OR4D5/OR8G5/OR5A2/OR4M1/OR52D1/OR51L1/OR11G2/OR10D3/OR4D1/OR4F15/CNGB1/OR8B8/OR2A1/OR13F1/OR5K2/OR2AG2/OR6Y1/OR2K2/OR3A3/OR2T6/OR7A5/OR2W3/OR5T1/OR5AN1/OR4K13/OR8B3/OR4E2/OR1A1/OR4K2/OR56B1/OR2B6/OR2J3/OR1D2/OR3A2/OR13J1/OR4C46/OR52I2/OR8U1/OR56A1/OR4X1/OR4F6/OR10Z1/OR2M5/OR5M3/OR8H2/OR13C4/OR5D16/OR14C36/OR9A2/OR13A1/OR52J3/OR2F1/OR5H1/OR4E1/OR2L8/OR10C1/OR52E5/OR9Q2/OR10G7/OR6C75/OR5AC2/OR2AT4/OR5B12/OR4C3/OR9G4/OR8J1/OR10G3/OR10G8/OR10H4/OR2T2/OR2T33/OR11H2/OR51A4/OR51I2/OR5M1/OR1J1/OR2V2/OR5P3/OR8G1/OR52N5/OR2S2/OR4C16/OR5D13/OR5V1/OR6M1/OR51M1/OR1L8/OR2T12/OR10K2/OR2A14/OR2T11/PRKACG/OR51A7/OR4D10/OR6C4/OR10AG1/OR5D3P/OR2M2/OR5L1/OR56A3/OR4P4/OR4C5/OR8D1/OR2L2/OR13G1/OR10J1/OR6C65/OR52A5/OR52N2/OR5A1/OR2AJ1/OR51B2/OR8D4/OR13C2/OR6N1/OR1N2/OR5M11/OR4N2/OR10K1/OR2B2/OR8A1/OR2A42/OR4S1/OR1L4/OR4F17/OR7E24/OR10T2/OR5AR1/OR2B11/OR51F2/OR51B4/OR10G4/OR2T3,193
NA,NA,hsa04082,Neuroactive ligand signaling,90/1703,199/9521,2.1103772853304797e-19,2.405830105276747e-17,2.0437337921095172e-17,OPRD1/HTR7/SLC18A1/TAC1/SLC6A4/GABRA2/GABRB3/PRKCG/GRM8/GNG4/GRIK4/GRIA1/GRIA2/HTR6/GRM1/PRKCB/SLC6A13/GRIN2D/SLC6A11/HTR1E/GRM6/DRD3/HTR3A/CHRNB4/CHAT/GNGT2/SLC17A8/CHRM3/SLC1A6/HTR3E/CHRNA7/GLRA1/GRM7/SLC6A12/DRD2/HTR3C/GABRR3/GRM4/SLC6A3/CHRNB2/GRIN2A/HRH2/GABRG3/PNOC/GRM5/CHRNA6/CHRM5/GRIK2/HTR3B/GRIN3A/TAC3/GRIA4/CHRNA3/HTR4/GRIN2B/GABRG1/ADCY8/HTR2B/GABRA1/GLRA3/MC3R/HTR1D/CHRNA4/GABRA4/GABRP/SLC17A6/GABRA5/SLC6A5/GABRA6/GABRG2/SLC6A2/CHRM2/SLC5A7/GRIN1/HTR1A/GRM3/ADORA3/DRD1/PENK/HTR3D/PRKACG/CHRM4/OPRM1/GABRB1/DRD5/GABRR1/PDYN/HTR5A/GABRQ/HRH3,90
NA,NA,hsa04382,Cornified envelope formation,92/1703,217/9521,1.5919170354894457e-17,1.3610890653434761e-15,1.1562344784081237e-15,PKP2/KRT24/HAL/S100A2/PADI3/CLDN25/KRT82/TGM5/KRT27/ELOVL4/PPP2R2B/KRT5/S100A7/KRT83/KRT12/PNPLA1/CLDN6/CLDN7/KRT73/KRT32/KRT8/KRT40/KRT4/ABCA12/CYP4F22/S100A7A/KRT6A/KRT15/COL17A1/KRT39/S100A12/LCE4A/KRT33A/ALOXE3/SPRR2G/S100A8/KRT1/KRT3/KRT85/S100A5/CLDN8/KRT6B/KRT16/CLDN14/KRT35/KRT9/KRT81/DSG1/CLDN16/DSC1/LCE2A/CASP14/KRT79/CERS3/DSG4/KRT25/KRT13/FLG2/KRT78/LCE3D/EVPL/KRT74/SPRR2E/KRT38/KRT72/PADI1/KRT28/TCHH/KRT2/FLG/S100A9/CLDN18/KRT23/KRT18/IVL/KRT14/DSG3/KRT76/SPRR2D/LCE3A/KRT80/CLDN20/KRT36/KRT17/KRT77/CLDN10/KRT75/SPRR1B/TCHHL1/LCE5A/PADI6/SPRR4,92
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,30/1703,41/9521,1.2329337904553932e-14,8.250394523584447e-13,7.008645393996021e-13,GABRA2/GABRB3/GRIA1/GRIA2/CACNA1B/GRIN2D/SLC17A8/CHRNA7/GABRR3/CHRNB2/GRIN2A/GABRG3/CHRNA6/CACNA1A/GRIN3A/GRIA4/GRIN2B/GABRG1/GABRA1/CHRNA4/GABRA4/GABRP/SLC17A6/GABRA5/GABRA6/GABRG2/GRIN1/GABRB1/GABRR1/GABRQ,30
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,108/1703,298/9521,1.4474376357165697e-14,8.250394523584447e-13,7.008645393996021e-13,IL6/IL1B/CCL22/IL17D/CXCL3/CXCL8/OSM/GDF6/CCL11/TNFRSF10D/IL1R2/IL11/IL21R/CXCL14/EDAR/INHBA/TNFRSF9/TNFSF14/IL5RA/IL1RN/IL18R1/AMHR2/IL18RAP/CXCL5/IL13/IL19/IL17B/CSF3R/TNFRSF8/CXCL2/NGFR/IL1RL2/CXCR1/IL24/IFNE/CXCL1/TNFSF9/IL4R/IL22/CCR4/IL10/IFNL2/IL36RN/CCL25/IL22RA1/CCL2/INHBC/IL12RB1/TNFRSF17/BMP7/CSF2/GDF7/CXCL6/TNFSF11/IFNG/GDF3/BMP8A/IL23R/CCR9/CCR3/CD27/CSF3/TNFRSF13C/IFNA6/IL17C/CCL1/CXCR2/IL27/CXCR6/IL36G/IFNA4/CXCL13/GDF5/RELL2/CXCR5/TNFRSF11B/TNFRSF10C/IL23A/CSH1/CCR6/CCL20/GDF2/LTA/IL2/CLCF1/CCL16/CCL26/IL5/CCL17/IFNA14/BMP10/IL25/CXCL11/IL26/IL1F10/NODAL/IL31/FASLG/CCL4/INHA/IL3/LIF/TNFRSF13B/IL17A/IFNA1/IL20/IFNA13/IL36A,108
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,36/1703,68/9521,5.735717596526014e-11,2.802307740016995e-9,2.380538431039368e-9,CYP1A1/AOX1/DHRS9/CYP2A7/CYP27C1/BCO1/CYP3A5/RPE65/HSD17B6/CYP2C9/CYP3A4/CYP2B6/ADH1A/RDH8/RDH12/UGT2A3/UGT1A9/LRAT/UGT1A8/UGT1A7/CYP2C8/UGT1A1/UGT2A1/UGT2B17/CYP1A2/UGT1A6/CYP2A6/CYP2C18/UGT2B7/UGT2B4/UGT2B15/ADH6/UGT2B11/CYP3A7/UGT1A3/CYP26A1,36
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,32/1703,64/9521,4.387531063620768e-9,1.8756695296978783e-7,1.5933665441570157e-7,CYP1A1/CYP11A1/CYP3A5/CYP19A1/SRD5A2/HSD17B6/CYP3A4/CYP21A2/CYP17A1/AKR1D1/UGT2A3/UGT1A9/CYP11B1/UGT1A8/SULT2B1/UGT1A7/UGT1A1/UGT2A1/UGT2B17/CYP1A2/UGT1A6/HSD3B1/HSD3B2/AKR1C4/UGT2B7/UGT2B4/UGT2B15/SULT1E1/UGT2B11/HSD17B2/CYP3A7/UGT1A3,32
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,34/1703,71/9521,6.059474970528418e-9,2.302600488800799e-7,1.9560410431179456e-7,CYP1A1/NAT1/PTGS2/CYP3A43/CYP2C19/CYP2A7/CYP3A5/GSTA5/CYP2C9/CYP3A4/UGT2A3/UGT1A9/CYP2A13/UGT1A8/GSTT4/UGT1A7/CYP2C8/SULT1A2/UGT1A1/UGT2A1/GSTA1/UGT2B17/CYP1A2/UGT1A6/CYP2A6/CYP2C18/UGT2B7/GSTA2/UGT2B4/UGT2B15/SULT2A1/UGT2B11/CYP3A7/UGT1A3,34
Organismal Systems,Digestive system,hsa04976,Bile secretion,39/1703,90/9521,1.6344998629882417e-8,5.589989531419787e-7,4.7486522335237333e-7,AQP9/SCT/ABCG2/AQP8/ABCC3/ABCG8/ABCG5/SLC22A7/SLC51A/SCTR/SLC22A8/LDLR/CYP3A4/ABCB11/SLC51B/CFTR/UGT2A3/UGT1A9/ADCY8/SLCO1A2/SLC10A1/UGT1A8/SLC10A2/UGT1A7/SLCO1B3/UGT1A1/UGT2A1/NR1H4/UGT2B17/ATP1A3/SLC9A3/UGT1A6/PRKACG/UGT2B7/UGT2B4/UGT2B15/SULT2A1/UGT2B11/UGT1A3,39
