ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0008236,serine-type peptidase activity,78/3593,192/18496,8.89009746483727e-12,3.9685395083033574e-10,3.3164742542508723e-10,MMP9/MMP19/TMPRSS3/MMP3/CTRC/CFB/F2/MMP11/PCSK9/ENDOU/KLK2/PRSS37/HABP2/CTRB2/KLK11/KLK12/PRSS12/PRSS27/CELA2B/TMPRSS13/KLK13/TMPRSS11E/KLK7/PRSS51/TMPRSS4/MMP12/MASP2/PRSS55/TMPRSS11F/DPP10/PRSS57/CORIN/MMP14/PRSS3/TMPRSS9/C2/PRSS48/KLK3/PRSS45P/RHBDL2/PRSS21/TMPRSS11A/PRSS1/CD5L/PRSS58/TMPRSS7/TMPRSS6/PRTN3/TMPRSS15/F7/F11/OVCH2/KLK8/MMP7/AZU1/PLAU/HP/PRSS22/MMP10/KLK14/GZMB/PRSS2/F12/PRSS16/KLK10/PRSS38/PLG/PRSS54/TMPRSS11B/TMPRSS2/TMPRSS12/CTSK/KLK5/PROZ/PCSK1/CTSV/KLK6/LPA,78
GO:0017171,serine hydrolase activity,79/3593,196/18496,1.0524295992167947e-11,4.517351664330549e-10,3.7751118417250204e-10,MMP9/MMP19/TMPRSS3/MMP3/CTRC/CFB/F2/MMP11/PCSK9/ENDOU/KLK2/PRSS37/HABP2/CTRB2/KLK11/KLK12/PRSS12/PRSS27/CELA2B/TMPRSS13/KLK13/TMPRSS11E/KLK7/PRSS51/TMPRSS4/MMP12/MASP2/PRSS55/TMPRSS11F/DPP10/PRSS57/CORIN/MMP14/PRSS3/TMPRSS9/C2/PRSS48/KLK3/PRSS45P/RHBDL2/PRSS21/TMPRSS11A/PRSS1/CD5L/PRSS58/TMPRSS7/TMPRSS6/PRTN3/TMPRSS15/F7/F11/OVCH2/KLK8/MMP7/AZU1/PLAU/HP/PRSS22/MMP10/KLK14/GZMB/PRSS2/F12/PRSS16/KLK10/PRSS38/PLG/PRSS54/TMPRSS11B/TMPRSS2/TMPRSS12/CTSK/KLK5/PROZ/PCSK1/CTSV/KLK6/LPA/AADAC,79
GO:0004175,endopeptidase activity,130/3593,389/18496,3.223631050713124e-11,1.3324341676280915e-9,1.1135037469519797e-9,MMP9/KEL/NRIP3/ADAMTS3/MMP19/TMPRSS3/MMP3/NAPSA/ADAMTS4/CTRC/ADAMTS16/CFB/ADAM28/F2/PAPPA2/MMP11/PCSK9/KLK2/PRSS37/HABP2/CTRB2/KLK11/KLK12/ADAM12/PRSS12/ASTL/CLCA2/PRSS27/CELA2B/ESPL1/TMPRSS13/KLK13/TRABD2A/MMP25/TMPRSS11E/REN/PHEX/CARD18/KLK7/PRSS51/TMPRSS4/MMP12/MASP2/PRSS55/TMPRSS11F/CAPN13/PRSS57/USP29/CASP5/CORIN/MMP14/MEP1A/PRSS3/TMPRSS9/C2/ADAM11/PRSS48/KLK3/ADAM29/MMP21/PRSS45P/RHBDL2/MEP1B/PRSS21/TMPRSS11A/PRSS1/CTSE/CD5L/ADAMTS8/PRSS58/PIP/TMPRSS7/MMP16/MMP20/ADAM21/ADAM7/ADAMTS20/TMPRSS6/MMP24/CASP14/CAPN14/ADAMTS14/PRTN3/TMPRSS15/ADAMDEC1/F7/F11/OVCH2/CAPN9/KLK8/CLCA1/MMP7/AZU1/PLAU/HP/ECEL1/PRSS22/ADAMTS18/MMP10/KLK14/GZMB/PRSS2/F12/KLK10/ADAM18/PRSS38/CLCA4/PGC/PLG/CAPN11/DDI1/ADGB/PRSS54/TMPRSS11B/TMPRSS2/ADAM30/TMPRSS12/SHH/CTSK/PGA5/ADAM2/KLK5/PROZ/PCSK1/CTSV/KLK6/LPA/SPPL2C/ADAMTS2/MMEL1,130
GO:0030280,structural constituent of skin epidermis,25/3593,36/18496,9.5274620149754e-11,3.797374145968766e-9,3.1734328365669938e-9,KRT82/KRT5/KRT83/PNPLA1/KRT73/KRT4/PI3/KRT6A/KRT1/KRT3/KRT85/KRT6B/KRT81/KRT79/KRT78/KRT74/SPRR2E/KRT72/KRT2/FLG/KRT76/KRT80/KRT36/KRT77/KRT75,25
GO:0005249,voltage-gated potassium channel activity,47/3593,99/18496,2.505432215837849e-10,9.641594320258758e-9,8.057397253111922e-9,KCND3/SCN2B/KCNC1/KCNAB3/KCNK17/KCNA4/KCNH6/KCNJ15/KCNN1/KCNK10/KCNQ4/KCNJ3/KCNE5/KCNG4/KCNJ1/KCNJ16/KCNJ10/KCNK5/KCNQ2/KCNK9/KCNE4/KCNJ5/KCNG1/KCNH4/KCNH5/KCNE1/KCNH3/KCNK1/KCNA1/KCNH7/KCNH8/KCNJ18/KCNK12/SNAP25/KCNC2/KCNS1/KCNJ6/KCNG3/KCNK15/HCN4/LRRC52/KCNQ3/KCNK13/KCNA10/KCNJ9/KCNV2/KCNV1,47
GO:0099094,ligand-gated monoatomic cation channel activity,50/3593,110/18496,4.676577835858805e-10,1.7396869549394756e-8,1.453841390375755e-8,CHRND/KCNH6/SCNN1A/KCNJ15/KCNN1/MCOLN2/GRIK4/GRIN2D/KCNJ3/HTR3A/ASIC2/CHRNB4/KCNJ1/SCNN1G/KCNJ16/KCNJ10/HTR3E/CNGA4/CHRNA7/TRPM8/CHRNA2/HTR3C/CNGA3/CHRNB2/GRIN2A/KCNJ5/KCNK1/KCNH7/KCNJ18/CHRNA6/CNGB3/GRIK2/HTR3B/CHRNA3/GRIN2B/CHRNA9/CNGB1/KCNJ6/CHRNB3/CHRNA4/CHRNG/HCN4/KCNA10/KCNJ9/ZACN/TRPA1/GRIN1/HTR3D/ASIC4/TRPM5,50
GO:0015294,solute:monoatomic cation symporter activity,52/3593,117/18496,5.756616910217898e-10,2.0723820876784433e-8,1.731871844636013e-8,SLC45A3/SLC18A1/SLC4A7/SLC45A1/SLC4A8/MFSD2A/SLC28A3/SLC12A3/SLC16A3/SLC13A4/SLC17A1/SLC6A4/SLC6A15/SLC10A6/SLC45A2/SLC6A13/SLC6A11/SLC12A8/SLC17A8/SLC5A5/SLC36A3/SLC1A6/SLC6A12/SLC12A1/SLC39A12/SLC5A10/SLC6A7/SLC6A3/SLC28A2/SLC4A10/SLC5A9/SLC23A1/SLC12A5/SLC13A5/SLC17A4/SLC15A1/SLC17A2/SLC4A9/SLC5A8/SLC5A12/SLC13A2/SLC10A1/SLC13A1/SLC17A6/SLC6A5/SLC34A1/SLC10A2/SLC6A2/SLC5A7/SLC17A3/SLC5A11/SLC34A2,52
GO:0008528,G protein-coupled peptide receptor activity,54/3593,125/18496,9.71615580415223e-10,3.38850933669809e-8,2.8317480402891035e-8,OPRD1/NPR3/FPR2/BDKRB1/GPR84/BDKRB2/RXFP2/GIPR/MAS1/F2RL2/GHRHR/GLP1R/PRLHR/FPR1/GP1BA/OXTR/PTH2R/SCTR/MC2R/SSTR2/PROKR1/SORCS3/UTS2R/MCHR1/GPR139/GAL/SSTR3/GLP2R/NPFFR1/RXFP4/RXFP1/NPY2R/MC3R/CYSLTR2/RXFP3/GPR151/NTSR1/PROKR2/NPBWR1/AVPR1B/NPFFR2/NPSR1/CCKBR/NMBR/GPR37L1/SSTR4/OPRM1/MC5R/F2RL3/GPR143/QRFPR/FSHR/NLRP6/MCHR2,54
GO:0001653,peptide receptor activity,56/3593,132/18496,1.0916686217719442e-9,3.691824793628757e-8,3.0852261527589874e-8,OPRD1/NPR3/FPR2/BDKRB1/GPR84/BDKRB2/RXFP2/GIPR/MAS1/F2RL2/GHRHR/GLP1R/PRLHR/FPR1/GP1BA/GUCY2D/OXTR/PTH2R/SCTR/MC2R/SSTR2/PROKR1/SORCS3/UTS2R/MCHR1/GPR139/GAL/SSTR3/GLP2R/NPFFR1/RXFP4/RXFP1/NPY2R/MC3R/CYSLTR2/RXFP3/GPR151/NTSR1/PROKR2/NPBWR1/GUCY2C/AVPR1B/NPFFR2/NPSR1/CCKBR/NMBR/GPR37L1/SSTR4/OPRM1/MC5R/F2RL3/GPR143/QRFPR/FSHR/NLRP6/MCHR2,56
GO:0005539,glycosaminoglycan binding,86/3593,240/18496,1.6209038859807867e-9,5.3203786375134053e-8,4.44619456030643e-8,SUSD5/COL25A1/ADAMTS3/COL11A1/CXCL8/SAA1/COLQ/TREM2/ADGRE2/STAB2/CCN4/TGFBR3L/LIPG/RSPO1/F2/BSPH1/HABP2/RSPO4/LPL/LIPH/CRISPLD2/HAPLN3/CEMIP/ITIH2/SERPINC1/FGFR2/POSTN/NELL2/RNASE7/COMP/AOC1/NELL1/NLRP3/ZG16/PRSS57/LIPC/COL17A1/SELL/HMMR/HRG/THBS1/REG3G/PGLYRP4/BMP7/GREM2/HAPLN2/CXCL6/KNG1/CCN5/TLR2/ADAMTS8/LIPI/ITIH1/PLA2G2D/RSPO2/PGLYRP2/H1-1/BCAN/F11/EPYC/ELSPBP1/ALK/AZU1/APLP1/CXCL13/PTN/NCAN/REG1B/APOA5/HAPLN1/LRTM2/PGLYRP1/LGR6/TNFAIP6/FGFBP1/CXCL11/FGF4/SHH/LRTM1/ACAN/SERPIND1/REG3A/LPA/CCN6/THBS4/PGLYRP3,86
