category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Sensory system,hsa04740,Olfactory transduction,388/2936,454/9521,4.887345786145025e-136,1.7007963335784686e-133,1.4301917142613862e-133,CNGA3/OR4C3/OR5AU1/OR56A4/OR7C1/OR10H5/OR2T6/OR5B2/OR6Q1/OR7D4/OR10D3/OR52K1/OR4Q3/OR8J3/OR2AG2/OR2M2/OR2T33/OR1I1/OR7A10/OR6J1/OR4E2/OR4K13/OR5AN1/OR6A2/OR51G2/OR6Y1/OR6C65/OR1L8/OR5K1/OR9Q2/OR2F1/OR5M3/OR56A1/OR9Q1/OR9A4/OR8J1/OR10R2/OR4D1/OR4D9/OR2AP1/OR1D2/CNGA4/OR10H1/OR2T12/OR52J3/OR52A1/OR13J1/OR51B5/OR2G2/OR2C3/OR13A1/OR2M3/OR2A14/OR51I2/OR8B12/OR9G4/OR8K3/OR6S1/OR2AG1/OR5AR1/OR10AG1/OR51A7/OR9I1/OR2AJ1/OR5A2/PRKG2/OR5T1/OR56A3/OR8G1/OR10K1/OR5T3/OR5B17/OR4S2/OR2G6/OR2A5/OR2J3/OR10A2/OR4M1/OR3A3/OR7A17/PRKACG/PDE1C/OR8H1/OR14C36/OR7G2/OR51M1/OR8A1/OR12D3/OR56B1/OR10G8/OR6N1/OR52E5/OR8U1/OR5A1/OR2M4/OR14A16/OR10A6/OR2L13/OR4F15/OR11G2/OR2M5/OR2L2/OR2A1/OR52N1/OR51L1/OR2AT4/OR4P4/OR4B1/OR5P3/OR52R1/OR8G5/OR56B4/OR2A25/OR2F2/OR4K2/OR5D3P/OR4E1/OR1A1/OR52L1/OR2H1/OR5H14/OR5W2/OR2L5/OR4D10/OR6P1/OR4C11/OR10G3/SLC8A2/OR6F1/OR8D1/OR2Y1/OR4K1/OR10G7/OR6C75/OR6N2/OR2L3/OR52E4/OR51D1/OR8B8/OR5B12/OR10G2/OR5K2/OR4C16/OR2T8/OR10T2/SLC24A4/OR5AS1/OR5H1/OR14J1/OR2B2/OR6C4/OR1C1/OR52I2/OR5L1/OR6K3/OR8B4/OR10Z1/OR8I2/OR4F17/OR52A5/OR13G1/OR2T11/OR51B2/OR11H4/OR7E24/OR5BS1P/OR2T2/OR6V1/OR11A1/OR2J2/OR10G4/OR4X1/OR51Q1/OR4K17/CNGB1/OR8D4/OR4K14/CNGA2/OR2B11/OR2A42/OR8B3/OR5D13/OR9G1/OR6B1/OR52I1/OR4D2/OR13F1/OR2V2/OR4N2/OR10W1/OR4N5/OR1S1/OR4A47/OR2S2/OR9K2/OR10J1/OR3A1/OR4C15/OR13C3/OR51C1P/OR10K2/OR5V1/OR10S1/OR2AK2/OR51A4/OR1J1/OR10G6/OR2Z1/OR10C1/OR5M1/OR6K6/OR4D6/OR5AK2/OR4F6/OR6K2/OR51B6/OR8H2/OR5B3/OR2A12/OR10A7/OR12D2/OR1N2/OR51E2/OR10V1/OR5H15/OR2V1/OR2T4/OR52M1/OR5D14/OR2T3/OR11H2/OR7C2/OR2T29/OR11H6/OR52B2/OR7A5/OR10H2/OR4K15/OR8K1/OR2H2/OR56B2P/OR2L8/OR52E2/OR52D1/OR51S1/OR4S1/OR6C1/OR4A16/GUCY2D/OR13C8/OR14K1/OR6X1/OR5H2/OR10A3/OR1A2/OR8D2/OR4A15/OR52N4/OR1S2/OR51F2/OR2T1/OR5D18/OR51B4/OR5T2/OR4D5/OR2B6/OR51T1/OR13C4/OR2A2/OR2T35/OR6C70/OR2A4/OR2T10/OR5AP2/OR4L1/OR4A5/OR52N5/OR14A2/OR1L1/OR4C6/OR5AC2/OR5D16/OR5L2/RGS2/OR6C3/OR52E6/OR5P2/OR4C5/OR10G9/OR7G3/OR6C6/OR8B2/OR6M1/OR52N2/OR2M7/OR5K3/OR4K5/OR1M1/OR4X2/OR3A2/OR11L1/OR10H3/OR2T34/SLC8A1/OR51F1/OR13D1/OR1D5/OR5H6/OR7G1/OR5I1/OR1G1/OR52K2/OR6C2/OR52B4/OR2T27/OR10AD1/OR10H4/OR6C68/OR1J4/OR5M8/PDE1B/OR1K1/OR2J1/OR6C74/OR10X1/OR5M10/OR2D2/OR2D3/OR5F1/OR4C13/OR6C76/OR6T1/OR4C12/OR1N1/OR5J2/OR1L3/OR11H1/OR4D11/OR6B3/OR8S1/OR2K2/OR2W1/OR8H3/OR51G1/OR13C5/OR52W1/CALML3/OR5K4/OR4C46/OR10P1/OR52H1/OR1J2/OR1L4/OR1Q1/OR7D2/OR4F5/OR4M2/OR13C2/OR56A5/OR52E8/OR2B3/CALML5/OR10J5/OR2A7/OR52B6/OR1B1/OR10A5/OR51V1/OR8K5/OR2C1/OR1F1/OR10A4/OR11H12/OR5C1/OR5B21/OR13C9/OR1R1P/GNG13/OR1L6/OR13H1/OR10Q1/OR5M11/OR2G3/OR51I1/OR6B2/OR2W3/OR2AE1/OR2T5,388
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,274/2936,370/9521,3.2250710329890225e-68,5.611623597400899e-66,4.718788143004991e-66,UTS2B/CHRNA7/GRIK4/GABRA2/HTR4/GRM1/MAS1/FPR2/CHRNB2/GABRB3/PTH2R/LYPD6/GRM8/GABBR2/OXTR/CYSLTR2/PATE2/DRD3/NMU/CHRNB4/CHRNB3/HTR1E/BRS3/CHRM5/GRM7/GRM5/GRIA2/GABRB2/GLP2R/NPFFR1/GRIN2A/CHRM3/HTR5A/GRID2/HRH4/CNR2/GHRHR/PRLHR/GRIN2B/MC5R/CALCA/LPAR3/TRHR/NPS/CCK/GABRG3/NPVF/CALCB/MCHR2/GRIN3A/TAC1/CHRNA6/NPFFR2/ADORA2B/GABRP/VGF/GABRR3/F2/GRM4/PDYN/GLRA3/GRIA4/GIPR/RXFP1/GALR1/GABRG2/HTR1F/MCHR1/MTNR1B/MC4R/GABRA5/QRFPR/SST/FSHB/SSTR3/GLRA2/PYY/F2RL1/FSHR/GLP1R/LYPD6B/TAC3/CHRNA9/CRH/MTNR1A/SSTR2/GRM6/GABRR1/GLRA1/CHRNA2/HCRTR2/UTS2/MLN/RXFP2/IAPP/GHSR/GABRQ/GRM3/TAAR2/PATE1/ADM2/GABRA1/KNG1/GHRH/HTR2C/TAAR1/FPR1/GRIK3/APELA/CHRNA4/PLG/GIP/GABRA4/GRIA1/GALP/GRIK1/GHRL/P2RX2/CHRM1/HTR1B/PATE4/NPSR1/GCG/AVPR1B/GABRG1/GPR156/NMBR/NPBWR1/OPRM1/GABRB1/RLN2/GABRA6/CHRM2/INSL3/TAC4/S1PR3/PTH/NMS/CCKBR/INSL5/GRIK5/HTR1A/CHRNA3/GAL/CGA/GH2/DRD1/NTS/NPY/TRH/GABRD/MC3R/NPY2R/PNOC/P2RY10/PPY/QRFP/GNRHR/DRD2/PRSS1/TAAR8/NMUR2/GPHB5/DRD5/KISS1/HTR1D/PRSS3/TAAR6/ADRB3/RXFP4/GPR83/GRIN1/RLN1/UCN3/CRHR1/PATE3/PRSS2/CCKAR/TAAR9/GABRA3/NTSR1/GPR50/MC2R/OPRK1/SSTR4/S1PR5/GPHA2/GCGR/GRP/EDN2/AVPR1A/NPY5R/VIP/AGTR2/PRLR/RXFP3/PRLH/GRM2/NPBWR2/PMCH/TSHR/CSHL1/HTR2A/GRIN2C/HCRT/MLNR/C5/GZMA/SCTR/LPAR4/KISS1R/CSH1/HTR2B/BDKRB1/P2RX1/CSH2/HRH3/TAAR5/HRH2/NTSR2/TACR3/GRIA3/ADORA3/HTR6/TACR2/C5AR1/GRID1/GRIK2/P2RX5/GRIN3B/APLNR/LHCGR/GRPR/RLN3/TSHB/ADORA2A/GALR2/F2RL2/PTGIR/HCRTR1/F2RL3/ADRA1A/NPY4R/AGT/GNRH2/PRL/ADORA1/SCT/SLURP1/LPAR2/ADCYAP1/PTH2/CORT/AVP/P2RY13/GRIN2D/LHB/CHRM4/GH1/P2RX3/OPRL1/POMC/ADRB1/PTGER2/CHRNG/SSTR5/CTSG/UTS2R/PENK/NPY4R2/TACR1/NMUR1/CHRNE/UCN2,274
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,197/2936,298/9521,4.181959790538445e-37,4.851073357024596e-35,4.079244988665571e-35,LIF/CXCL1/IL5RA/CXCL11/IL1RL2/IL18R1/TNFSF18/IL12RB1/CXCL5/IL18RAP/IL1R2/FASLG/TNFRSF8/TNFRSF10D/IL2/TNFSF11/IFNG/INHBC/CXCL17/CCL20/IL23R/MPL/EDAR/IL19/CCL25/IL12A/CCR9/IL7/IFNA17/IL22RA1/IL10/CCL2/TNF/CCL11/IL3/CSF3/IL13/CCL26/IL36A/IFNA14/IL25/RELL2/IL20RB/IL24/IL1B/CXCR5/NGF/CXCR1/CXCL6/IL6/IL5/CCR6/TNFRSF11B/IL1RAP/IL36G/CXCR6/IL12B/TNFSF15/IL22/TNFRSF9/CXCL3/CXCL13/IFNA6/IFNA2/IFNA4/CXCR2/IL1F10/CCR8/TNFRSF17/CCL1/CD27/IL21/IL11/GH2/NODAL/IL23A/IL27/IL20/IL26/BMP10/XCL1/CXCL8/GDF3/IFNA5/IL36RN/TNFRSF10C/TNFRSF11A/IFNA13/CCR2/XCL2/TNFRSF13B/LTB/IFNA16/CCL28/IFNK/IL1A/IFNA8/IL13RA2/CLCF1/IL31/EPO/CSF3R/IFNA21/IL36B/CXCL2/IFNA7/GDF2/IFNE/TNFRSF10A/IL17B/BMP7/IL9/CCL17/CCL7/OSM/IL1RL1/GDF6/IL17A/CCR7/IFNW1/PRLR/CCL23/CSF2/CXCL12/CSHL1/IL17C/TNFSF14/IL4/LTA/IFNB1/IL31RA/IL37/CSH1/CCL4/TNFSF9/BMPR1B/IL17F/CCL8/IFNL2/GDF9/IL2RA/BMP3/OSMR/CCR5/CSH2/CCR4/GDF5/CX3CL1/TNFRSF12A/IL4R/CXCL10/CD70/IL1RN/TNFSF8/TNFSF4/IFNA10/IFNA1/EBI3/PF4V1/IL18/INHA/CD40LG/IL17RE/BMP8B/CCL15/BMP15/CSF2RB/IFNL1/TNFRSF13C/INHBA/CCL22/CNTFR/BMP2/PRL/XCR1/GDF15/GDF11/IL7R/CCL21/CCL3/AMHR2/CCL4L2/CCL16/BMP8A/ACKR4/GH1/PF4/IFNL3/TNFRSF18/TNFRSF4/IL21R/CCL13/INHBE/CCL24/GDF10/GDF7/PPBP,197
NA,NA,hsa04382,Cornified envelope formation,146/2936,217/9521,6.221106618230473e-29,5.412362757860511e-27,4.551230631231767e-27,CERS3/HAL/SPRR2E/CASP14/KRT82/PNPLA1/PPP2R2B/KRT28/LAMC2/ABCA12/CLDN6/KRT3/KRT23/CYP4F22/KRT73/DSG1/KRT40/KRT83/CLDN16/KRT39/CLDN20/KRT27/KRT5/TGM5/S100A7A/KRT79/KRT16/KRT15/PADI6/KRT74/LCE1B/DSG4/KRT77/ALOXE3/COL17A1/HRNR/FLG/KRT8/KRT14/FLG2/KRT7/S100A2/S100A7/KRT25/DSG3/CLDN17/CLDN10/CDSN/KRT76/SPRR2D/SPRR1B/KRT6B/PADI3/CLDN14/S100A3/DSC1/TGM1/EVPL/KRT24/KRT4/KRT1/LCE4A/KRT72/KRT20/KRT33B/KRT34/KRT12/CLDN7/SPTLC3/SDR9C7/KRT36/TCHH/CLDN18/PADI1/LCE3D/KRT6C/KRT2/S100A5/KRT6A/KRT75/KRT38/CLDN24/KRT9/KAZN/KRT26/KRT86/S100A12/CLDN8/ELOVL4/SPRR3/KRT85/DSP/ALOX12B/LCE3E/SPRR2A/KRT13/TCHHL1/IVL/LCE1C/KRT32/KRT78/LCE2A/KRT33A/OCLN/KRT71/CLDN25/S100A8/KRT37/S100A9/CLDN2/KRT18/KRT17/KRT81/CLDN22/KRT84/KRT35/SPRR5/LCE2D/LCE5A/CLDN4/SPRR4/SPRR1A/LCE2C/CLDN19/S100A14/PRSS8/EPHX3/ST14/SPRR2B/COL4A6/LAMB3/SPRR2F/LCE3A/CLDN3/LCE2B/CLDN34/LCE1E/LCE1A/TGM3/LORICRIN/SPRR2G/UGCG/PPP2R2C/S100A4/LCE1F/KRT19,146
NA,NA,hsa04082,Neuroactive ligand signaling,135/2936,199/9521,2.2364238504365103e-27,1.556550999903811e-25,1.3088964850975787e-25,SLC6A4/CHRNA7/GRIK4/GABRA2/HTR4/GRM1/CHRNB2/GABRB3/GRM8/GABBR2/DRD3/SLC18A1/CHRNB4/PRKCB/HTR1E/CHRM5/GRM7/GRM5/GRIA2/GABRB2/GRIN2A/CHRM3/HTR5A/SLC5A7/HTR3B/GNG4/HTR3E/SLC17A8/GRIN2B/GNGT2/SLC6A11/GABRG3/GRIN3A/TAC1/CHRNA6/ADORA2B/GABRP/SLC1A6/GABRR3/GRM4/PDYN/GLRA3/GRIA4/GABRG2/HTR1F/HTR3A/MC4R/GABRA5/CHAT/PRKACG/SLC6A5/TAC3/SLC6A13/GRM6/GNB5/GABRR1/GLRA1/HTR3C/GABRQ/GRM3/SLC6A3/GABRA1/HTR2C/GRIK3/CHRNA4/SLC6A12/GABRA4/GRIA1/GRIK1/P2RX2/CHRM1/HTR1B/GABRG1/OPRM1/GABRB1/GABRA6/SLC6A2/CHRM2/TAC4/SLC32A1/GRIK5/SLC17A6/HTR1A/CHRNA3/HTR3D/DRD1/GABRD/MC3R/PNOC/DRD2/GNG3/DRD5/HTR1D/GRIN1/GNGT1/GABRA3/OPRK1/GRM2/AGRP/ADCY8/PRKCG/SLC1A2/HTR2A/GRIN2C/HTR2B/P2RX1/HRH3/SLC1A1/HRH2/TACR3/GRIA3/ADORA3/HTR6/TACR2/SLC18A2/GRIK2/P2RX5/GRIN3B/ADORA2A/GNG8/ADRA1A/ADORA1/GNG13/P2RY12/P2RY13/GRIN2D/GNG10/CHRM4/P2RX3/OPRL1/POMC/ADRB1/SLC18A3/PENK/TACR1,135
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,37/2936,41/9521,2.62528071895696e-15,1.522662816995037e-13,1.2804000699474296e-13,CACNA1A/CHRNA7/GABRA2/CHRNB2/GABRB3/GRIA2/GABRB2/GRIN2A/SLC17A8/GRIN2B/GABRG3/GRIN3A/CHRNA6/GABRP/GABRR3/GRIA4/GABRG2/GABRA5/GABRR1/GABRQ/GABRA1/CHRNA4/GABRA4/GRIA1/GABRG1/GABRB1/GABRA6/SLC32A1/SLC17A6/GABRD/GRIN1/GABRA3/CACNA1B/GRIN2C/GRIA3/GRIN3B/GRIN2D,37
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,67/2936,100/9521,8.27234206010231e-14,4.1125357670222915e-12,3.4582121694863793e-12,CXCL1/CXCL11/IL18R1/CXCL5/IL18RAP/TNFRSF10D/IL2/CCL20/IL19/CCL25/CCR9/IL22RA1/IL10/CCL2/TNF/CCL11/CCL26/IL20RB/IL24/CXCR5/CXCR1/CXCL6/IL6/CCR6/CXCL3/CXCL13/CXCR2/CCR8/CCL1/IL20/XCL1/CXCL8/TNFRSF10C/CCR2/XCL2/CCL28/CXCL2/TNFRSF10A/CCL17/CCL7/CCR7/CCL23/CXCL12/TNFSF14/LTA/IL37/CCL4/CCL8/IL2RA/CCR5/CCR4/CX3CL1/CXCL10/PF4V1/IL18/CCL15/CCL22/XCR1/CCL21/CCL3/CCL4L2/CCL16/ACKR4/PF4/CCL13/CCL24/PPBP,67
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,49/2936,68/9521,2.7770291365958353e-12,1.2080076744191883e-10,1.0158080262811082e-10,BCO1/DHRS9/CYP3A4/HSD17B6/LRAT/RDH12/CYP2C18/UGT1A1/CYP2C9/CYP2C8/SDR16C5/ADH7/CYP2A7/CYP26A1/CYP3A7/UGT1A9/UGT2B15/RPE65/UGT2B10/CYP2A6/UGT2B4/UGT1A10/ADH4/UGT2B7/UGT1A6/CYP27C1/CYP2B6/UGT2A1/ADH6/UGT2A3/CYP3A5/UGT1A7/CYP1A2/UGT1A4/AWAT2/RDH8/ADH1A/UGT2B11/UGT1A8/UGT1A5/UGT2B28/UGT2B17/RDH16/UGT1A3/CYP26C1/CYP2S1/CYP1A1/CYP2W1/CYP3A7-CYP3A51P,49
NA,NA,hsa04081,Hormone signaling,112/2936,219/9521,1.9592160438395664e-10,7.57563536951299e-9,6.370316493419877e-9,OXTR/DRD3/GNG4/SLCO1C1/GHRHR/PRLHR/ESR2/MC5R/CALCA/GNGT2/TRHR/CCK/CALCB/MCHR2/MPL/PDYN/GIPR/PRKG2/MCHR1/MC4R/SST/FSHB/SSTR3/NPPA/PRKACG/FSHR/GLP1R/CRH/HAMP/SSTR2/GNB5/HCRTR2/MLN/IAPP/GHSR/GUCY2C/GHRH/RAPGEF4/HEPHL1/GIP/GHRL/GCG/AVPR1B/OPRM1/GAST/PTH/CCKBR/CGA/GH2/DRD1/TRH/MC3R/PNOC/GNRHR/DRD2/GNG3/DRD5/GUCA2A/ADRB3/GNGT1/UCN3/CRHR1/EPO/DIO1/CCKAR/MC2R/OPRK1/SSTR4/IRS4/GCGR/AVPR1A/VIP/AGTR2/PRLR/PRLH/ADCY8/PMCH/TSHR/CSHL1/HCRT/MLNR/CSH1/BMPR1B/GUCA2B/CSH2/HEPH/IRS2/LHCGR/PIK3CD/TSHB/GNG8/HCRTR1/ADRA1A/AGT/GNRH2/PRL/GNG13/GNA15/NPPB/IGF2/AVP/AMHR2/GNG10/LHB/GH1/OPRL1/POMC/ADRB1/SSTR5/PENK/NPPC/UCN2,112
Organismal Systems,Sensory system,hsa04742,Taste transduction,54/2936,86/9521,8.593382339956788e-10,2.9904970543049623e-8,2.5146950426399864e-8,CACNA1A/GABRA2/GRM1/PKD1L3/GABBR2/ASIC2/GNAT3/SCN2A/HTR1E/SCNN1A/SCN3A/PKD2L1/CHRM3/HTR3B/HTR3E/HCN4/GRM4/TAS2R60/HTR1F/HTR3A/TAS2R41/GABRA5/SCNN1G/PRKACG/PDE1C/HTR3C/GABRA1/GABRA4/P2RX2/HTR1B/TAS2R42/TAS2R1/GABRA6/CALHM1/HTR1A/HTR3D/TAS2R38/TRPM5/HTR1D/TAS1R2/TAS2R7/GABRA3/KCNK5/ADCY8/TAS2R16/SCNN1B/TAS2R40/PDE1B/TAS2R39/TAS1R1/TAS2R8/TAS2R9/GNG13/P2RX3,54
