gene,log2FC,p_value,FDR
AC098650.1,0.6075924587120249,4.460981617411003e-08,
AC108488.2,0.8495574203674584,1.506841752334239e-05,
AC112128.1,0.4461599114600622,0.0012333193349355833,
AC114490.3,0.5387540712459243,0.00015790637426154559,
AC118553.2,0.3989119264309708,0.00010629358270781738,
AC131160.1,1.07877711305854,7.341641536428377e-05,
AC138969.1,0.5987683002037778,0.0037044003759020734,
AC233723.1,0.7360284747549211,0.0012095875095217991,
AC244197.3,0.675890599491093,1.3367267906246982e-05,
ACAA1,0.7760994973931266,7.0313553761552576e-15,
ACAA2,0.8520487624053218,5.69001233369425e-16,
ACACA,0.6312820749461088,7.270715809189279e-10,
ACACB,0.7210987260144499,2.1703554942012167e-09,
ACAD8,0.780286287173125,4.785836445962138e-17,
ACAD9,0.7719210951090402,1.544054543798169e-14,
ACAD10,0.7179943355262568,1.856702575346354e-13,
ACAD11,0.6422122494792838,1.0483349978099054e-08,
ACADL,0.538610363910035,1.0888539563404135e-07,
ACADM,0.9075699292470462,1.8987919457198877e-14,
ACADS,0.8620194221101309,3.191011209876648e-16,
ACADSB,0.8221450443750787,1.2635452510463756e-13,
ACADVL,0.8614756523141257,9.367161344534198e-16,
ACAP1,0.5955264731478701,5.324435573393181e-05,
ACAP2,0.6694530878269445,1.7854999070754734e-10,
ACAP3,0.7926090639783582,1.5754607845588674e-11,
ACAT1,0.8579950856947325,6.90955337202382e-12,
ACBD3,0.750237506795116,2.202607553171083e-14,
ACBD4,0.7459780205668547,1.9780457889079358e-09,
ACBD5,0.7634809315923201,1.1070103692681501e-14,
ACBD6,0.6934067089483598,5.689861766378132e-13,
ACCS,0.7372720649385993,8.493089816012806e-07,
ACD,0.5905980353851567,3.6229285495226696e-09,
ACE,0.7807869809529805,1.3261847520059718e-07,
ACER2,0.47819300443747714,4.4294964424008996e-05,
ACER3,0.5070789365219626,2.711366977668328e-05,
ACHE,0.63841089747938,1.1414319692101682e-06,
ACIN1,0.7512156952851881,6.2502135088332025e-15,
ACKR1,0.8205076400497988,0.009439301044722697,
ACKR3,0.7403970982844388,6.578113001575556e-06,
ACLY,0.7206937812445164,3.899192897952249e-06,
ACO1,0.589043585663542,5.464353358130489e-10,
ACO2,0.8352225646723512,2.1129493414918699e-13,
ACOT1,0.950720857720275,2.393654949454375e-10,
ACOT2,0.7185972258794002,4.025122890002879e-08,
ACOT8,0.7717668047022769,5.873942158401337e-12,
ACOT9,0.611333645757914,3.5109259904981182e-06,
ACOT11,0.9864697591098663,0.00020107349908451747,
ACOT13,0.6668798555428246,3.5266763586835147e-11,
ACOX1,0.7063409567555287,3.054410298611826e-13,
ACOX2,1.0441668696001354,1.831909622672372e-08,
ACOX3,0.7678825012164906,3.056282111153933e-14,
ACP1,0.7275259339633713,1.9612153332551657e-16,
ACP2,0.7816111855515727,6.462723927701784e-13,
ACP6,0.7033369856577092,8.660966472416422e-09,
ACSF2,0.7023590145185677,2.032594422838713e-09,
ACSF3,0.7044998882042997,1.1624799530059886e-12,
ACSL1,0.8056944917011104,3.178280925159891e-12,
ACSL3,0.5821620293090642,2.7747352833391832e-08,
ACSL4,0.6685643227035234,5.029790727820108e-05,
ACSL5,0.5856614470207414,3.0090700749815615e-05,
ACSL6,0.5618379611631151,5.77074728746197e-06,
ACSM5,0.6908204616588507,2.443927949250536e-05,
ACSS1,0.9928830487830733,5.059472286170824e-07,
ACSS2,0.7118586376637089,9.643389239969673e-10,
ACSS3,0.5823959605210182,3.004507593222152e-07,
ACTA1,0.7768099589257875,1.4605925646776008e-08,
ACTA2,0.6431410792711405,0.00010117444231781193,
ACTB,0.5760556464031176,6.801293417688786e-05,
ACTG1,0.5883533496863659,0.00020311920290250183,
