Cluster,gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
0,CILP2,-1.1097142468356944,0.00623132849782007,0.24706885839184092,24.66522731964673,0.22949179854231,-2.7353536691589637
0,LRRC15,-1.0366105350785346,0.00285782056706011,0.24706885839184092,53.29837972029688,0.22309659862193804,-2.9826312795950924
0,AC008397.1,-0.9901977555661428,0.0053768474029393,0.24706885839184092,3.080393004533114,0.2270758367158092,-2.78354457271803
0,AL132822.1,0.9104932058913666,6.903484435681064e-5,0.24706885839184092,5.618115855461027,0.2279104961583056,3.9795878575514503
0,LAMP5,-0.9079220667096808,5.309083072377672e-5,0.24706885839184092,7.939119004397828,0.22933372350633793,-4.0415863204237095
0,FAM230C,-0.8915185134189048,0.00371165742783935,0.24706885839184092,39.36713302002416,0.22967065555558044,-2.901681461580764
0,LINC02094,-0.8859069498104125,1.0597533662103392e-4,0.24706885839184092,2.159306601643572,0.22557381729079445,-3.876487304812409
0,PIEZO2,-0.8563150106403902,8.713408685270978e-5,0.24706885839184092,188.31582432023353,0.22080382958348033,-3.9238801741979703
0,CCN4,-0.8509284836710038,6.158076780723691e-5,0.24706885839184092,66.94234899051966,0.21388828840858887,-4.00667014989544
0,AC097518.1,-0.8365308040170676,1.796994828704847e-4,0.24706885839184092,1.8869801536876307,0.22854938742796269,-3.745968021869655
0,AL590235.1,-0.828542808854103,2.770400190621086e-4,0.24706885839184092,2.199094770466675,0.22612184727959272,-3.635873730475137
0,F2RL2,-0.8161730323240256,2.238390123126371e-4,0.24706885839184092,12.18203492437254,0.22354959529008145,-3.690471222061796
0,AC131649.1,-0.8131331952266763,2.6615171353192946e-4,0.24706885839184092,3.365172060012145,0.23009881031617968,-3.646195313970561
0,NOTO,-0.8082065511393696,3.124797988247464e-4,0.24706885839184092,3.878712314413447,0.2302053160524749,-3.604728184793312
0,AC066612.2,-0.8008599588679325,4.083029939524959e-4,0.24706885839184092,3.025426072488079,0.2274083505899235,-3.534658164705493
0,LINC02022,-0.7982467951060984,5.790863203021961e-4,0.24706885839184092,1.387109773775896,0.2302903941345069,-3.441225213564308
0,GSTA5,-0.7950193987806242,4.081821967391787e-4,0.24706885839184092,3.4018638602290108,0.23026557468711775,-3.534736358606571
0,H3-2,-0.7901691772100045,2.476156338646956e-4,0.24706885839184092,5.5150832035486825,0.21587639182582283,-3.6647134753237296
0,AL158832.1,-0.7873692789208787,6.109268785441363e-4,0.24706885839184092,1.447544445262474,0.23014491749138305,-3.4267163467058284
0,AC008403.3,-0.7857964405373417,4.3634820670112505e-4,0.24706885839184092,4.820061328084004,0.22563523382394696,-3.5170642137296775
0,KCNA1,-0.7843283629861733,9.545196125621344e-5,0.24706885839184092,24.35185268073498,0.20147766819199764,-3.9018711622514246
0,AL590677.1,-0.7835645633212036,4.964703615965664e-4,0.24706885839184092,2.601288050236658,0.22461260029583657,-3.482653576916593
0,TFAP2A-AS1,-0.7808397236751711,5.72660803854654e-4,0.24706885839184092,3.35538699340923,0.22901676496033477,-3.4442429831178525
0,AP001095.1,-0.7765703704020633,6.264711329025721e-4,0.24706885839184092,1.9623562991231416,0.23025319321361937,-3.419887172302376
