gene,log2FC,p_value,FDR
A1BG,-0.6617303569902788,0.19885724458826107,
A1CF,0.11879572791100944,0.8082608200650755,
A2M,-0.7440791568231475,0.004568891043149282,
A2ML1,-0.41887752026947955,0.503918460356477,
A3GALT2,-0.5886712302510072,0.2201410030270494,
A4GALT,-0.7505085200106035,0.01283534067989387,
A4GNT,-0.6332176691856931,0.45488784993638953,
AAAS,-0.8643381257530104,4.863755163093152e-05,
AACS,-0.8544539305551342,0.007958714123231243,
AADAC,-0.34720109318096426,0.5874440541757497,
AADACL2,0.2598671267154763,0.6617284344551609,
AADACL3,-0.9356495885021544,0.34100162859119215,
AADACL4,-0.26337958938769024,0.715003516410918,
AADAT,-0.7925300342901217,2.1554039019182284e-06,
AAGAB,-0.8344339746200491,0.0004080596449999507,
AAK1,-0.8708742752035763,0.00021560893214157218,
AAMDC,-0.7073308840969816,0.01675431047923917,
AAMP,-0.8234322034464694,7.733805471335559e-05,
AANAT,-1.0611207951916612,0.28919216609835235,
AAR2,-0.8932151974037975,0.00018539334996220893,
AARD,-0.6768069377501189,0.4551910033953952,
AARS1,-0.9353406566421893,0.00013341211816812707,
AARS2,-0.833474597375608,7.713815970395814e-05,
AARSD1,-0.8368898574820528,0.002455935458759134,
AASDH,-0.786833024487522,0.0006346830927880785,
AASDHPPT,-0.7753900554719924,0.000540924270874673,
AASS,-0.6115810282940658,0.029133920082540378,
AATF,-0.9506220512585064,0.0010648263796975207,
AATK,-0.7885894456852425,0.016094746319504385,
ABAT,-0.8754344498686905,0.005797042541931156,
ABCA1,-0.6628590505434078,0.004943927760947374,
ABCA2,-0.8247034603958069,9.476765346827752e-06,
ABCA3,-0.9563678693616829,2.943134876543282e-05,
ABCA4,-0.6167796444519961,0.31239740111678727,
ABCA5,-0.9494682974677414,0.002342792206515442,
ABCA6,-0.881213621412392,0.0002925507568942378,
ABCA7,-1.146545472560029,0.017163902432720812,
ABCA8,-0.6242561576782081,0.015048180722588204,
ABCA9,-0.9243327884207221,7.169834555392112e-06,
ABCA10,-0.742427114450344,0.002328770114451232,
ABCA12,-0.04886325925362582,0.9329307714346016,
ABCA13,-0.16844272961357964,0.800237739872955,
ABCB1,-0.5440611415450268,0.24520614088349713,
ABCB4,-0.6676657588361554,0.007503031729267544,
ABCB5,-0.227625859073882,0.6495247929034815,
ABCB6,-0.9919783363609979,0.009966750981341022,
ABCB7,-0.7955628914815427,0.0002064408318729483,
ABCB8,-0.7552766501461879,2.41151625712081e-06,
ABCB9,-0.5634078322414848,0.04210284868930902,
ABCB10,-0.7892388681729475,0.0011622784891189906,
ABCB11,-0.14276128685606307,0.8070407756579959,
ABCC1,-0.8886473928340944,0.001729554684331161,
ABCC2,-1.023404304652156,0.0002337393883897937,
ABCC3,-0.8903755088062586,0.17934453254707192,
ABCC4,-0.667132023629788,0.0005062101346945921,
ABCC5,-0.9693100297118205,0.014312960753440993,
ABCC6,-0.15328623741411962,0.5380822811185451,
ABCC8,-0.4757250227811681,0.2995295305499299,
ABCC9,-0.6352697116503728,0.0007196257260751153,
ABCC10,-0.8600418754407173,5.154541156018588e-05,
ABCC11,-0.20521583746369587,0.7840294062232486,
ABCC12,-0.12330587386432959,0.8346563273893038,
ABCD1,-0.910812281401678,0.0010590902136543812,
ABCD2,-0.8903755088090812,0.049791818724231045,
ABCD3,-0.8523670062311148,0.000135605639396366,
ABCD4,-0.7995891370807856,0.0006778716121821863,
ABCE1,-0.8113493222269202,9.432218399634187e-05,
ABCF1,-0.9489550482360763,1.0754829335650761e-05,
ABCF2,-0.918278727829011,0.0009136609829395976,
ABCF3,-0.7811719907066859,0.000623312654733058,
ABCG1,-0.6064190344073918,0.05935209086585199,
ABCG2,-0.5864849734577102,0.032922317967449224,
ABCG4,-0.5131545934805642,0.5268051550726545,
ABCG5,-0.473309377747708,0.4254485502092601,
ABCG8,-0.6147410661717334,0.4933989608219198,
ABHD1,-1.0431024564133353,0.00021992669534061092,
ABHD2,-0.8400732971131267,0.0010278099613563864,
ABHD3,-0.8727635755200019,0.034512497229132834,
ABHD4,-0.9596039336613525,0.003259157572376728,
ABHD5,-0.8895372416073963,0.00017902003945384322,
ABHD6,-0.6881401958678445,0.007586866738192518,
ABHD8,-0.7936324514831365,0.003044693160757318,
ABHD10,-0.7711974298842421,0.0001882739976546152,
ABHD11,-0.7047434250319367,0.00044757167651734845,
ABHD12,-0.8304149834611481,0.0003680920407141878,
ABHD12B,-0.21350368282175586,0.7732832502922795,
ABHD13,-0.8103208058606026,0.00010536423832602272,
ABHD14A,-0.6930807382678604,0.0024985612224323853,
ABHD14A-ACY1,-1.0173611597211294,0.1878894694961354,
ABHD14B,-0.8215069792543993,7.641656229539264e-05,
ABHD15,-0.9151338365112089,0.00016577575837643238,
ABHD16A,-1.0098010807143776,0.03579890522478399,
ABHD16B,-0.9045196902652302,0.5137966667901717,
ABHD17A,-0.7882315428270684,0.0005567936375992593,
ABHD17B,-0.866624640446926,0.0001154163175918926,
