"TNFA_NFKB","JAK_STAT","TGF_BETA","ECM_EMT","FA_METAB","GLYCOLYSIS","sample","cluster","pseudotime"
3.1574322378481,3.59004061191055,-0.180578797112098,-0.512169499116395,0.248669610955047,0.812276207021868,"NS.1402.003.NEBNext_dual_i7_177---NEBNext_dual_i5_177.2066_R1.bam","1",3
-0.110072236577289,0.335419527063485,0.414175363159411,0.56868134524787,-0.63464666116726,0.0223750247795383,"NS.1402.003.NEBNext_dual_i7_178---NEBNext_dual_i5_178.3005_R1.bam","0",1
-0.284093781543106,-0.383435529901357,-0.0506978089107149,-0.394799727177033,0.917723308722649,-0.235351911113821,"NS.1402.003.NEBNext_dual_i7_179---NEBNext_dual_i5_179.3007_R1.bam","3",2
3.18820083151737,2.62441406174009,0.199132805341902,0.0949356924076958,0.408803671320729,0.822913391828084,"NS.1402.003.NEBNext_dual_i7_180---NEBNext_dual_i5_180.3016_R1.bam","1",3
0.391967276556603,0.339286945914294,-0.319329915733364,-0.084666921545092,1.42768636030137,-0.946920397326926,"NS.1402.003.NEBNext_dual_i7_181---NEBNext_dual_i5_181.3019_R1.bam","3",2
0.641739603711041,0.854162213296202,0.243510259750655,-0.182872237045404,-0.793584577378675,0.866430142603912,"NS.1402.003.NEBNext_dual_i7_182---NEBNext_dual_i5_182.3021_R1.bam","0",1
-0.18424985693419,0.40043147834172,0.456680293934993,-0.340007657757657,1.14640757624561,-0.394183645788645,"NS.1402.003.NEBNext_dual_i7_183---NEBNext_dual_i5_183.3027_R1.bam","3",2
-0.227284648111041,-0.0565613115340878,-0.306989202298724,-0.303713193456947,-0.631823948593391,0.754418866386503,"NS.1402.003.NEBNext_dual_i7_184---NEBNext_dual_i5_184.3031_R1.bam","0",1
2.81458660819085,3.1989739831963,1.55419188502755,4.52678165624764,-0.504805452343443,-0.368145832634449,"NS.1402.003.NEBNext_dual_i7_185---NEBNext_dual_i5_185.3034_R1.bam","2",4
-0.640185316230582,-0.460739186603426,-0.258666959673865,-0.301758255011649,-0.165055321211337,0.258693929269533,"NS.1402.003.NEBNext_dual_i7_186---NEBNext_dual_i5_186.3037-1_R1.bam","0",1
0.869953383926414,0.387544845217536,-0.760584318504836,-0.954455148544237,0.596896055401947,-0.806272828939878,"NS.1402.003.NEBNext_dual_i7_187---NEBNext_dual_i5_187.3053_R1.bam","3",2
-0.473716985038751,-0.560167422735313,0.409934064238316,0.461548615401446,-0.23971994330953,-0.164562945715899,"NS.1402.003.NEBNext_dual_i7_188---NEBNext_dual_i5_188.3055_R1.bam","2",4
-0.215598589462139,-0.0451001638117132,0.106701311538463,-0.216085076193854,-0.237341966761607,0.779771309386556,"NS.1402.003.NEBNext_dual_i7_189---NEBNext_dual_i5_189.3061_R1.bam","0",1
2.07155676747027,1.6095152554345,-0.992448658429558,-0.573915169981934,-1.33263004920774,-0.681477709888041,"NS.1402.003.NEBNext_dual_i7_190---NEBNext_dual_i5_190.3070-2_R1.bam","1",3
-0.0413577851952353,0.196766892905457,-0.971302394306357,-1.11901839751515,-0.455642108583454,-0.681309816806963,"NS.1402.003.NEBNext_dual_i7_191---NEBNext_dual_i5_191.4026_R1.bam","0",1
