gene,log2FC,p_value,FDR
LINC01258,2.774832742562781,2.626793517804811e-07,8.660110105912611e-06
RPL34-DT,1.2901088064448238,2.633547180665792e-07,8.660110105912611e-06
LINC00243,2.471125511196135,2.6608587826154747e-07,8.660110105912611e-06
LINC01284,2.437872506081498,2.6995029024076276e-07,8.660110105912611e-06
KCNMB2-AS1,1.2011462719738386,2.705742446465488e-07,8.660110105912611e-06
LINC01215,2.1928786556130726,2.7171356026385535e-07,8.660110105912611e-06
CASC2,1.4487470226011425,2.7255274781818936e-07,8.660110105912611e-06
DPH6-DT,1.2032901194074939,2.743021300515307e-07,8.660110105912611e-06
LINC02055,2.47256654986685,2.77146953549788e-07,8.66042321958639e-06
LINC01338,2.3035729481951215,2.784370408773905e-07,8.66042321958639e-06
DLEU1,1.2710310304799393,2.975169013837869e-07,9.18583433022442e-06
SLC5A4-AS1,2.586810924675672,3.042599812489268e-07,9.325457381490829e-06
LINC00923,1.5350372753675934,3.095924771455155e-07,9.397363401764062e-06
LINC02763,2.1612006363038136,3.1108204640276365e-07,9.397363401764062e-06
HMGA2-AS1,1.8799783650820536,3.1628284831615206e-07,9.435674496493452e-06
LHFPL3-AS1,2.4455676452847013,3.168445115516972e-07,9.435674496493452e-06
LINC01320,2.4442402532700616,3.255818123504402e-07,9.510694144497875e-06
LRRC2-AS1,2.681416285585142,3.3253082004047053e-07,9.510694144497875e-06
MAPK10-AS1,1.8188302409911674,3.354157625092796e-07,9.510694144497875e-06
LINC02505,2.379228965270799,3.360715613803168e-07,9.510694144497875e-06
NTM-AS1,2.762723996138557,3.3826935726438346e-07,9.510694144497875e-06
LINC01980,2.791304562174669,3.4126280004751576e-07,9.510694144497875e-06
LINC00710,2.6213371216158183,3.4721693302115025e-07,9.510694144497875e-06
MAMDC2-AS1,1.432015987552562,3.5287110449548944e-07,9.510694144497875e-06
LINC01798,1.8084136253394216,3.561893930693083e-07,9.510694144497875e-06
FAM87A,2.560092923136597,3.6058588668071414e-07,9.510694144497875e-06
CPEB2-DT,0.790888873563684,3.617375039692366e-07,9.510694144497875e-06
DLGAP1-AS4,2.556758477831878,3.649016360406026e-07,9.510694144497875e-06
LINC01876,1.5910713102070098,3.696697077619151e-07,9.510694144497875e-06
LINC00601,2.2572248136684427,3.70079373927585e-07,9.510694144497875e-06
LINC02770,2.0856167818012743,3.719306768367809e-07,9.510694144497875e-06
LINC00907,2.1804693200274157,3.7281413608249586e-07,9.510694144497875e-06
LINC01498,2.567915808219483,3.7311080060465386e-07,9.510694144497875e-06
SPANXA2-OT1,1.6966045039215754,3.732761849938421e-07,9.510694144497875e-06
LINC01277,1.5045910579457458,3.746506513847562e-07,9.510694144497875e-06
LINC02241,2.521184436539312,3.75534046650839e-07,9.510694144497875e-06
SGO1-AS1,1.7564003030946806,3.7588137339049405e-07,9.510694144497875e-06
LINC02857,2.3819205610588576,3.776728906397205e-07,9.510694144497875e-06
LINC02720,2.2928101680456567,3.795696889015421e-07,9.510694144497875e-06
AOAH-IT1,2.042831915302977,3.822983855358072e-07,9.510694144497875e-06
LINC01532,2.5444646341071695,3.8249773619783194e-07,9.510694144497875e-06
CPB2-AS1,2.2685446951753154,3.8365884333238824e-07,9.510694144497875e-06
LINC01036,2.2382673270789066,3.858697714940131e-07,9.510694144497875e-06
LINC01206,2.6948035168616835,3.8686193060917103e-07,9.510694144497875e-06
LINC00446,2.2782618595222965,3.869487273499385e-07,9.510694144497875e-06
LINC00540,1.6147861033756832,3.8896403982663835e-07,9.510694144497875e-06
LINC01727,2.352393589461319,3.8957832647145376e-07,9.510694144497875e-06
LINC01122,2.5926393841311146,3.9677779998535766e-07,9.630462324500097e-06
KLRK1-AS1,1.3699780290704826,4.02259129047947e-07,9.650228672324587e-06
LINC02840,2.336663420621486,4.048480624422215e-07,9.650228672324587e-06
LINC01998,2.4679230790541373,4.078166207907168e-07,9.650228672324587e-06
PCAT5,2.5845478733106297,4.0888712659966815e-07,9.650228672324587e-06
CASC6,2.4258771827727776,4.111812638043747e-07,9.650228672324587e-06
LINC00293,2.4281680046026612,4.113815032974758e-07,9.650228672324587e-06
