miRNA,TargetGene,miRNA_regulation,RNA_regulation
hsa-miR-125b-5p,E2F7,up,up
hsa-miR-125b-5p,SLC19A1,up,up
hsa-miR-125b-5p,MYEF2,up,up
hsa-miR-125b-5p,IRS4,up,up
hsa-miR-125b-5p,ESRP2,up,up
hsa-miR-125b-5p,HMGA2,up,up
hsa-miR-125b-5p,PKM,up,down
hsa-miR-125b-5p,EPHA7,up,up
hsa-miR-125b-5p,PMAIP1,up,up
hsa-miR-125b-5p,CCNE1,up,up
hsa-miR-125b-5p,PSAT1,up,up
hsa-miR-125b-5p,GABRB3,up,up
hsa-miR-125b-5p,NEBL,up,up
hsa-miR-125b-5p,IRF4,up,up
hsa-miR-125b-5p,GRIN2A,up,up
hsa-miR-125b-5p,GPRIN1,up,up
hsa-miR-125b-5p,CGN,up,up
hsa-miR-125b-5p,NME2,up,up
hsa-miR-125b-5p,LBX2,up,up
hsa-miR-125b-5p,STC2,up,up
hsa-miR-125b-5p,FGFR2,up,up
hsa-miR-125b-5p,E2F2,up,up
hsa-miR-125b-5p,LIN28B,up,up
hsa-miR-125b-5p,NTRK3,up,up
hsa-miR-125b-5p,MMP13,up,up
hsa-miR-99b-5p,CAMSAP3,up,up
hsa-miR-99b-5p,IGF2BP1,up,up
hsa-miR-99b-5p,FAM171A2,up,up
hsa-miR-99b-5p,CHEK1,up,up
hsa-miR-99b-5p,CNTNAP2,up,up
hsa-miR-326,VKORC1,up,up
hsa-miR-326,PKM,up,down
hsa-miR-100-5p,RRM2,up,up
hsa-miR-100-5p,NOP2,up,up
hsa-miR-100-5p,SLC17A8,up,up
hsa-miR-100-5p,RPL39L,up,up
hsa-miR-100-5p,RHPN2,up,up
hsa-miR-100-5p,NLRP3,up,up
hsa-miR-100-5p,FGFR3,up,up
hsa-miR-100-5p,PTP4A1,up,up
hsa-miR-100-5p,LIN28B,up,up
hsa-miR-100-5p,MMP13,up,up
hsa-miR-99a-5p,RUNDC3B,up,up
hsa-miR-99a-5p,FGFR3,up,up
hsa-miR-99a-5p,MYL2,up,down
hsa-miR-99a-5p,SGPP2,up,up
hsa-miR-99a-5p,ZNF367,up,up
hsa-miR-99a-5p,TYMS,up,up
hsa-miR-769-3p,HOXA11,up,up
hsa-miR-769-3p,DLX4,up,up
hsa-miR-455-3p,AGL,up,down
hsa-miR-455-3p,CDKN2A,up,up
hsa-miR-455-3p,SCD,up,down
hsa-miR-455-3p,EPHA7,up,up
hsa-miR-455-3p,CDC45,up,up
hsa-miR-455-3p,SHCBP1,up,up
hsa-miR-652-3p,IRS4,up,up
hsa-miR-652-3p,CACNG8,up,up
hsa-miR-652-3p,CBS,up,up
hsa-miR-652-3p,CCDC74B,up,up
hsa-miR-652-3p,RAP1GAP2,up,up
hsa-miR-652-3p,KIF1A,up,up
hsa-miR-197-3p,RAD51,up,up
hsa-miR-197-3p,AGR2,up,up
hsa-miR-197-3p,CPNE6,up,up
hsa-miR-197-3p,ABCC3,up,up
hsa-miR-197-3p,CEP152,up,up
hsa-miR-197-3p,SCD,up,down
hsa-miR-197-3p,HNF4A,up,up
hsa-miR-197-3p,NME2,up,up
hsa-miR-197-3p,CKS1B,up,up
hsa-miR-197-3p,ACTL9,up,up
hsa-miR-197-3p,ZNF208,up,up
hsa-miR-197-3p,RNFT2,up,up
hsa-miR-197-3p,PIPOX,up,up
hsa-miR-197-3p,IGF2-AS,up,up
hsa-miR-197-3p,OVCH2,up,up
hsa-miR-197-3p,MSI1,up,up
hsa-miR-197-3p,CCNA2,up,up
hsa-miR-25-3p,CLSPN,up,up
hsa-miR-25-3p,PHTF1,up,up
hsa-miR-25-3p,KIF23,up,up
hsa-miR-25-3p,CCL26,up,up
hsa-miR-25-3p,DKK4,up,up
hsa-miR-25-3p,SYNPR,up,up
hsa-miR-25-3p,RYR2,up,up
hsa-miR-25-3p,NAT1,up,up
hsa-miR-25-3p,CDH1,up,up
hsa-miR-25-3p,ANKRD18A,up,up
hsa-miR-25-3p,ZNF682,up,up
hsa-miR-25-3p,CTSE,up,up
hsa-miR-25-3p,CCDC96,up,up
hsa-miR-25-3p,LOXHD1,up,up
hsa-miR-25-3p,CHCHD10,up,down
hsa-miR-25-3p,EZH2,up,up
hsa-miR-25-3p,CCNE2,up,up
hsa-miR-760,HOXA13,up,up
hsa-miR-760,NPTX1,up,up
hsa-miR-760,HMGA2,up,up
hsa-miR-760,SGSM1,up,up
hsa-miR-1301-3p,WNT3,up,up
hsa-miR-1301-3p,COCH,up,up
hsa-miR-1301-3p,GNG10,up,up
hsa-miR-1301-3p,ADD2,up,up
hsa-miR-1301-3p,PKM,up,down
hsa-miR-1301-3p,CHN1,up,up
hsa-miR-1301-3p,NOP2,up,up
hsa-miR-1301-3p,BIRC5,up,up
hsa-miR-328-3p,SKA1,up,up
hsa-miR-328-3p,ABCG2,up,up
hsa-miR-328-3p,SCD,up,down
hsa-miR-328-3p,PKM,up,down
hsa-miR-328-3p,MKI67,up,up
hsa-miR-328-3p,MTFP1,up,up
hsa-miR-328-3p,FGF3,up,up
hsa-miR-328-3p,DCDC2,up,up
hsa-miR-423-3p,MYB,up,up
hsa-miR-423-3p,HOXD13,up,up
hsa-miR-423-3p,KIF2C,up,up
hsa-miR-423-3p,ALAS1,up,down
hsa-miR-423-3p,PKM,up,down
hsa-miR-423-3p,KIF1A,up,up
hsa-miR-423-3p,TRPM2,up,up
hsa-miR-423-3p,GLDC,up,up
hsa-miR-423-3p,NPTX2,up,up
hsa-miR-423-3p,LYPD1,up,up
hsa-miR-22-3p,BUB1B,up,up
hsa-miR-22-3p,HTR2C,up,up
hsa-miR-22-3p,LRRC1,up,up
hsa-miR-22-3p,BMP7,up,up
hsa-miR-22-3p,E2F2,up,up
hsa-miR-30b-5p,LRP8,up,up
hsa-miR-30b-5p,TRIM59,up,up
hsa-miR-30b-5p,CHAT,up,up
hsa-miR-30b-5p,CEP152,up,up
hsa-miR-30b-5p,POU4F1,up,up
hsa-miR-30b-5p,ELOVL4,up,up
hsa-miR-30b-5p,CAMKV,up,up
hsa-miR-30b-5p,CCNE2,up,up
hsa-miR-30c-5p,ALDH5A1,up,down
hsa-miR-30c-5p,SLC39A1,up,up
hsa-miR-30c-5p,POLQ,up,up
hsa-miR-30c-5p,CELSR3,up,up
hsa-miR-30c-5p,ZNF829,up,up
hsa-miR-30c-5p,CEP152,up,up
hsa-miR-30c-5p,PPM1H,up,up
hsa-miR-30c-5p,RRM2,up,up
hsa-miR-30c-5p,PKM,up,down
hsa-miR-30c-5p,ARHGAP44,up,up
hsa-miR-30c-5p,STARD5,up,up
hsa-miR-30c-5p,CDH1,up,up
hsa-miR-30c-5p,MUC17,up,up
hsa-miR-30c-5p,BIRC5,up,up
hsa-miR-30c-5p,SCN11A,up,up
hsa-miR-30c-5p,ITGA4,up,up
hsa-miR-30c-5p,OTUD7A,up,up
hsa-miR-30c-5p,OTP,up,up
hsa-miR-30c-5p,NUDT11,up,up
hsa-miR-30c-5p,ELOVL4,up,up
hsa-miR-30c-5p,CAMKV,up,up
hsa-miR-185-5p,WNT5B,up,up
hsa-miR-185-5p,HMGA2,up,up
hsa-miR-185-5p,SCD,up,down
hsa-miR-185-5p,CCNE1,up,up
hsa-miR-185-5p,ARL9,up,up
hsa-miR-185-5p,AADACL3,up,up
hsa-miR-185-5p,FRMPD4,up,up
hsa-miR-185-5p,GLB1L3,up,up
hsa-miR-185-5p,NTRK3,up,up
hsa-miR-185-5p,CENPU,up,up
hsa-miR-93-3p,ATAD5,up,up
hsa-miR-93-3p,CENPF,up,up
hsa-miR-93-3p,HMMR,up,up
hsa-miR-93-3p,CIT,up,up
hsa-miR-93-3p,CDC20,up,up
hsa-miR-93-3p,RUNDC3B,up,up
hsa-miR-93-3p,SEL1L3,up,up
hsa-miR-93-3p,ARHGEF33,up,up
hsa-miR-93-3p,SCN1A,up,up
hsa-miR-93-3p,LRRC34,up,up
hsa-miR-93-3p,KIAA1549L,up,up
hsa-miR-93-3p,RAB13,up,up
hsa-miR-93-3p,CSAG1,up,up
hsa-miR-30e-5p,ZYG11A,up,up
hsa-miR-30e-5p,EXO1,up,up
hsa-miR-30e-5p,MUC17,up,up
hsa-let-7d-5p,ONECUT2,up,up
hsa-let-7d-5p,GPR63,up,up
hsa-let-7d-5p,CACNG8,up,up
hsa-let-7d-5p,HMGA2,up,up
hsa-let-7d-5p,MPL,up,up
hsa-let-7d-5p,IL13,up,up
hsa-let-7d-5p,IGF2BP1,up,up
hsa-let-7d-5p,DSC3,up,up
hsa-let-7d-5p,ZNF280B,up,up
hsa-let-7d-5p,ESPL1,up,up
hsa-let-7d-5p,ZNF763,up,up
hsa-let-7d-5p,ISL1,up,up
hsa-let-7d-5p,NR4A1,up,up
hsa-let-7d-5p,HAND1,up,up
hsa-let-7d-5p,IGF2BP3,up,up
hsa-let-7d-5p,LIN28B,up,up
hsa-miR-196a-5p,CKAP2L,up,up
hsa-miR-196a-5p,GRIK4,up,up
hsa-miR-196a-5p,KRT5,up,up
hsa-miR-196a-5p,NRXN1,up,up
hsa-miR-196a-5p,POTEG,up,up
hsa-miR-196a-5p,IGF2BP1,up,up
hsa-miR-196a-5p,EPHA7,up,up
hsa-miR-196a-5p,TSPAN12,up,up
hsa-miR-196a-5p,HOXB7,up,up
hsa-miR-196a-5p,UBE2C,up,up
hsa-miR-196a-5p,TRPC3,up,up
hsa-miR-196a-5p,BUB1,up,up
hsa-miR-196a-5p,HOXB8,up,up
hsa-miR-196a-5p,ESPL1,up,up
hsa-miR-196a-5p,ZNF763,up,up
hsa-miR-196a-5p,NR4A1,up,up
hsa-miR-196a-5p,KIF18B,up,up
hsa-miR-196a-5p,RASSF7,up,up
hsa-miR-196a-5p,SH3GL3,up,up
hsa-miR-196a-5p,SYT9,up,up
hsa-miR-196a-5p,NKX6-1,up,up
hsa-miR-196a-5p,LRP2,up,up
hsa-miR-196a-5p,SCN11A,up,up
hsa-miR-196a-5p,HAND1,up,up
hsa-miR-196a-5p,IGF2BP3,up,up
hsa-miR-196a-5p,LIN28B,up,up
hsa-miR-196a-5p,BCL11A,up,up
hsa-miR-196a-5p,MPP2,up,up
hsa-miR-196a-5p,CCNE2,up,up
hsa-miR-130b-5p,CGNL1,up,up
hsa-miR-130b-5p,OGDHL,up,up
hsa-miR-130b-5p,MACC1,up,up
hsa-miR-130b-5p,ASF1B,up,up
hsa-miR-130b-5p,DPYSL5,up,up
hsa-miR-130b-5p,FAM72A,up,up
hsa-miR-26a-5p,ABCB9,up,up
hsa-miR-26a-5p,ELOVL6,up,up
hsa-miR-26a-5p,ANO3,up,up
hsa-miR-26a-5p,ZNF233,up,up
hsa-miR-26a-5p,AHRR,up,up
hsa-miR-26a-5p,ACTL8,up,up
hsa-miR-26a-5p,NOS2,up,up
hsa-miR-26a-5p,RND2,up,up
hsa-miR-26a-5p,E2F7,up,up
hsa-miR-26a-5p,PTTG1,up,up
hsa-miR-26a-5p,IFNB1,up,up
hsa-miR-26a-5p,HMGA2,up,up
hsa-miR-26a-5p,PNMA2,up,up
hsa-miR-26a-5p,NKX2-5,up,up
hsa-miR-26a-5p,CDC6,up,up
hsa-miR-26a-5p,RRM2,up,up
hsa-miR-26a-5p,CCNE1,up,up
hsa-miR-26a-5p,EZH2,up,up
hsa-miR-26a-5p,CAMKV,up,up
hsa-miR-26a-5p,CCNE2,up,up
hsa-miR-576-5p,PNMA2,up,up
hsa-miR-27b-3p,RAB3B,up,up
hsa-miR-27b-3p,DPF1,up,up
hsa-miR-27b-3p,ADORA2B,up,up
hsa-miR-27b-3p,CYP3A4,up,up
hsa-miR-27b-3p,ST14,up,up
hsa-miR-27b-3p,MMP13,up,up
hsa-miR-320c,PCDHA2,up,up
hsa-miR-1180-3p,FUT7,up,up
hsa-miR-769-5p,CKAP2L,up,up
hsa-miR-769-5p,TRIM59,up,up
hsa-miR-769-5p,BARX2,up,up
hsa-miR-769-5p,FANCD2,up,up
hsa-miR-769-5p,PKM,up,down
hsa-miR-769-5p,SPAG5,up,up
hsa-miR-769-5p,WDR62,up,down
hsa-miR-769-5p,HELLS,up,up
hsa-let-7g-5p,CDKN2A,up,up
hsa-let-7g-5p,HMGA2,up,up
hsa-let-7g-5p,IL13,up,up
hsa-let-7g-5p,RRM2,up,up
hsa-let-7g-5p,IGF2BP1,up,up
hsa-miR-181c-5p,CDX2,up,up
hsa-miR-181c-5p,IL2,up,up
hsa-miR-143-3p,MACC1,up,up
hsa-miR-143-3p,MMP13,up,up
hsa-miR-532-5p,RUNX3,up,up
hsa-miR-27b-5p,CDH2,up,up
hsa-miR-130a-3p,RUNX3,up,up
hsa-miR-130a-3p,TAC1,up,up
hsa-miR-206,TAC1,up,up
hsa-miR-34a-5p,TRAIP,up,up
hsa-miR-34a-5p,TJP2,up,up
hsa-miR-34a-5p,MCM10,up,up
hsa-miR-34a-5p,MYB,up,up
hsa-miR-34a-5p,CDKN2A,up,up
hsa-miR-34a-5p,SLC6A16,up,up
hsa-miR-34a-5p,STX1A,up,up
hsa-miR-34a-5p,SLC2A14,up,up
hsa-miR-34a-5p,SYT1,up,up
hsa-miR-34a-5p,NCAPG,up,up
hsa-miR-34a-5p,TPM1,up,down
hsa-miR-34a-5p,KIF11,up,up
hsa-miR-34a-5p,LEF1,up,up
hsa-miR-34a-5p,CDC20,up,up
hsa-miR-34a-5p,IFNB1,up,up
hsa-miR-34a-5p,E2F5,up,up
hsa-miR-34a-5p,MAGEA6,up,up
hsa-miR-34a-5p,HMGA2,up,up
hsa-miR-34a-5p,MAGEA3,up,up
hsa-miR-34a-5p,MAGEA12,up,up
hsa-miR-34a-5p,GRM7,up,up
hsa-miR-34a-5p,S100A2,up,up
hsa-miR-34a-5p,ERCC6L,up,up
hsa-miR-34a-5p,KIF4A,up,up
hsa-miR-34a-5p,BMP7,up,up
hsa-miR-34a-5p,SFN,up,up
hsa-miR-34a-5p,GATA4,up,up
hsa-miR-34a-5p,CDC25C,up,up
hsa-miR-34a-5p,UBE2S,up,up
hsa-miR-34a-5p,DSP,up,up
hsa-miR-34a-5p,KIF2C,up,up
hsa-miR-34a-5p,HNF4A,up,up
hsa-miR-34a-5p,ULBP2,up,up
hsa-miR-34a-5p,ZAP70,up,up
hsa-miR-34a-5p,NANOG,up,up
hsa-miR-34a-5p,SOX2,up,up
hsa-miR-34a-5p,RRM2,up,up
hsa-miR-34a-5p,CDC25A,up,up
hsa-miR-34a-5p,MKI67,up,up
hsa-miR-34a-5p,TYMS,up,up
hsa-miR-34a-5p,HOXB8,up,up
hsa-miR-34a-5p,UHRF1,up,up
hsa-miR-34a-5p,IGF2BP3,up,up
hsa-miR-34a-5p,PYCR1,up,up
hsa-miR-34a-5p,WNT1,up,up
hsa-miR-34a-5p,EPHA5,up,up
hsa-miR-34a-5p,CCNE2,up,up
hsa-miR-195-5p,KRT7,up,up
hsa-miR-195-5p,CCL4,up,up
hsa-miR-195-5p,CCNE1,up,up
hsa-miR-195-5p,CAMKV,up,up
hsa-miR-30d-3p,CAMKV,up,up
hsa-miR-181b-5p,BRINP2,up,up
hsa-miR-181b-5p,VSNL1,up,up
hsa-miR-181b-5p,GRIA2,up,up
hsa-miR-181b-5p,CDX2,up,up
hsa-miR-181b-5p,TCL1A,up,up
hsa-miR-181b-5p,RAP1GAP2,up,up
hsa-miR-181d-5p,BORA,up,up
hsa-miR-200b-3p,GATA4,up,up
hsa-miR-200b-3p,CCNE2,up,up
hsa-miR-200c-3p,NTF3,up,up
hsa-miR-200c-3p,TUBB3,up,up
hsa-miR-200c-3p,PMAIP1,up,up
hsa-miR-200c-3p,CCNE2,up,up
hsa-miR-30a-3p,TNFRSF10D,up,up
hsa-miR-30a-3p,KRT7,up,up
hsa-miR-151a-3p,FBXO5,up,up
hsa-miR-151a-3p,AZIN2,up,up
hsa-miR-151a-3p,CCNE1,up,up
hsa-miR-151a-3p,ZNF763,up,up
hsa-miR-151a-3p,LIN28B,up,up
hsa-miR-151a-3p,NTRK3,up,up
hsa-miR-92b-5p,CACNG8,up,up
hsa-miR-92b-5p,USP6NL,up,up
hsa-miR-133a-3p,KCNH2,up,up
hsa-miR-133a-3p,KRT7,up,up
hsa-miR-133a-3p,HCN2,up,up
hsa-miR-133a-3p,HCN4,up,up
hsa-miR-133a-3p,VKORC1,up,up
hsa-miR-133a-3p,TPM1,up,down
hsa-miR-133a-3p,PKM,up,down
hsa-miR-133a-3p,BCAN,up,up
hsa-miR-133a-3p,TCTEX1D2,up,up
hsa-miR-133a-3p,KCNQ1,up,up
hsa-miR-133b,KCNH2,up,up
hsa-miR-133b,HCN2,up,up
hsa-miR-133b,HCN4,up,up
hsa-miR-133b,PKM,up,down
hsa-miR-30d-5p,HOXA11,up,up
hsa-miR-30d-5p,GPR78,up,up
hsa-miR-30d-5p,AZIN2,up,up
hsa-miR-30d-5p,FBN2,up,up
hsa-miR-30d-5p,EZH2,up,up
hsa-miR-144-3p,FGA,up,up
hsa-miR-144-3p,FGB,up,up
hsa-miR-144-3p,FGG,up,up
hsa-miR-409-3p,IFNG,up,up
hsa-miR-409-3p,FGA,up,up
hsa-miR-409-3p,FGB,up,up
hsa-miR-409-3p,FGG,up,up
hsa-miR-29a-3p,RET,up,down
hsa-miR-29a-3p,FAM133A,up,up
hsa-miR-29a-3p,LPL,up,down
hsa-miR-29a-3p,KREMEN2,up,up
hsa-miR-29a-3p,DKK1,up,up
hsa-miR-29a-3p,DNMT3B,up,up
hsa-miR-29a-3p,FGA,up,up
hsa-miR-29a-3p,FGB,up,up
hsa-miR-29a-3p,FGG,up,up
hsa-miR-29b-3p,CIT,up,up
hsa-miR-29b-3p,RUNDC3B,up,up
hsa-miR-29b-3p,MKI67,up,up
hsa-miR-29b-3p,IFIH1,up,up
hsa-miR-29b-3p,IFNG,up,up
hsa-miR-29b-3p,DNMT3B,up,up
hsa-miR-29b-3p,MMP24,up,up
hsa-miR-29b-3p,FGA,up,up
hsa-miR-29b-3p,FGB,up,up
hsa-miR-29b-3p,FGG,up,up
hsa-miR-29b-3p,TCL1A,up,up
hsa-miR-29b-3p,RAX,up,up
hsa-miR-29b-3p,TBX21,up,up
hsa-miR-29c-3p,IGFBP1,up,up
hsa-miR-29c-3p,TFAP2C,up,up
hsa-miR-29c-3p,DNMT3B,up,up
hsa-miR-29c-3p,STK19,up,up
hsa-miR-29c-3p,PURG,up,up
hsa-miR-29c-3p,MMP24,up,up
hsa-miR-29c-3p,FGA,up,up
hsa-miR-29c-3p,FGB,up,up
hsa-miR-29c-3p,FGG,up,up
hsa-miR-29c-3p,BCL11A,up,up
hsa-miR-106b-3p,CBS,up,up
hsa-miR-106b-3p,PTP4A1,up,up
hsa-miR-126-3p,MERTK,up,up
hsa-miR-126-3p,PTPN7,up,up
hsa-miR-126-3p,MMP7,up,up
hsa-miR-126-3p,SOX2,up,up
hsa-miR-126-3p,CCNE2,up,up
hsa-miR-126-5p,PTPN7,up,up
hsa-miR-126-5p,MMP7,up,up
hsa-miR-134-5p,FOXM1,up,up
hsa-miR-140-5p,SOX2,up,up
hsa-miR-140-5p,FGF9,up,up
hsa-miR-140-5p,MMP13,up,up
hsa-miR-302d-3p,LEFTY1,up,up
hsa-miR-376a-5p,TTK,up,up
hsa-miR-361-5p,LHFPL4,up,up
hsa-miR-361-5p,DEPDC1B,up,up
hsa-miR-361-5p,RANBP17,up,up
hsa-miR-361-5p,NOP2,up,up
hsa-miR-361-5p,KIAA1549L,up,up
hsa-miR-152-3p,TGFA,up,up
hsa-miR-152-3p,HLA-G,up,up
hsa-miR-20b-5p,MUC17,up,up
hsa-miR-182-5p,BRIP1,up,up
hsa-miR-182-5p,SLC25A14,up,up
hsa-miR-96-5p,SLC39A1,up,up
hsa-miR-96-5p,PROK2,up,up
hsa-miR-96-5p,HTR1B,up,up
hsa-miR-96-5p,MOXD1,up,up
hsa-miR-96-5p,SRXN1,up,up
hsa-miR-96-5p,SUPT4H1,up,up
hsa-miR-145-5p,CEP19,up,up
hsa-miR-145-5p,KRT7,up,up
hsa-miR-145-5p,IFNB1,up,up
hsa-miR-145-5p,CDH2,up,up
hsa-miR-145-5p,NANOG,up,up
hsa-miR-145-5p,SOX2,up,up
hsa-miR-145-5p,MMP1,up,up
hsa-miR-145-5p,ABRACL,up,up
hsa-miR-145-5p,ALDH3A1,up,up
hsa-miR-145-5p,MMP12,up,up
hsa-miR-145-5p,MIXL1,up,up
hsa-miR-145-5p,ROBO2,up,up
hsa-miR-145-5p,MYRF,up,up
hsa-miR-145-5p,ABHD17C,up,up
hsa-miR-145-5p,POU5F1,up,up
hsa-miR-7-5p,GPR19,up,up
hsa-miR-7-5p,KIF24,up,up
hsa-miR-7-5p,IL21R,up,up
hsa-miR-7-5p,DSC2,up,up
hsa-miR-7-5p,ACOT4,up,up
hsa-miR-7-5p,SLC26A3,up,up
hsa-miR-7-5p,SULT1C2,up,up
hsa-miR-7-5p,LYPD3,up,up
hsa-miR-7-5p,KRTAP4-2,up,up
hsa-miR-7-5p,HTRA4,up,up
hsa-miR-7-5p,KCNH2,up,up
hsa-miR-7-5p,KRT7,up,up
hsa-miR-7-5p,KCNK13,up,up
hsa-miR-7-5p,ARG1,up,up
hsa-miR-7-5p,TRPA1,up,up
hsa-miR-7-5p,SAMSN1,up,up
hsa-miR-7-5p,SLC39A11,up,up
hsa-miR-7-5p,TOP2A,up,up
hsa-miR-7-5p,GINS1,up,up
hsa-miR-7-5p,E2F2,up,up
hsa-miR-7-5p,ANKRD31,up,up
hsa-miR-7-5p,CCDC65,up,up
hsa-miR-7-5p,WNT8B,up,up
hsa-miR-7-5p,ZP3,up,up
hsa-miR-7-5p,TNP1,up,up
hsa-miR-7-5p,DEFA5,up,up
hsa-miR-7-5p,SSX1,up,up
hsa-miR-7-5p,RDH16,up,up
hsa-miR-7-5p,PRDM8,up,up
hsa-miR-7-5p,PMP2,up,up
hsa-miR-7-5p,MYEOV,up,up
hsa-miR-7-5p,MAS1L,up,up
hsa-miR-7-5p,LCE1E,up,up
hsa-miR-7-5p,KRTAP4-7,up,up
hsa-miR-7-5p,KRTAP11-1,up,up
hsa-miR-7-5p,IFNE,up,up
hsa-miR-7-5p,CHRNA2,up,up
hsa-miR-7-5p,GLDN,up,up
hsa-miR-7-5p,CACNG5,up,up
hsa-miR-7-5p,CAGE1,up,up
hsa-miR-7-5p,SP7,up,up
hsa-miR-7-5p,SNCA,up,up
hsa-miR-7-5p,ALDH3B2,up,up
hsa-miR-7-5p,CXCL5,up,up
hsa-miR-7-5p,OR1A1,up,up
hsa-miR-7-5p,LAMC2,up,up
hsa-miR-7-5p,HOXC12,up,up
hsa-miR-7-5p,TCL1B,up,up
hsa-miR-7-5p,ZNF365,up,up
hsa-miR-7-5p,KCNJ14,up,up
hsa-miR-7-5p,PAPPA,up,up
hsa-miR-7-5p,CLN3,up,up
hsa-miR-7-5p,HELLS,up,up
hsa-miR-7-5p,SUPT4H1,up,up
hsa-miR-7-5p,UHRF1,up,up
hsa-miR-7-5p,ATF7IP2,up,up
hsa-miR-1260b,SLC39A8,up,up
hsa-miR-1260b,UGT8,up,up
hsa-miR-1260b,CLCN2,up,up
hsa-miR-1260b,ZNF829,up,up
hsa-miR-1260b,ZNF101,up,up
hsa-miR-1260b,SOGA3,up,up
hsa-miR-1260b,KCNK13,up,up
hsa-miR-1260b,ZNF233,up,up
hsa-miR-1260b,HOXD13,up,up
hsa-miR-1260b,PKM,up,down
hsa-miR-1260b,PRC1,up,up
hsa-miR-1260b,PSAT1,up,up
hsa-miR-1260b,WDR62,up,down
hsa-miR-151a-5p,MPL,up,up
hsa-miR-28-5p,MPL,up,up
hsa-miR-28-5p,RAB36,up,up
hsa-let-7b-3p,SYT4,up,up
hsa-miR-194-5p,SOX5,up,up
hsa-miR-194-5p,CDH2,up,up
hsa-miR-194-5p,TYMS,up,up
hsa-miR-378a-5p,BRIP1,up,up
hsa-miR-361-3p,KCNE1,up,up
hsa-miR-361-3p,CDC6,up,up
hsa-miR-340-3p,KRT15,up,up
hsa-miR-193b-5p,AEN,up,up
hsa-miR-501-5p,CDC6,up,up
hsa-miR-339-5p,DLGAP5,up,up
hsa-miR-339-5p,BRSK1,up,up
hsa-miR-339-5p,KRTAP12-2,up,up
hsa-miR-339-5p,DHRS13,up,up
hsa-miR-339-5p,HOXD10,up,up
hsa-miR-339-5p,KIF6,up,up
hsa-miR-339-5p,LBX2,up,up
hsa-miR-339-5p,PKMYT1,up,up
hsa-miR-339-5p,SOX11,up,up
hsa-miR-505-3p,FANCI,up,up
hsa-miR-505-3p,TUBB3,up,up
hsa-miR-505-3p,FANCD2,up,up
hsa-miR-505-3p,MKI67,up,up
hsa-miR-505-3p,MYBL2,up,up
hsa-miR-505-3p,PRC1,up,up
hsa-miR-433-3p,CFTR,up,up
hsa-miR-433-3p,FGF20,up,up
hsa-miR-485-3p,NTRK3,up,up
hsa-miR-345-5p,ZNF667,up,up
hsa-miR-345-5p,NTRK3,up,up
hsa-miR-330-3p,PKM,up,down
hsa-miR-330-3p,SH3GL2,up,up
hsa-miR-330-3p,PRMT8,up,up
hsa-miR-330-3p,NTRK3,up,up
hsa-miR-629-5p,HNF4A,up,up
hsa-miR-342-3p,CRB2,up,up
hsa-miR-342-3p,SLC6A12,up,up
hsa-miR-342-3p,BMP7,up,up
hsa-miR-342-3p,RRM2,up,up
hsa-miR-342-3p,PSAT1,up,up
hsa-miR-342-3p,NOP2,up,up
hsa-miR-342-3p,NCAN,up,up
hsa-miR-92a-1-5p,RAD51,up,up
hsa-miR-92a-1-5p,ZWINT,up,up
hsa-miR-191-5p,AGL,up,down
hsa-miR-191-5p,IL1A,up,up
hsa-miR-191-5p,AACS,up,up
hsa-miR-191-5p,IRS4,up,up
hsa-miR-191-5p,TMC7,up,up
hsa-miR-191-5p,UHRF1,up,up
hsa-miR-191-5p,PPIAL4G,up,up
hsa-miR-193a-5p,TP73,up,up
hsa-miR-766-3p,GTF2E2,up,up
hsa-miR-766-3p,HNF4A,up,up
hsa-miR-766-3p,PKM,up,down
hsa-miR-23a-3p,KIF20A,up,up
hsa-miR-23a-3p,ASNS,up,up
hsa-miR-23a-3p,PKM,up,down
hsa-miR-23a-3p,G6PC,up,up
hsa-miR-23a-3p,MYH4,up,up
hsa-miR-23a-3p,POU4F2,up,up
hsa-miR-23a-3p,SLC6A15,up,up
hsa-miR-23a-3p,FANCG,up,up
hsa-miR-23a-3p,CAMKV,up,up
hsa-miR-214-3p,CPNE7,up,up
hsa-miR-214-3p,GALNT7,up,up
hsa-miR-214-3p,POU4F2,up,up
hsa-miR-214-3p,ASF1B,up,up
hsa-miR-214-3p,EZH2,up,up
hsa-miR-504-5p,MTFP1,up,up
hsa-miR-504-5p,DRD1,up,up
hsa-miR-504-5p,PSAT1,up,up
hsa-miR-150-5p,MYB,up,up
hsa-miR-150-5p,FLT3,up,up
hsa-miR-150-5p,PTPRR,up,up
hsa-miR-150-5p,MS4A3,up,up
hsa-miR-532-3p,SBK1,up,down
hsa-miR-532-3p,PPP3R2,up,up
hsa-miR-500a-5p,MOV10L1,up,up
hsa-miR-500a-3p,FDXR,up,up
hsa-miR-500a-3p,TRIM49C,up,up
hsa-miR-501-3p,FDXR,up,up
hsa-miR-1296-5p,MKI67,up,up
hsa-miR-1296-5p,DLX2,up,up
hsa-miR-1296-5p,OVCH2,up,up
hsa-miR-378c,ANO4,up,up
hsa-miR-422a,CYP8B1,up,up
hsa-miR-422a,CYP7A1,up,up
hsa-miR-378a-3p,EDARADD,up,up
hsa-miR-378a-3p,GALNT7,up,up
hsa-miR-378a-3p,E2F5,up,up
hsa-miR-378a-3p,IGF2BP1,up,up
hsa-miR-378a-3p,ZNF239,up,up
