gene,log2FC,p_value,FDR
ONECUT2,2.051735564154065,7.247872819040941e-09,4.1524318413306715e-06
TMEM200C,1.9502762542347984,7.272412042806414e-09,4.1524318413306715e-06
SP140,2.139468920403097,7.730225544886922e-09,4.3282789318636564e-06
RNASEH2B-AS1,1.57547068862784,7.821031095605963e-09,4.3282789318636564e-06
LDHAL6A,2.1852458004416935,8.5101569257053e-09,4.566757521734276e-06
AC100849.2,2.6013683862258863,8.552174057135913e-09,4.566757521734276e-06
AC010478.1,2.429081931490442,8.632811950348348e-09,4.566757521734276e-06
BASP1-AS1,2.662601774979787,9.337558162940845e-09,4.867980322279827e-06
AC018442.2,1.8620632372593973,9.478023077265237e-09,4.87062065907693e-06
C18orf63,2.6651328491620907,9.968153445124667e-09,5.050343883493303e-06
AC006450.3,2.483254732747745,1.1007575232783688e-08,5.462098690826469e-06
SACS-AS1,1.951602244157454,1.1084543657020246e-08,5.462098690826469e-06
DSC3,2.207429375828411,1.1271588366382193e-08,5.4792104961554085e-06
STXBP5-AS1,1.6057928159843768,1.1655960767359328e-08,5.590509609645997e-06
AC009962.1,1.1742106342638423,1.2248625890361582e-08,5.728418990389751e-06
SLC26A8,2.4376991574069926,1.2342448036874143e-08,5.728418990389751e-06
SLCO1A2,2.5260275788376325,1.242123544007563e-08,5.728418990389751e-06
AL031590.1,1.667654903340197,1.2752723348395207e-08,5.763272696908493e-06
CIT,1.5773403256317355,1.3087377079808852e-08,5.763272696908493e-06
CD244,1.9861303703739954,1.3129860904476853e-08,5.763272696908493e-06
AL590068.4,2.872906912917409,1.3137672666143013e-08,5.763272696908493e-06
AC068989.1,1.7093970001250038,1.3351338776663774e-08,5.786438053905413e-06
CKAP2L,1.9373387866094558,1.3523690778995566e-08,5.7913595797860535e-06
AC007277.1,2.2899247771891678,1.376633814227963e-08,5.82591430181274e-06
SERPINI2,1.6755714271839428,1.4070708350728158e-08,5.879065771435093e-06
CDKN2B-AS1,2.1679314341883766,1.4218801348683782e-08,5.879065771435093e-06
MARVELD2,1.7496313260685192,1.5268115624530705e-08,6.241189264154755e-06
AL137025.1,2.3727658462393677,1.5585967750089332e-08,6.2995329427664435e-06
PCSK1,2.301864390751368,1.5978841172955048e-08,6.319027222641362e-06
LINC01705,2.0672459762595827,1.598552978039486e-08,6.319027222641362e-06
SLC6A11,2.564784618614639,1.6627512372900688e-08,6.4177131827376955e-06
LINC01650,2.3188053766867553,1.668028846623659e-08,6.4177131827376955e-06
CTNNA2,1.9300965963942802,1.6949603776554448e-08,6.4177131827376955e-06
AC012178.1,2.38146176201747,1.7244013186244373e-08,6.4177131827376955e-06
NEUROG2,2.3113653013913757,1.740388701297896e-08,6.4177131827376955e-06
CPB1,1.4440459774683794,1.7620018855758585e-08,6.4177131827376955e-06
SPOCD1,2.2082993017014787,1.764394612040626e-08,6.4177131827376955e-06
CCNB2,1.8454006184963552,1.766244871263849e-08,6.4177131827376955e-06
OR56A1,2.2063306477564266,1.7921835371981203e-08,6.446842620009078e-06
CSMD2-AS1,2.6859165208575897,1.818178915532649e-08,6.475597222726777e-06
SDR42E1,2.0592764576063107,1.8916673605028327e-08,6.671280224706656e-06
BAALC-AS1,1.2563184856606224,2.0473632394361878e-08,7.093743547727338e-06
CPA4,2.2622218485638825,2.0536733671845187e-08,7.093743547727338e-06
TDRG1,2.525666752211186,2.0706190162108598e-08,7.093743547727338e-06
AC079950.1,2.229498140824506,2.0905185422711677e-08,7.09435217005457e-06
ORC6,1.5274240911915746,2.1200088153073865e-08,7.127192252732459e-06
LINC00623,1.528543513170389,2.1735906705202088e-08,7.184472632067156e-06
AC008170.1,2.7120377935278417,2.1769918739445125e-08,7.184472632067156e-06
LINC01828,2.3080939557406306,2.2494223256319738e-08,7.326637188484413e-06
TYMSOS,2.3495876984396116,2.2865454634577853e-08,7.326637188484413e-06
SFTA1P,2.2536479853870204,2.2889486347222496e-08,7.326637188484413e-06
AC055878.1,2.0607605723523106,2.3028001573562686e-08,7.326637188484413e-06
STARD13-AS,2.0117818593366636,2.3219077045680615e-08,7.326637188484413e-06
AC073046.4,2.5998884192478604,2.3760342371004728e-08,7.432235093650279e-06
IL5RA,2.1553617189035497,2.4684192758185838e-08,7.654653292219492e-06
AC117834.2,2.050626072522739,2.5864619203784842e-08,7.95215454699614e-06
PLCE1-AS1,2.258653315592049,2.6395678810033632e-08,8.046655577580761e-06
C6orf58,2.1173256415203654,2.7022374677011182e-08,8.062771380469752e-06
GYPB,2.26109209512314,2.7401850292501746e-08,8.062771380469752e-06
CASR,2.531839757038788,2.7514929713853258e-08,8.062771380469752e-06
AC104656.1,2.5688201317403583,2.7693712496365622e-08,8.062771380469752e-06
