sample_id,RNA_library_size,log10_RNA_library_size,RNA_detected_features,RNA_zero_fraction,lncRNA_library_size,log10_lncRNA_library_size,lncRNA_detected_features,lncRNA_zero_fraction,smallRNA_library_size,log10_smallRNA_library_size,smallRNA_detected_features,smallRNA_zero_fraction,geo_accession,title,subgroup
AB_31,28154183,7.449542944590088,17056,0.12145874111465953,691972,5.840089149110262,2522,0.3993808049535604,3247130,6.511499809854673,1808,0.35589597434983966,GSM8059517,"AB_31, Pancreas",Pancreas
AB_32,30235601,7.480518619962809,18660,0.03883795199340682,821392,5.91455099742885,3761,0.10431055013098357,3273226,6.5149761249013,1924,0.3145707160669754,GSM8059518,"AB_32, Colorectal",Colorectal
AB_33,20665414,7.315244131146896,16280,0.1614298959513753,483012,5.683958819679643,2152,0.4874970231007383,10117119,7.00505690122744,2237,0.20306376914855717,GSM8059519,"AB_33, Colorectal",Colorectal
AB_34,29834277,7.474715532228381,17698,0.08838982177809827,724997,5.860336808515598,3119,0.25720409621338414,4489690,6.652216452002697,1973,0.29711435696473104,GSM8059520,"AB_34, Pancreas",Pancreas
AB_35,31362781,7.496414579320461,15877,0.18218811167198928,727789,5.862006083986332,1891,0.5496546796856394,1749481,6.242909478490323,1606,0.42785892411827575,GSM8059521,"AB_35, Colorectal",Colorectal
AB_36,36302187,7.559932801556487,16231,0.16395384773874525,938243,5.972315795813366,2024,0.517980471540843,2015632,6.304411460023373,1652,0.4114713216957606,GSM8059522,"AB_36, Pancreas",Pancreas
AB_37,36839347,7.566311935246095,18814,0.030905532090244155,730029,5.863340707472166,3832,0.08740176232436295,2429846,6.385578928270053,1842,0.3437833986462415,GSM8059523,"AB_37, Colorectal",Colorectal
AB_38,30243183,7.480627511724593,16682,0.14072318945091172,716945,5.8554864460650204,2436,0.4198618718742558,3713622,6.569797812885149,1934,0.31100819380121125,GSM8059524,"AB_38, Colorectal",Colorectal
AB_39,29752783,7.473527609367714,17869,0.0795817451323787,810888,5.908961409097999,3168,0.24553465110740652,3904610,6.591577773432627,2081,0.25863911649447807,GSM8059525,"AB_39, Pancreas",Pancreas
AB_40,27930212,7.446074247708593,18180,0.06356237766560215,552811,5.7425774617851335,3443,0.1800428673493689,4508556,6.654037564668473,1955,0.30352689704310654,GSM8059526,"AB_40, Colorectal",Colorectal
AB_41,42175473,7.625059972219732,17666,0.0900381168229113,665367,5.823061910212388,3056,0.2722076684924982,2124683,6.3272943474398495,1822,0.35090844317776987,GSM8059527,"AB_41, Pancreas",Pancreas
AB_42,39117656,7.592372834294392,17940,0.0759245905016998,787339,5.896162315887581,3302,0.21362229102167182,1688344,6.227461196014021,1746,0.3779836123975775,GSM8059528,"AB_42, Pancreas",Pancreas
AB_43,32482556,7.51165020921694,18880,0.027505923560317298,686864,5.836871386962931,3935,0.06287211240771612,6076691,6.783667224484509,2070,0.26255789098681864,GSM8059529,"AB_43, Colorectal",Colorectal
AB_44,38141004,7.581392132344069,16629,0.14345317811888328,747734,5.873747709590257,2259,0.4620147654203382,2185659,6.339582604270494,1732,0.3829711435696473,GSM8059530,"AB_44, Pancreas",Pancreas
AB_45,28426562,7.4537243531702675,18499,0.04713093643762233,599007,5.777432622610771,3695,0.1200285782329126,1836561,6.2640055941587836,1671,0.4047025293908087,GSM8059531,"AB_45, Pancreas",Pancreas
AB_46,35334935,7.548204309040525,17114,0.11847120634593593,695733,5.84244322752263,2519,0.4000952607763753,1733671,6.238966935086899,1580,0.43712148200926254,GSM8059532,"AB_46, Pancreas",Pancreas
AB_47,21459255,7.331614660747559,18331,0.055784485422890696,481325,5.682439321788621,3564,0.15122648249583234,1856886,6.268785475753969,1694,0.39650872817955113,GSM8059533,"AB_47, Colorectal",Colorectal
AB_48,20966964,7.321535570229517,18275,0.05866900175131348,515146,5.711931175020305,3563,0.15146463443677066,2745740,6.438659568743506,1849,0.3412896330602066,GSM8059534,"AB_48, Colorectal",Colorectal
AB_49,24879717,7.395845453521274,18960,0.02338518594828474,592042,5.772353250615717,4024,0.04167658966420576,2563220,6.408786052513834,1900,0.3231207695048094,GSM8059535,"AB_49, Pancreas",Pancreas
AB_50,28272960,7.451371294114586,18171,0.0640259606469558,632164,5.800830447328231,3482,0.17075494165277447,2023161,6.30603065928549,1784,0.36444602778767365,GSM8059536,"AB_50, Pancreas",Pancreas
AB_51,31106417,7.49285000363846,18704,0.03657154630678892,743157,5.871081157277751,3812,0.09216480114312932,2250802,6.352337485335064,1832,0.3473459209120057,GSM8059537,"AB_51, Colorectal",Colorectal
