gene,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_7,AB_8,AB_9,AB_10,AB_11,AB_12,AB_13,AB_14,AB_15,AB_16,AB_17,AB_18,AB_19,AB_20,AB_21,AB_22,AB_23,AB_24,AB_25,AB_26,AB_27,AB_28,AB_29,AB_30,AB_31,AB_32,AB_33,AB_34,AB_35,AB_36,AB_37,AB_38,AB_39,AB_40,AB_41,AB_42,AB_43,AB_44,AB_45,AB_46,AB_47,AB_48,AB_49,AB_50,AB_51,AB_52,AB_53,AB_54,AB_55,AB_56,AB_57,AB_58,AB_59,AB_60,AB_61,AB_62,AB_63,AB_64,AB_65,AB_66,AB_67,AB_68,AB_69,AB_70,AB_71,AB_72,AB_73,AB_74,AB_75,AB_76,AB_77,AB_78,AB_79,AB_80,AB_81,AB_82,AB_83,AB_84
GSDMD,-0.2716386398275622,0.6358607864638447,-1.5297929258965046,-0.287446762868742,-0.05511324268925817,-0.057412497225465195,0.27895962385480066,-0.8691134341926675,-0.308692233308549,-0.7503241354108383,2.4363507629872947,-1.8372007965670807,-1.671379159378783,1.760552913711885,0.4771968066185818,-0.03913328053971472,0.4855089736957053,0.11633074615457037,0.07029707363613684,0.08727149904631491,-0.7097517775185161,1.5232051145292833,-0.6073459855027579,0.8673569282885303,0.2009130828902457,0.39229576988996717,0.2189037081289699,-0.06195449870241144,0.4012326698380189,0.9181178964461677,1.044230812831493,-0.8069894325336603,1.4118833762580765,-0.48077906175594276,-0.8482407493827675,0.9168856235197868,-0.35688328750780673,-0.4040796769019398,-0.020699446888906868,0.3691730867739992,0.7461942146420085,0.05395306321989763,-0.5510077696613698,-0.7115925287751462,1.7589990321581834,-0.9362396895568796,-1.1922128804060939,0.5349946006841838,-0.8714372587383871,0.3662252210655326,1.547694738930103,0.8060206052122226,1.9600511425139073,-0.6917531654426502,-0.4667721076060292,0.2594978420854451,-0.6821838359171472,0.47824750209672884,-0.4588624008422848,-1.0234746477011654,-1.0142094858007407,2.249532000654616,-0.28650027038314635,0.8970044998980282,-0.0027697831359654495,2.8336343309495113,-1.9536305633149587,-0.8289813805282148,1.5022533518314969,-2.1018898863358726,-0.37985597616103073,1.444630818789219,-0.7587345529279889,-0.2654481559233426,-0.7675730266741289,-0.3283371306047672,-0.5224455800881801,-0.7661757584781682,-0.9002607147428152,0.10877170539745012,-0.6410869175573235,-0.1578884941585817,0.5145020337049035,-1.4394389733348478
GSDME,-0.2867711924838322,0.06676302745751618,2.49868474140336,-0.01573966144197957,-0.19142240348817297,1.3011316457083142,1.9822106799848298,-1.2300711985129025,-0.22286047466903036,-1.4369226008412932,1.0387426623431921,-0.8484590691694232,-2.2800701474407545,-0.7221488278124603,-0.3619824284075538,1.9786392818054248,-0.219233316114873,0.3327726634169981,-0.7878472714753986,-0.46483359126984825,-1.5605727861394174,0.2192684650428059,-0.48783587579298265,1.4279676564545363,-0.23199691862287686,-0.7632159350642843,0.07197510141755377,-0.5571062036291431,-0.3961277225638621,1.1135123821335942,-0.41910590121691654,-0.5755541917357181,-0.33418598517247805,0.980742381838043,-0.6686818863830656,0.21711115050457852,-0.9718193079017176,-0.07486465924873946,-0.13028706070254617,1.4449990207022938,-0.3263886981775329,-0.9555805353848115,-0.18641276285610792,-0.4900833458834392,1.0152495301093383,0.2933492226998212,1.1880596584910872,-0.029549626153356105,-0.5774067679985515,0.21154951246385073,2.0059062687704894,-0.4832494251628103,-0.7925829584771649,-0.05522895654248476,2.20972822024224,0.3467951900610645,-0.5241943809229942,-0.3516708075295384,0.27831126139453605,1.0362836459397655,-1.870611134204179,1.7556821867605106,0.5947788537038999,0.7328716147962506,0.19788622634546693,-0.059093863354654524,-0.019021989430104108,-1.7034551376553038,0.30666136981363323,0.35711361072250286,-0.580249998428042,-0.8262484509339657,-0.25576750862601283,-0.6153220535342846,0.00944284183702077,0.046671479590184146,2.4127045117102326,-1.9401473953489934,-0.33942383043115804,-0.7117173309210438,-0.12190318321855029,-1.2083880765256072,1.767032658152165,-0.17718388881513883
GSDMB,0.3471091872560439,1.1335945079813976,-2.0614680563217944,-0.16082626588496252,-1.0081690583403726,-2.082573749134342,-0.013766905849844423,-0.4268544952392711,-0.33971354810106524,-0.5042026638009215,-0.17701306308424683,-2.3817570687852436,-0.20218627505462516,0.6568411273870634,-0.25948579906182706,0.7281518749578084,0.2156707938312414,-0.7005503859983474,1.0506256437048411,-0.2210138245195839,0.28815680861283793,0.5689846185095224,0.3088544273998488,0.9708785109409652,-0.12598072332844631,-0.5016974775367951,0.5176077668962573,0.9926667712163928,0.4915731123300575,-0.24463728771265866,0.24188715780992362,0.4686452342425478,-0.521411712687404,-0.07062981030676399,-0.6042532043510686,1.7424886956727004,-0.6082317224318742,0.44323004385880466,-0.5705302252348036,-0.12658465140933062,-1.2952606569130911,-0.4055856203161039,0.7392777634076291,0.9743539890861372,1.4046079588031866,-0.9757511564412803,0.0686422721129844,0.14924957325607302,-0.479307951848642,1.1769156287141367,-0.98483687134417075,-0.017232948435587224,0.6245852715185205,-0.7394734066897373,0.564164774096233,0.33058461218726626,0.5848196786356816,0.06198752115271452,0.4317338236554557,0.31946969465199326,-1.0060073732742556,1.0059208006367553,0.5214401011352007,1.3827686584527803,1.284492317557656,4.459533675216509,-0.39577349329501,-1.3684382359862894,1.5308583283719344,-0.7996749331574459,1.5412813217386543,-0.51977118912996,0.40678936902240515,-1.9815728603764255,-1.3257735535524076,-0.7526782513501132,-0.6009623405920651,-1.1812473813516664,-0.05231111715814923,-0.9288551756856649,-0.13093414773857287,-1.1856759244829698,0.029667116574956263,0.28055203070210166
GSDMC,0.8803038491958245,0.3796454911681973,-0.01908162096006041,-0.7291076335935379,1.056027028315138,-0.34287393337327,-0.56728558245049,-1.32155861184502,0.9836160724783937,-0.7654830446129889,-1.7495424783599869,1.9397227696182795,1.1274865971120227,-0.8849988437067644,-0.368512958908993,1.5995247666261463,-0.8133151470431829,0.9509279518779878,-0.26438746647689404,-1.6472636763370183,-0.14797414598181652,-0.5693799193220896,1.035183374590927,0.7475458013857241,1.1302422384607949,-0.11777048095224096,-0.2835747554324097,0.6827761987170219,0.26309436378619533,-0.7531750981710662,0.4140299031775496,1.5906173390663716,1.1046233702575234,0.4779094595876779,0.6050568742018724,2.2825162023380905,0.12796782869541537,-1.394055989970432,-0.46485451688484547,0.8371528803634448,0.201670600421648,0.24271198456967344,0.6353675121515023,-0.5376995216215805,-0.1834023991700643,2.3669638472940755,0.1906957249399897,-0.15046079156245704,1.2802723273687209,0.05173563577261722,0.18705079825839552,-2.7443994005242294,-1.4413091754418292,0.13963709314881473,0.20055938264239043,1.7738555325504874,-1.4368039449674688,-1.0446466944597999,-0.7000661627144867,0.4675454276150997,0.5851037197574879,-0.689177807113026,0.7807452323078125,-0.28392015668244025,0.526811323208997,-0.937909388150474,-0.9399897378852268,-0.524766552116705,0.265634000473884,0.9035054853471463,-1.7711723476205683,0.056514923710353326,1.0019020070021645,-0.12439441934965799,0.4865278458419899,0.6376949821123691,-2.193264191939516,-0.6618414166467118,0.11632447387434612,-0.5521168672710223,-1.1567953656109882,-0.3104730278401719,-1.5229500469984725,-0.20304490132056113
CASP1,-0.7055486664310272,0.4840726755436565,1.4733436119571,-0.9113188687103695,-1.5347752656422191,-0.0326557402545744,-1.4064423099854106,-0.6084123447686718,-0.9448189362387923,0.3705285017227427,2.0270286194925213,-0.24720608364204832,-1.1112836692224721,0.22653874866242607,-0.3306067320745014,3.4119130195779817,0.7314354309541561,2.229258478619769,1.252521283895043,-0.648463634756925,-0.4210800663465108,0.7713153853169398,0.9068127442906554,1.347786760677972,0.12633659120017812,-1.2256793396078505,-0.017929649456349693,-0.41082360620900005,0.10487836517454471,-0.4429175415278136,-0.08539486243221087,-0.35348911418283596,-0.16787511235725172,0.4860464675694185,-1.681823023153988,-0.2555387481879078,-1.577774450384943,-0.2688545538693917,0.7942374954416613,0.600562754268119,-1.0517081282138852,-0.08434137224127088,-0.4525403112072792,-1.5411552454588247,0.6739248084470616,0.12653075878830963,0.00252680557402153,0.6445085237902007,1.0347907019753344,0.8558827886857165,0.09980349882761791,-0.007465177806804836,0.649755727971157,0.546219237106132,-0.3830816920037833,0.13905872054436663,0.13065595418192655,-0.4908862869029992,-0.5052607873578676,-0.29951218188494316,-2.2153803677261132,1.5334467040725648,0.6180194811440571,1.116187393955463,-0.07090102463131358,0.02488491830713947,-1.612235900705354,-1.894841457602622,-0.13874002159000545,-1.1965701048770014,0.11253455650828455,-0.14287748053143587,1.1595958986535455,-0.5959918525853941,-1.3453245652755854,0.5655810781692311,0.20394576078903212,-0.7928441399958183,0.5958406322086701,-0.2429765964124918,-1.2306898572775709,1.6043323505624705,0.10916334224761857,1.794230294856631
CASP4,-1.1042757302477524,0.9828841150226649,1.7094048244644873,0.05283896764173726,-0.24904006485048635,1.4910759040283053,0.9637710675575197,1.378370784862778,-0.09986236583086255,1.066807047505878,3.2867286119406494,-0.4218105512843844,0.9446360150081362,-0.13053051570400823,-0.7916102726862168,2.7296817764072903,0.5002859062292514,2.217693546239811,1.6794999769738777,-0.7895787997284351,-0.45748958025115266,0.8491721262025712,-0.09123985323337334,0.4321822089581121,-0.8935468486759194,-0.3483725206467455,-0.18800900801565773,-1.2749641433782142,0.18186090375034358,0.05670247143593624,-0.2765916773041192,-0.4299641901476896,-0.8590135255116584,-0.7455219397154532,-1.168681196272728,-0.8617839172603985,-1.6384858446352413,-0.5726114453739801,-1.0889801312790994,0.4954190410929032,-0.7022215908343128,-0.40784404321096407,-0.5094553829020205,-1.039053094326517,0.8086791405239884,0.2082753784152874,-0.026744026294436566,0.4143993223550863,-0.34377807704362184,0.038930719483195306,-0.07897242237273773,0.5643402198661782,-0.2083890497041133,-0.7000539173019653,-0.39712789207915017,0.38682242938561545,-0.8074594469038474,-1.1430597645246603,-0.761860427948884,-0.32872595010738465,-1.2541902344744444,1.1819282232623565,0.19833204292073087,0.7884774732355847,-0.541068628139025,0.9244743254512038,-0.02885829750733681,-1.1173853853434355,0.11107663586742882,-1.2089748897544572,-0.48777474079899114,-0.8765282626188259,0.6299322603287704,-0.80098008205106,-1.98011454356912,-0.023630350175176666,-0.1905183589672465,-0.35283718374693024,-0.3655865583714306,0.1342708282349614,-0.39878956492878476,3.1532261708663403,0.5807621651406979,0.42100365737479556
CASP5,0.3004488368394503,1.3621472371016126,1.0869743791299262,-1.2540315392954957,-1.7951246122510616,0.7626689363611371,-0.08190721788974598,-0.8636385462424703,-0.12781365394801095,-0.3098439763543928,0.2962171248626916,0.9270637052106485,0.3921695523363627,-0.15968558866422475,-1.4010799274345163,2.402402086774713,0.7195484165665436,1.6528208374480666,1.3094639035567652,-0.6148587210881057,-0.2701590074950383,-0.2238405528405787,1.450925693450509,1.8439762699577456,-1.7951246122510587,-1.0630554114660182,-0.029160397691401448,-0.03924841485956517,0.6933280769269555,-0.2358244466914316,-0.18135073853612008,0.012733296445092725,-1.7951246122510616,-0.783920389158748,-1.1174280930167717,-1.7951246122510616,0.39561113146979593,-1.7951246122510616,0.09598813080035949,0.39889690010509266,-1.7951246122510616,-0.9228082408976942,0.8927810176058422,-1.207920941675164,0.22569146438722484,-0.8534407380339907,0.4647024874637302,0.28117391463588387,1.4337502683608616,-0.13427337313691065,0.4977077323672789,-0.08654654511089291,-0.8330417335861909,0.02044698885328436,1.0479633157418047,1.7991653093639772,-0.37946077042310794,0.07590592476322834,-1.1666998444883794,0.5669432366331844,0.48247583488019335,-0.22959062248103262,1.9612746760581667,1.1900189556788854,0.6757151788014486,0.19234127637644668,-1.190123834003389,-0.641049542816011,0.29525679059089543,-1.2095631304721701,-0.029203946420395883,0.1875035299514494,1.1820522078191145,-0.08557290162374222,-0.8005030665901958,1.1607067705473992,0.36799539435360534,0.008861531534607595,-1.0910031064211192,-0.5921637623169763,-0.5170053125726818,1.2239707843773981,-1.7951246122510616,0.9549012150107237
NLRP3,-0.6999048660440125,1.1407571397874379,1.6625585581804032,-0.09615299865519024,-0.2022223902661726,1.3451437311600243,0.5813583418811749,1.4570109565757599,-0.5222547323434628,0.8541431012041134,1.6006401587500458,-0.5643766201386261,0.8339552616522555,-0.8762483598709874,0.12296963738299505,1.8737609653734353,0.04109450389164948,2.865933273273825,1.2359361564894253,-1.318705591167934,-1.0925465990442824,0.3368713918629803,1.3023859452166018,0.9379554263700735,-0.2767766250460655,-0.6894052576472028,0.02000500067605922,-0.47720369133337975,-0.06728345791452678,-0.04410780394593353,-0.3806750602542859,-0.8251384126117525,0.5811398440339942,-0.8036995767831159,-1.4738516608501342,-0.6759933105185629,-0.9040060330661903,-1.4200092686019417,-0.48048393618806023,-0.2328202626927386,-0.21585432708996577,0.6497539964924881,0.6424624936263414,0.4305799748130379,0.5633094994896732,0.14539729012418726,-0.80751761031917,0.049306470555036785,0.7023362080662781,-1.0451730404668118,0.5284279180619805,0.8536962093766765,0.15662934863566635,0.029245753167371418,-0.25597483944358707,1.362793729449235,-1.22623422529568,-1.4695028978345215,-0.6815375926897704,-1.3898401296561853,0.23979775102444836,0.5088731474118688,1.6292665330465192,0.6807761805446193,-0.520953043217987,0.5402770369050739,-1.873938535820495,-1.9438358273328304,0.7531876939431225,-2.1056824948838204,-0.19200577917820422,-0.5305652467063829,1.2613871724437722,-1.799811667597451,-1.637791493055904,1.288271994485345,0.48593780458336844,0.2909868459476097,-0.6830576667335613,-0.7984156433862661,-0.4584230041308791,1.1525548686573235,0.27408537052934673,-0.2529791053186108
NLRP1,-0.2557149725615214,0.7043030363368018,-1.1744394490120835,-0.5688787452673724,-0.4899580462867684,-1.685923351664518,-0.052768285713346554,0.34840503630831277,0.03535000340326674,2.066146109647975,3.3170413477099623,-0.9571452556962563,-0.18885735562881345,0.42577578787752185,-0.2453807972581127,1.3894517617614985,0.15920876449992832,1.7866250311989749,0.12364505102827665,0.25697166043124214,0.2161887251367131,1.4562162653549546,0.3959824107417379,0.7129020913680914,-0.2162337375941562,0.050667478501534274,0.5972824745502711,-0.5639154894618703,-0.11035394464151795,-0.47095945564697417,-0.444246868925986,-0.9444250386952202,-0.9437912841707081,-0.7608690645198151,-0.9026931999562372,0.4351713761019781,-1.0113318982930124,1.0065113112431308,-0.12357825538755007,0.937328599850899,0.16965354925366238,0.13526653375312722,-0.08175732514667182,-0.5654620415368481,0.8970413857233656,0.40580930374344926,-0.5865187894296535,0.31324810862149366,-1.1590296099093145,-0.2093845124582682,-0.4973935566107009,1.2425066093244825,0.7033139503173258,-0.28093928517307365,-0.9036402960603203,1.0840396483788821,-0.761322720047872,-0.5194581632563564,0.07669582918625895,-1.1315733986235326,-0.8566405296443461,1.6646820622256262,0.07754049042771421,1.9457956110474959,-0.9250958758999193,2.4434736811402593,-2.3782871436875057,-0.14069534924812788,0.052001646738088395,-1.022913565657214,0.0766673570425876,-0.4738744031842014,0.24303602208798084,-0.5766746733232394,-2.3825284409211447,0.7766221135865781,-0.5695023981509588,-1.8278617807043775,0.20433353938372284,-0.16089570449287996,-0.8145385643100137,1.9327796965712327,0.055555553154693335,0.01621560909722143
NLRC4,-0.3526763744125396,0.9775371019979203,0.9714791843685435,-1.1000442507401003,-1.024035366537252,0.385233259940921,0.04663505809412127,0.16287106113560768,-1.1707111923432802,0.7964576546779795,1.4171874255012968,0.362554189854569,-0.10129845686870782,0.28782632909255423,-0.12767509549479783,2.6753980902642405,1.6231591239910466,2.16495218540939,-0.06317570518459674,-0.16351694117579654,-0.9158835796136338,0.7104195323272637,1.2123841542755318,1.6190464036298375,-0.438634885872499,-2.01340049721707,0.01999528840485606,-0.3402719467981475,0.27613954570923177,-0.6114632945490428,0.19617639119187863,-0.19447973586083803,-0.5627562609893603,-1.0040561335753584,-2.1232023092206647,-0.46277800484545284,-0.15577546893959915,-0.00610831413719523,0.14623155231868223,0.1755597831809205,-1.4334375086387887,-0.24861415245063548,0.42393327207691633,-0.8057102838984913,-0.056801627886809626,-0.6520129573085711,0.5761022955972267,0.2645850377974357,1.0612121274962802,0.505501065472168,0.13206151972777572,0.16293046482907098,-0.6085578270425109,0.32896089109344556,1.0516711186566374,1.4487053042613913,-2.2694153841642555,-0.7077650234099052,-0.8544467654108101,0.1516935480666934,-0.5358995589046757,0.7651284876745381,2.0663233679274406,0.48141031620345864,0.7969245245365558,-0.5037182855320882,-0.7553836844090094,-1.5420183027109164,0.4704789335498547,-1.9227787531943918,-0.15268023935669597,-0.36259515328188247,1.1651755937050925,-1.4381857816696826,-2.2217655217870638,0.6787933183927092,-0.26194313828598625,-0.7347114430106918,-0.08232029375958959,0.8414486670910323,-0.9916897722095035,1.592657009994416,-0.1512418623136533,1.032696955496008
